type,full_details,area,price
RED,"LE COSTE DI MONFORTE - BAROLO  D.O.C.G. - 2018 (0,75l) 
CONTERNO DIEGO, 100% Nebbiolo, 15% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 95.00
RED,"BOSCHIS FRANCESCO – DOGLIANI SUPERIORE PIANEZZO VIGNA SORI' SAN MARTINO D.O.C.G. - 2020 (0,75l) 
 100% Dolcetto,-13,5% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 35.00
RED,"CASTELLO DI AMA – AMA CHIANTI CLASSICO D.O.C.G. - 2020 (0,75l)
 96%-Sangiovese, 4% Merlot, 13% Vol.",SCAFFALE,€ 45.00
RED,"CASTELLO DI AMA – IL CHIUSO I.G.T. - 2021 (0,75l)
 100%-Pinot Nero, 13,5% Vol.",SCATOLA,€ 48.00
RED,"CASTELLO DI AMA – SAN LORENZO GRAN SELEZIONE-D.O.C.G. - 2019 (0,75l)
80% San Giovese, 20% Merlot e Malvasia Nera, 13,5% Vol.",4 BOTTIGLIERA 2 SCATOLA,€ 95.00
RED,"CASTELLO DI AMA – SAN LORENZO GRAN SELEZIONE-D.O.C.G. - 2019 (1,5l)
80% San Giovese, 20% Merlot e Malvasia Nera, 13,5% Vol.",BOTTIGLIERA,€ 190.00
RED,"CASTELLO DI VERDUNO – RABAJA' – BAS BARBARESCO D.O.C.G. - 2019 (0,75l) 
100% Nebbiolo, 14,5% Vol.",SCAFFALE,€ 85.00
RED,"CERETTO – BARBARESCO D.O.C.G. BIO – 2020 (0,75l) 
 100% Nebbiolo, 14% Vol.",BOTTIGLIERA,€ 80.00
RED,"CERETTO – BARBERA D'ALBA D.O.C. PIANA BIO – 2021 (0,75l) 
100% Barbera, 13,5% Vol.",BOTTIGLIERA,€ 35.00
RED,"CERETTO – BAROLO D.O.C.G. BIO-- 2019 (0,75l) 
, 100% Nebbiolo, 14,5% Vol.",BOTTIGLIERA,€ 95.00
RED,"CERETTO – NEBBIOL0 D'ALBA D.O.C. BERNARDINA BIO – 2021 (0,75l) 
100% Nebbiolo. 14,5% Vol.",BOTTIGLIERA,€ 45.00
RED,"COLTERENZIO – LAGREIN D.O.C. RISERVA MANTSCH – 2020 – (0,75l)-100% Lagrein, 13% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 38.00
RED,"COLTERENZIO – PINOT NERO D.O.C. RISERVA ST. DANIEL – 2020 – (0,75l) 100% Pinot Nero, 13,5% Vol. ",4 SCAFFALE 2 MAGAZZINO,€ 38.00
RED,"COLTERENZIO – PINOT NERO D.O.C. RISERVA ST. DANIEL – 2020 – (1,5l) 100% Pinot Nero, 13,5% Vol. ",SOPRA FRIGO,€ 85.00
RED,"GIUSEPPE CORTESE – DOLCETTO D’ALBA D.O.C. - (0,75l) 100% Dolcetto, 12,5% Vol.",BOTTIGLIERA-MAG,€ 25.00
RED,"HARTMANN DONA' – SCHIAVA GRANITO-- 2020 (0,75l)-100% Schiava, 13% Vol. ",SCAFFALE,€ 48.00
RED,"HOFSTATTER – PINOT NERO RISERVA MAZON D.O.C.. - 2020 (0,75l)
100% Pinot Nero, 13.5%-Vol.",4 SCAFFALE 2 MAGAZZINO,€ 75.00
RED,"LES CRETES – PINOT NERO – 2022 (0,75l) 100% Pinot Nero, 13,50 Vol.",,€ 35.00
RED,"LES CRETES – SYRAH D.O.P. COTEAU LA TOUR – 2019 (0,75l) 100% Syrah, 14% Vol.-",,€ 40.00
RED,"MASARI – PINOT NERO COSTANERA NERO VENETO I.G.T. BIO – (0,75l)
 100% Pinot Nero, 13% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 35.00
RED,"MASI – AMARONE DELLA VALPOLICELLA CLASSICO D.O.C. COSTASERA – 2003 – (0,75l) 
 70% Corvina, 25% Rondinella, 5% Molinara, 15% Vol. ",SCAFFALE,€ 195.00
RED,"MASI – AMARONE DELLA VALPOLICELLA CLASSICO D.O.C. COSTASERA – 2004 – (0,75l) 
Corvina, Rondinella, Molinara, 15% Vol.",SCAFFALE,€ 190.00
RED,"MASI – AMARONE DELLA VALPOLICELLA CLASSICO D.O.C.G. COSTASERA – 2017/18– (0,75l) 70% Corvina, 45%, 25% Rondinella, 5% Molinara, 15,5% Vol.-",SCAFFALE,€ 95.00
RED,"MASI – AMARONE DELLA VALPOLICELLA CLASSICO RISERVA D.O.C. COSTASERA – 2005 – (0,75l)
70% Corvina, 25% Rondinella, 5% Molinara, 15% Vol. 15% Vol. ",SCAFFALE,€ 220.00
RED,"MASI – CAMPOFIORIN ROSSO DEL VERONESE I.G.T. DOPPIA FERMENTAZIONE – (0,75l)
 70% Corvina, 25% Rondinella, 5% Molinara, 13% Vol.",SCAFFALE 3,€ 35.00
RED,"MASÙT DA RIVE – SASSIROSSI ISONZO D.O.C. - 2021 (0,75l) 
50% Merlot, 50% Cabernet Sauvignon, 13,5% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 35.00
RED,"MONTE BRECALE-AMMONITE ROSSO I.G.T. - 2022-(0,75l) 70% Merlot, 10% Carmenere, 20% Cabernet Sauvignon, 13,5% Vol.",,€ 30.00
RED,"OTTOMANI – CHIANTI COLLI FIORENTINI D.O.C.G. (0,75l)- 90% San Giovese, 10% Cannaiolo, 13,5% Vol.",SCAFFALE,€ 30.00
RED,"OTTOMANI – L'ANFORA VARIETA' ANTICHE TOSCANA I.G.T. BIO - (0,75l) 
 40% Cannaiolo, 30% Colorino, 15% Ciliegiolo, 15% Malvasia, 13% Vol.",SCAFFALE,€ 65.00
RED,"PARASCHOS-MERLOT 2017 - 2017 (0,75l)-100% Merlot, 13% Vol.",,€ 60.00
RED,"PIEROPAN – AMARONE DELLA VALPOLICELLA VIGNA GARZON D.O.C.G. - 2017 (0,75l)
 60% Corvina, Croatina, Rondinella, Corvinone, 16,5% Vol",BOTTIGLIERA,€ 110.00
RED,"PIEROPAN – VALPOLICELLA SUPERIORE S.O.C. RUBERPAN-- 2020 (0,75l)
60% Corvina, 30% Rondinella, Corvinone e Croatina Veronese, 10% altri vitigni, 13,5% Vol.",BOTTIGLIERA,€ 40.00
RED,"PIETRO CACIORNIA – ETNA ROSSO CIAURIA D.O.C. - 2021 (0,75l) 100% Nerello Mascalese, 13,5% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 45.00
RED,"POGGIO SCALETTE – CHIANTI CLASSICO D.O.C.G. - 2021 (0,75l)- 100% San Giovese 13% Vol.",SCAFFALE,€ 30.00
RED,"QUINTARELLI GIUSEPPE – VALPOLICELLA D.O.C. SUPERIORE – 2015 – (0,75l)
55% Corvina, 30% Rondinella, 15% Cabernet, 15% Vol.",SCAFFALE,€ 180.00
RED,"RONCO SEVERO – REFOSCO DAL PEDUNCOLO ROSSO COLLI ORIENTALI D.O.C. - 2019 (0,75l) 
100% Refosco, 14% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 55.00
RED,"RUBINELLI VAJOL – VALPOLICELLA CLASSICO D.O.C. - (0,75l) 45% Corvina, 35% Corvinone, 15% Rondinella, 5 % Molinara, 12,5% Vol.",BOTTIGLIERA-MAG,€ 30.00
RED,"SARAJA – CANNONAU DI SARDEGNA AISITTA' D.O.C. - RISERVA 2019 (0,75l) 100% Cannonau, 14,5% Vol",4 SCAFFALE 2 MAGAZZINO,€ 40.00
RED,"SARAJA – CANNONAU DI SARDEGNA INKIBI – 2021 (0,75l)-100% Cannonau, 13% Vol.",SCAFFALE,€ 25.00
RED,"TASCA D'ALMERITA – FRAPPATO D.O.C. - 2021 (0,75l)-100% Frappato, 12,5% Vol.",,€ 30.00
RED,"TASCA D'ALMERITA – GUARNACCIO PERRICONE D.O.C. - 2020 (0,75l)-100% Perricone, 13% Vol.",SOPRA FRIGO,€ 30.00
RED,"TENUTA KLOSTERHOF – PLANTADITSCH KALTERERSEE CLASSICO SUPERIORE – (0,75l)
 100% Schiava, 13% Vol,",SCAFFALE,€ 30.00
RED,"TENUTA ROTTENSTEINER – BLAUBURGUNDER D.O.C. - 2021 (0,75l) 
 100% Pinot Nero, 15% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 30.00
RED,"TOBLINO – LAS LAGREIN TRENTINO BIO D.O.C. - 2018 (0,75l) 100% Lagrein, 12,5% Vol. ",,€ 50.00
RED,"VILLA SPINOSA – RIPASSO VALPOLICELLA JAGO CLASSICO SUPERIORE D.O.C. - 2018 (0,75l)
45% Corvina , 45% Corvinone , 10% Rondinella, 13,5% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 35.00
RED,"ZENATO – RIPASSA VALPOLICELLA RIPASSO D.O.C. SUPERIORE 2015 – (0,75l)
 85% Corvina, 10% Rondinella, 5% Oseleta, 14% Vol.",SCAFFALE,€ 45.00
RED,"C. PALOUMEY – HAUT-MEDOC CRU BOURGEOUS-- 2016 (0,75l) Bordeaux, Francia, 55% Cabernet Sauvignon 42% Merlot 3% Cabernet Franc 13,5% Vol. ",4 SCAFFALE 2 MAGAZZINO,€ 70.00
RED,"CHATEAU CANTENAC BROWN – LE BRIO DE CANTENAC BROWN MARGAUX-- 2016 (0,75l)-Bordeaux ,Francia 5% Cabernet Franc 65% Cabernet Sauvignon 30% Merlot, 13% Vol.",SCAFFALE 2,€ 120.00
RED,"CHÂTEAU PEY LA TOUR – BORDEAUX SUPÉRIEUR – RESERVE DU CHATEAU 2018 (0,75l)
 Bordeaux, Francia, 100% Merlot, 15% Vol.",SCAFFALE 2,€ 60.00
RED,"CLOS ST. JEAN – CHATEAUNEUF-DU-PAPE ROUGE – 2020-(0,75l)-Rhone Francia, 75% Grenache 15% Syrah 5% Cinsault 5% Mourvèdre, 16% Vol. ",4 SCAFFALE 2 MAGAZZINO,€ 110.00
RED,"DOMAINE DU HAUT PERRON – TOURAINE CHENONCEAUX ROUGE – 2015 (0,75l) Valle Della Loira, Francia, 55% Malbec 45% Cabernet Franc 13% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 45.00
RED,"DOMAINE GALLETY – ROUGE – 2017 (0,75l)-Vallle del Rofano Francia, 50% Grenache 50% Syrah, 13,5% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 55.00
RED,"DOMAINE GUY & YVAN DUFOULEUR – LES GOLLARDES SAVIGNY LES BEAUNE AOC– 2018 (0,75l)
 Borgogna-Francia, 100% Pinot Nero, 13% Vol.",SCAFFALE 3,€ 65.00
RED,"DOMAINE RATTE – CLOS MAIRE ARBOIS – (0,75l) Pinot Noir, Trousseau, 12,5% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 55.00
RED,"DOMAINE STEPHANE MAGNIEN – COTEAUX BOURGUIGNOS – 2021-(0,75l)-Borgogna-Coteaux Bourguignos-Francia 100% Pinot nero,-12,5% Vol. ",SCAFFALE 2,€ 80.00
RED,"JEINNIARD ALAIN – QUINTESSENCE BOURGOGNE - 2019 (0,75l)
Borgogna, Francia, 100% Pinot Nero, 14% Vol.",SCAFFALE,€ 65.00
RED,"MARJAN SIMCIC – CABERNET SAUVIGNON – 2018 (0,75l) Slovenia, 100% Cabernet Sauvignon, 13% Vol.",SCAFFALE 2,€ 35.00
RED,"NICOLAS ROSSIGNOL - BOURGOGNE PINOT NOIR – 2019 (0,75l)
 – Borgogna, Francia, 100% Pinot Nero, 13% Vol.",4 SCAFFALE 2 MAGAZZINO,€ 70.00
RED,"NICOLAS ROSSIGNOL - VOLNAY CLOS DE ANGELES 1er Cru – 2019 (0,75l)--Borgogna, Francia, 100% Pinot Nero, 13% Vol.",SCAFFALE,€ 280.00
RED,"POMMARD - NOIZONS – 2019 (0,75l)--Borgogna, Francia, 100% Pinot Nero, 13% Vol.",SCAFFALE,€ 250.00
RED,"TORO ALBALA' – MONTILLA MORILES DON PX GRAN RISERVA – 1999 (0,75l)
 Andalusia, Spagna, 100% Pedro Ximenez, 17% Vol.",BOTTIGLIERA,€ 90.00
RED,"YVAN BERNARD-BANLIEUE ROUGE – 2022 (0,75l) Auvergne, Francia, 100% Gamay, 13% Vol.",,€ 50.00
