type,full_details,area,price
SPARKLING,"SCANDOLERA – PROSECCO SUPERIORE D.O.C.G. ASOLO 4.0 EXTRA BRUT (0.75l)-100% Glera, 11,5% Vol.",FRIGO MESCITA,€ 25.00
SPARKLING,"SCANDOLERA – PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE – COSTA D'ORO BRUT (0.75l)-100% Glera, 11,5% Vol.",FRIGO MESCITA,€ 25.00
SPARKLING,"SCANDOLERA – PROSECCO SUPERIORE D.O.C.G. CONEGLIANO, VALDOBIADENE – VIGNETI DEL FAIT EXTRA DRY (0.75l)-100% Glera, 11,5% Vol.",FRIGO MESCITA,€ 25.00
SPARKLING,"ARNAUD LAMBERT --CRÉMANT DE LOIRE BRUT ROSE’ – (0.75l) Valle della Loira, Francia, 100% Cabernet Franc, 12,5% ",2-4,€ 50.00
SPARKLING,"ARNAUD LAMBERT – CRÉMANT DE LOIRE BLANC BRUT – (0.75l) Valle della Loira, Francia, 90% Chenin, 10% Chardonnay, 12,5% ",2-4,€ 50.00
SPARKLING,"CLOS DE LA BRIDERIE –CRÉMANT DE LOIRE BRUT PURETÉ DE SILEX - (0.75l) Valle Della Loira, Francia, 20% Cabernet F., 20% Cabernet S.,-20% Chardonnay, 20% Chenin blanc, 12,5% Vol.",,€ 50.00
SPARKLING,"DOMAINE PIGNIER – CREMANT DE JURA BRUT NATURE AOC (0.75l)
Jura Francia, Chardonnay, Pinot Nero, 12,5% Vol.",2-2,€ 55.00
SPARKLING,"DOMAINE ROBERT ROTH-CREMANT D’ALSACE BLANC DE BLANCS BRUT DE GRES EXTRA BRUT BIO - 2021 (0.75l) Alsazia, Francia, 90% Pinot Bianco, 10% Auxerrois, 12,5% Vol.",,€ 50.00
SPARKLING,"FABRICE & VALERIE CLOSSET-- CREMANT DU JURA BRUT ZERO DOSAGE (0.75l)- Alsazia Francia, Chardonnay, Savagnin, 13% Vol.",FRIGO MESCITA,€ 55.00
SPARKLING,"LAURENT COGNARD & CO.-CREMANT DE BOURGOGNE BLANC DE NOIIRS EXTRA BRUT - 2018 (0.75l) Borgogna, Francia, 100% Pinot Nero, 12,5% Vol.",,€ 70.00
SPARKLING,"MEYER FONNET – CREMANT D'ALSACE EXTRA BRUT (A.O.C. 0.75l)
 Alsazia Francia 
60% Pinot Auxerros 20% Chardonnay 15% Pinot Bianco 5% Pinot Nero, 12,% Vol.",2-1,€ 50.00
SPARKLING,"PAUL EDUARD – CREMANT D'ALSACE EXTRA BRUT-CUVEE (0.75l)
 Alsazia Francia, 40% Pinot Bianco, 40% Chardonnay, 30% Pinot Nero, 12,5% Vol.",2-1,€ 50.00
SPARKLING,"VEUVE AMBAL –-CREMANT DE BOURGOGNE BRUT-(0.75l)
Borgogna, Francia, Chardonnay Pinot Noir, 12% Vol.",2-2,€ 50.00
SPARKLING,"ADRIEN DHONDT-LES COULLEMETS GRAND CRU - 2018 (0,75l) Champagne,Francia, 100% Chardonnay, 12% Vol.",,€ 380.00
SPARKLING,"AGRAPART – COMPLANTÉE EXTRA BRUT GRAND CRU – (0.75l)
 Chardonnay, Pinot Noir, Pinot Meunier, Pinot Blanc, Arban, Petit Meslie, 12,5% Vol.",,€ 180.00
SPARKLING,"AGRAPART – LES 7 CRUS EXTRA BRUT – (0.75l)
 Champagne, Francia, 90% Chardonnay, 10% Pinot Nero, 12% Vol.",1-2,€ 150.00
SPARKLING,"ALAIN VESSELLE -TRADITION BRUT (0.75l)
 Bouzy (Francia), 20% Chardonnay 90% Pinot nero, 12,5% Vol.",1-3,€ 70.00
SPARKLING,"ANDRÉ BEAUFORT – AMBONNAY BRUT RESERVE---(0.75l)
Champagne, Francia, 80% Pinot Nero, 20% Chardonnay, 12%",2-1,€ 200.00
SPARKLING,"ANDRE' JACQUART – VERTUS EXPERIENCE BLANC DE BLANC-EXTRA BRUT PREMIER CRU --(0.75l)
 Blancs-Coteaux Francia, 100% Chardonnay, 12,5% Vol.",1-3,€ 75.00
SPARKLING,"ARMAND DE BRIGNAC – GOLD BRUT – (0.75l)
 Francia, Chardonnay, Pinot Noir, Pinot Meunier, 12,5% Vol.",SCAFFALE,€ 670.00
SPARKLING,"AUBRY-LE NOMBRE D’OR SABLE’ BLANC DE BLANCS BRUT NATURE - 2018 (0,75l) Champagne, Francia, 100% Chardonnay, 12,5% Vol.",,€ 215.00
SPARKLING,"AUBRY – PREMIER CRU BRUT (0,75l)
Champagne, Francia, 20% Pinot Nero, 20% Chardonnay, 60% Pinot Meunier, 12,5% Vol.",1-2,€ 85.00
SPARKLING,"BERECHE ET FILS – AY-GRAND CRU EXTRA BRUT MILESIME – 2014 (0.75l)
Champagne, Francia, 80% Pinot Nero, 20% Chardonnay",2-1,€ 490.00
SPARKLING,"BERECHÉ ET FILS – BRUT RESERVE --(0.75l) Champagne, Francia, 35% Chardonnay, 35% Pinot Meunier, 30% Pinot Nero, 12% Vol. ",,€ 150.00
SPARKLING,"BERECHÉ ET FILS – CAMPANIA REMENSIS EXTRA MILLESIMATO EXTRA BRUT - 2018-(0.75l)
 Champagne, Francia, Chardonnay, Pinot Meunier, Pinot Nero, 12% Vol.",2-1,€ 190.00
SPARKLING,"BILLECART SALMON – BRUT-ROSÉ – (0.75l)- Francia, 30% Chardonnay, 30% Pinot Noir, 40% Pinot Meunier, 12,5% Vol.",1-3,€ 200.00
SPARKLING,"BILLECART SALMON – EXTRA BRUT NATURE – (0.75l) 30% Chardonnay, 30% Pinot Noir, 40% Pinot Meunier, 12,5% Vol.",2-1,€ 150.00
SPARKLING,"BOLLINGER-- PN TX17 BLANC DE NOIR – (0.75l)
 Champagne, Francia, 100% Pinot Nero, 12% Vol.",1-5,€ 250.00
SPARKLING,"BOLLINGER – LA GRANDE ANNÉE BRUT – 2014 (0.75l)
 Champagne, Francia, 66% Pinot nero, 34% Chardonnay, 12% Vol.",1-5,€ 380.00
SPARKLING,"BOLLINGER – SPECIAL CUVEE BRUT – (1,5L)
Champagne, Francia, 60% Pinot Nero, 25% Chardonnay, 15% Pinot Meunier, 12% Vol",3-4,€ 310.00
SPARKLING,"BONNET GILMERT – L'EXTRA BLANC DE BLANCS EXTRA BRUT GRAND CRU (0.75l) - Champagne Francia, Pinot Nero, Chardonnay, Pinot Bianco, 12% Vol. ",1-4,€ 85.00
SPARKLING,"BRUNO PAILLARD – ASSEMBLAGE EXTRA BRUT MILLESIMATO – (0,75l) Reims, Francia, 60% Pinot Nero, 40% Chardonnay, 12% Vol.",2-3,€ 240.00
SPARKLING,"BRUNO PAILLARD – EXTRA BRUT MILLESIME BLANC DE BLANCS GRAN CRU – 2013 (0,75l) Reims, Francia, 100% Chardonnay, 12% Vol.",2-3,€ 250.00
SPARKLING,"CAZE’ THIUBAUT – NATURELLEMENT EXTRA BRUT – (0,75l) CAZE’- Champagne, Francia, 100% Pinot Meunier, 12% Vol.",1-5,€ 120.00
