type,area,price,winery_name,vintage,size,name,info,internal_notes
SPARKLING,, 150.00,FRANCK PASCAL,,BOTTLE,TOLERANCE BRUT ROSE’,,
SPARKLING,1-1, 150.00,FRANCK PASCAL,,BOTTLE,FLUENCE BRUT NATURE,,
SPARKLING,1-1, 160.00,FRANCK PASCAL,2012,BOTTLE,HARMONIE BLANC DE NOIRS,,
SPARKLING,1-1, 290.00,FRANCK PASCAL,,BOTTLE,PACIFIANCE BRUT NATURE METODO SOLERA,,
SPARKLING,1-1, 160.00,FRANCK PASCAL,2013,BOTTLE,QUINTE ESSENCE EXTRA BRUT,,
SPARKLING,3-1, 230.00,FRANCK PASCAL,2010,BOTTLE,QUINTE ESSENCE EXTRA BRUT MILLESIMATO,,
SPARKLING,, 180.00,FREDERIC SAVART,,BOTTLE,L'ACCOMPLIE PREMIER CRU EXTRA BRUT,,
SPARKLING,1-3, 140.00,FREDERIC SAVART,2018,BOTTLE,GRAND CRU EXTRA BRUT EPHEMERE 018,,
SPARKLING,, 180.00,FREDERIC SAVART,,BOTTLE,OUVERTURE EXTRA BRUT PREMIER CRU,,
SPARKLING,, 280.00,FREDERIC SAVART,,MAGNUM,OUVERTURE EXTRA BRUT PREMIER CRU,,
SPARKLING,, 150.00,GASTON CHIQUET,,BOTTLE,BRUT PREMIER CRU,,
SPARKLING,1-2, 150.00,GASTON CHIQUET,2013,BOTTLE,AY BLANC DE BLANCSGRAND CRU,,
SPARKLING,1-2, 130.00,GASTON CHIQUET,2014,BOTTLE,BRUT GRAND CRU SPECIAL CLUB,,
SPARKLING,1-2, 130.00,GASTON CHIQUET,,BOTTLE,BRUT ROSE' PREMIER CRU,,
SPARKLING,1-2, 90.00,GASTON CHIQUET,,BOTTLE,TRADITION BRUT PREMIER CRU,,
SPARKLING,1-2, 230.00,GEORGES LAVAL,2020,BOTTLE,BRUT NATURE PREMIER CRU,,
SPARKLING,1-3, 145.00,GONET MÉDEVILLE,,BOTTLE,EXTRA BRUT ROSE’ PREMIER CRU,,
SPARKLING,1, 120.00,GUY LARMANDIER,,BOTTLE,CRAMANT BLANC DE BLANC EXTRA BRUTGRAND CRU,,
SPARKLING,1, 110.00,GUY LARMANDIER,,BOTTLE,CUVEE PREMIER CRU,,
SPARKLING,, 120.00,HERVE’ MATHELIN,,BOTTLE,BRUT PREMIER,,
SPARKLING,1-5, 110.00,J.M. SELEQUE,,BOTTLE,SOLESSENCE EXTRA BRUT,,
SPARKLING,, 450.00,JACQUES SELOSSE,,BOTTLE,INITIAL BLANC DE BLANCS GRAND CRU,,
SPARKLING,2-1, 90.00,JEAN VESSEL,,BOTTLE,ROSE' DE SAIGNEE BRUT,,
SPARKLING,1-5, 380.00,KRUG,,BOTTLE,GRAND CUVEE 170ma EDITION,,
SPARKLING,2-1, 75.64,LAHERT FRÈRES,2021,BOTTLE,ROSE’ DE SAIGNEE’ EXTRA BRUT LES BEAUDIERS,,
SPARKLING,FRIGO MESCITA, 60.00,LAMIABLE,,BOTTLE,LAPIELAMIABLE BRUT,,
SPARKLING,1-4, 210.00,LAMIABLE,,MAGNUM,TERRE D’ETOILES BRUT GRAND CRU MAGNUM,,
SPARKLING,1-4, 110.00,LELARGE PUGEOT,,BOTTLE,TRADITION EXTRA BRUT,,
SPARKLING,1-3, 400.00,LOUIS ROEDERER,2014,BOTTLE,CRISTAL BRUT,,
SPARKLING,1-3, 95.00,MANDOIS,2015,BOTTLE,BLANC DE NOIR BRUT MILLESIME,,
SPARKLING,1-4, 140.00,MARGUET,2019,BOTTLE,YUMAN PREMIER CRUBRUT NATURE BIO,,
SPARKLING,1-5, 150.00,MARGUET,2019,BOTTLE,SHAMAN ROSE' GRAND CRU A.O.C.,,
SPARKLING,1-4, 90.00,MAURICE GRUMIER,,BOTTLE,BLANC DE NOIRS EXTRA BRUT,,
SPARKLING,FRIGO MESCITA, 60.00,MAXIME PONSON,,BOTTLE,PONSON PREMIER CRU BRUT,,
SPARKLING,, 280.00,MICHEL FALLON,,BOTTLE,OZANNE BLANC DE BLANCSGRAND CRU,,
SPARKLING,, 150.00,MINIÉRE F. & R.,,BOTTLE,INFLUENCE ROSE’ BRUT,,
SPARKLING,1-5, 105.00,MINIÉRE F. & R.,,BOTTLE,INFLUENCEBRUT,,
SPARKLING,1-2, 90.00,MONMARTHE,,BOTTLE,BRUT SECRET DE FAMILLE PREMIER CRU,,
SPARKLING,2-2, 120.00,MONMARTHE,2012,BOTTLE,LES GRIPANTS BLANC DE NOIRS PREMIER CRU,,
SPARKLING,, 120.00,MOUSSE’ FILS,,BOTTLE,EUGÈNE BLANC DE NOIRS,,
SPARKLING,, 150.00,MOUSSE’ FILS,2019,BOTTLE,L’ANECDOTE,,
SPARKLING,, 240.00,MOUSSE’ FILS,2018,BOTTLE,SPECIAL CLUB MEUNIER LES FORTES TERRES BLANC DE NOIRS,,
SPARKLING,2-1, 110.00,MOUZON LEROUX,,BOTTLE,L’ATAVIQUE EXTRA BRUT GRAND CRU,,
SPARKLING,, 160.00,MOUZON LEROUX & FILS,,BOTTLE,L’ASCENDANT SOLERA EXTRA BRUT GRAND CRU,,
SPARKLING,, 150.00,MOUZON LEROUX & FILS,,BOTTLE,L’INCANDESCENT ROSE’ DE SAIGNEE EXTRA BRUT,,
SPARKLING,, 210.00,MOUZON LEROUX & FILS,,BOTTLE,L’INEFFABLE EXTRA BRUTBLANC DE NOIRS GRAND CRU,,
