external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
54.6,Marsili Rosato,Tenuta di castellare,,,BOTTLE,,4300.0,,7,"purchase_price:  13.90 € , supplier: Akos, retail_price:  27.98 € , glass_price:  € 7.17 "
55.0,L´Incantatrice,Cantina Lunae,,,BOTTLE,,4000.0,,11,"purchase_price:  10.70 € , supplier: Akos, retail_price:  21.54 € , glass_price:  € 6.67 "
56.0,Pure and Naked,Weingut am Stein,,,BOTTLE,,4800.0,,9,"purchase_price:  18.60 € , supplier: WD, retail_price:  37.44 € , glass_price:  € 8.00 "
56.4,Brut Reserve ,Bründelmayer,,,BOTTLE,,5800.0,,3,"purchase_price:  22.95 € , supplier: Akos, retail_price:  46.20 € , glass_price:  € 9.67 "
57.0,Fantasie der Schieferterassen,Heymann-Löwenstein,,,BOTTLE,2008.0,9700.0,,2,"purchase_price:  48.00 € , supplier: Cuzziol, retail_price:  96.62 € , glass_price:  € 16.17 "
58.0,Weissburgunder Sirmian,Kellerei Nals Margreid,,,BOTTLE,2021.0,4200.0,,81,"purchase_price:  17.00 € , supplier: FW, retail_price:  34.22 € , glass_price:  € 7.00 "
58.0,Weissburgunder ,Romen,,,BOTTLE,2022.0,4000.0,,18,"purchase_price:  10.00 € , supplier: Romen, retail_price:  20.13 € , glass_price:  € 6.67 "
59.0,Weißburgunder Tecum (Magnum),Weingut Castelfeder,,,MAGNUM,2015.0,7900.0,,1,"purchase_price:  33.00 € , supplier: Castelfeder, retail_price:  66.43 € , glass_price:  € 13.17 "
60.0,Weissburgunder Vorberg Riserva,Kellerei Terlan ,,,BOTTLE,2020.0,5500.0,,16,"purchase_price:  20.00 € , supplier: O, retail_price:  40.26 € , glass_price:  € 9.17 "
60.5,Weissburgunder Vorberg Magnum,Kellerei Terlan ,,,MAGNUM,2016.0,12000.0,,4,"purchase_price:  49.85 € , supplier: Karner, retail_price:  100.35 € , glass_price:  € 20.00 "
61.0,Weissburgunder Rarity,Kellerei Terlan ,,,BOTTLE,2007.0,16900.0,,1,"purchase_price:  86.85 € , supplier: Karner, retail_price:  174.83 € , glass_price:  € 28.17 "
61.2,Weissburgunder Rarity,Kellerei Terlan ,,,BOTTLE,2010.0,21700.0,,1,"purchase_price:  107.50 € , supplier: OBK, retail_price:  216.40 € , glass_price:  € 36.17 "
62.0,Weißburgunder Riserva St. Sebastian,Schloss Englar,,,BOTTLE,2019.0,4400.0,,3,"purchase_price:  14.95 € , supplier: FW, retail_price:  30.09 € , glass_price:  € 7.33 "
63.0,Weißburgunder ,Weingut Wassererhof,,,BOTTLE,2019.0,3900.0,,19,"purchase_price:  11.80 € , supplier: O, retail_price:  23.75 € , glass_price:  € 6.50 "
64.0,Weißburgunder Art,Weingut Abraham,,,BOTTLE,2019.0,9000.0,,-1,"purchase_price:  31.00 € , supplier: WD, retail_price:  62.40 € , glass_price:  € 15.00 "
65.0,Weißburgunder Renaissance,Gumphof,,,BOTTLE,2019.0,6200.0,,1,"purchase_price:  26.50 € , supplier: WD, retail_price:  53.34 € , glass_price:  € 10.33 "
67.0,Weißburgunder muschelkalk magnum,Abraham,,,MAGNUM,2018.0,7900.0,,-4,"purchase_price:  39.00 € , supplier: WD, retail_price:  78.51 € , glass_price:  € 13.17 "
68.0,Weißburgunder Muschelkalk,Abraham,,,BOTTLE,2020.0,5200.0,,12,"purchase_price:  16.90 € , supplier: WD, retail_price:  34.02 € , glass_price:  € 8.67 "
69.0,Weißburgunder Amphora,Weingut Hochklaus,,,BOTTLE,2020.0,5400.0,,7,"purchase_price:  22.10 € , supplier: Hochklaus, retail_price:  44.49 € , glass_price:  € 9.00 "
70.0,Weißburgunder Himmelsleiter,castel Juval,,,BOTTLE,2020.0,6000.0,,13,"purchase_price:  19.60 € , supplier: WD, retail_price:  39.45 € , glass_price:  € 10.00 "
71.0,Weißburgunder Kardatsch,Untermoserhof - Georg Ramoser,,,BOTTLE,2021.0,4300.0,,9,"purchase_price:  13.90 € , supplier: FW, retail_price:  27.98 € , glass_price:  € 7.17 "
72.0,Chardonnay Löwengang,Weingut Alois Lageder,,,BOTTLE,2019.0,9300.0,,6,"purchase_price:  44.50 € , supplier: WD, retail_price:  89.58 € , glass_price:  € 15.50 "
72.3,Chardonnay Gottesacker,Martin Abraham,,,BOTTLE,2021.0,5000.0,,16,"purchase_price:  16.90 € , supplier: WD, retail_price:  34.02 € , glass_price:  € 8.33 "
73.0,Chardonnay AU,Kellerei Tiefenbrunner,,,BOTTLE,2017.0,10500.0,,6,"purchase_price:  45.00 € , supplier: FW, retail_price:  90.59 € , glass_price:  € 17.50 "
74.0,"Chardonnay AU AT Tempus (2014,15 u 16)",Kellerei Tiefenbrunner,,,BOTTLE,,11600.0,,9,"purchase_price:  55.00 € , supplier: Cuzziol, retail_price:  110.72 € , glass_price:  € 19.33 "
75.0,"Chardonnay Riserva ""Burgum Novum""",Weingut Castelfeder,,,BOTTLE,2019.0,5300.0,,10,"purchase_price:  19.11 € , supplier: Karner/Castelfeder, retail_price:  38.47 € , glass_price:  € 8.83 "
76.0,Chardonnay Riserva Lina,Weingut Bergmannhof,,,BOTTLE,2021.0,5400.0,,8,"purchase_price:  19.00 € , supplier: WD, retail_price:  38.25 € , glass_price:  € 9.00 "
