ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,47,SPARKLING,"Champagne Memoire Extra Brut I PN, PM, CH",Huré Frères,,BOTTLE,,13200,,5,"purchase_price: 62.00 € , supplier: Karner, retail_price: 124.81 € , glass_price: € 22.00",Memoire Extra Brut Champagne,Huré Frères,wine_01gzr4ksmqedj022j5j6ghbckh,2256807,52.806923,2256807,52.806923
TRUE,48,SPARKLING,Champagne Tradition,Michel Laval,,BOTTLE,,6300,,18,"purchase_price: 26.90 € , supplier: WD, retail_price: 54.15 € , glass_price: € 10.50",Tradition Brut Champagne,Michel Laval,wine_01h4pmmgfvrbjfnjsh52ph6t12,,40.996506,,40.996506
TRUE,50,SPARKLING,Cremant de Loire non dosè / CB,Chateau Pierre-Bise,,BOTTLE,2018,5300,,3,"purchase_price: 18.00 € , supplier: WD, retail_price: 36.23 € , glass_price: € 8.83",Crémant de Loire Non Dose,Château Pierre-Bise,wine_01h0my5srbwc6763t21mwzgf0s,,50.85131,,50.85131
TRUE,51,SPARKLING,Premiere Cuvee Extra brut,Bruno Paillard,,BOTTLE,,9200,,8,"purchase_price: 41.50 € , supplier: Cuzziol, retail_price: 83.54 € , glass_price: € 15.33",Première Cuvée Extra Brut Champagne,Bruno Paillard,wine_01gzr4ks5h4zp749zmdayb3sac,1245747,39.915802,1245747,39.915802
TRUE,53,SPARKLING,Assemblage Millesime,Bruno Paillard,,BOTTLE,2012,12700,,2,"purchase_price: 63.00 € , supplier: Cuzziol, retail_price: 126.82 € , glass_price: € 21.17",Assemblage Brut Champagne,Bruno Paillard,wine_01gzr4ks5h35qv70a07kdtd8tw,1165683,35.95659,1165683,35.95659
TRUE,54,SPARKLING,Kalkspitz,Christoph Hoch,,BOTTLE,,3900,,10,"purchase_price: 10.50 € , supplier: Cuzziol, retail_price: 21.14 € , glass_price: € 6.50",Kalkspitz,Christoph Hoch,wine_01hfvetce1bgr5y3qjygv4jn2d,,49.181286,,49.181286
TRUE,54.5,SPARKLING,Zero Infinito,Pojer & Sandri,,BOTTLE,,4000,,20,"purchase_price: 13.00 € , supplier: FW, retail_price: 26.17 € , glass_price: € 6.67",Zero Infinito,Pojer e Sandri,wine_01gzr4ksehy4wftxc3709gvxsk,2316643,47.803448,2316643,47.803448
TRUE,55,SPARKLING,L´Incantatrice,Cantina Lunae,,BOTTLE,,4000,,11,"purchase_price: 10.70 € , supplier: Akos, retail_price: 21.54 € , glass_price: € 6.67",L’Incantatrice,Lunae,wine_01h0r2ppa1w8k6anh94p2km6tf,,32.36604,,32.36604
TRUE,56,SPARKLING,Pure and Naked,Weingut am Stein,,BOTTLE,,4800,,9,"purchase_price: 18.60 € , supplier: WD, retail_price: 37.44 € , glass_price: € 8.00",Pure & Naked Pet Nat,Am Stein,wine_01hawwcx64m6qge76pqkr43bat,,47.01421,,47.01421
TRUE,56.4,SPARKLING,Brut Reserve,Bründelmayer,,BOTTLE,,5800,,3,"purchase_price: 22.95 € , supplier: Akos, retail_price: 46.20 € , glass_price: € 9.67",Brut Reserve,Weingut Bründlmayer,wine_01h0my5t2pt593y6qzszjfxe59,,24.51033,,24.51033
TRUE,57,SPARKLING,Fantasie der Schieferterassen,Heymann-Löwenstein,,BOTTLE,2008,9700,,2,"purchase_price: 48.00 € , supplier: Cuzziol, retail_price: 96.62 € , glass_price: € 16.17",Fantasie der Schieferterrassen,Heymann-Löwenstein,wine_01gzr4kszd6b3yxh779dcgfbam,,56.339455,,56.339455
TRUE,58,WHITE,Weissburgunder Sirmian,Kellerei Nals Margreid,,BOTTLE,2021,4200,,81,"purchase_price: 17.00 € , supplier: FW, retail_price: 34.22 € , glass_price: € 7.00",Sirmian Pinot Bianco,Nals Margreid,wine_01gzr4kspdtf36964px55qxyer,1134272,46.19906,1134272,46.19906
TRUE,59,WHITE,Weißburgunder Tecum (Magnum),Weingut Castelfeder,,MAGNUM,2015,7900,,1,"purchase_price: 33.00 € , supplier: Castelfeder, retail_price: 66.43 € , glass_price: € 13.17",Tecum Pinot Bianco,Castelfeder,wine_01h0qsxmwg9rwheq6gt9kqzdh6,,37.29905,,37.29905
TRUE,60,WHITE,Weissburgunder Vorberg Riserva,Kellerei Terlan,,BOTTLE,2020,5500,,16,"purchase_price: 20.00 € , supplier: O, retail_price: 40.26 € , glass_price: € 9.17",Pinot Bianco Riserva Vorberg,Terlan (Terlano),wine_01gzr4kskpz3t6pte1cfyvzpzv,77664,47.501358,77664,47.501358
