type,name,winery,info,vintage,size,price,EK
RED,Lagrein Gries,Schreckbichl,,,0.75,"49,00 €",22.4
,Lagrein riserva Furggl,Zemmer,,,0.75,42.00€,18
RED,Lagrein Mirell,Waldgries,,,0.75,"58,00 €",32.4
,Lagrein Porphyr,Terlan,,,0.75,"68,00 €",34.5
RED,Lamarein,Unterganzner,,,0.75,"108,00 €",56
RED,Lagrein Riserva Ronc,Greisbauer,,,0.75,"46,00 €",20.9
RED,Roblinus,Waldgries,,,0.75,"103,00 €",70.3
RED,Lagrein Ris. Gloria,Nusserhof,,,0.75,"78,00 €",47
RED,Lagrein Ris Klosteranger,Muri Gries,,,0.75,"85,00 €",52
RED,Lagrein Riserva Perflabilis,Griesbauer,,,0.75,104.00€,62
RED,T(y)eroldego,Nusserhof,,,0.75,"52,00 €",24
RED,Merlot ris Siebeneich,Kellerei Bozen,,,0.75,"49,00 €",23
RED,Merlot ris Siebeneich,Schreckbichl,,,0.75,"42,00 €",16.9
RED,Merlot ris Staffes,Kornellhof,,,0.75,"45,00 €",18.5
RED,Merlot Quirinus,St. Quirinus,,,0.75,"41,00 €",13.5
,Merlot riserva Punggl,Zemmer,,,0.75,45.00€,17
RED,Merlot ris Gant,Andrianer Kellerei,,,0.75,"67,00 €",35.2
RED,Merlot Nussleiten,Salegg,,,0.75,"63,00 €",34.5
RED,Merlot MMIII,Lageder,,,0.75,"64,00 €",34
RED,Merlot Ris Lona,St. Pauls,,,0.75,"69,00 €",40
RED,Merlot Kressfeld,Kornellhof,,,0.75,"76,00 €",45
RED,Loam,Tramin,,,0.75,"59,00 €",33.9
RED,Cassiano,Manincor,,,0.75,"57,00 €",26.2
RED,Cornelius rosso,Schreckbichl,,,0.75,"48,00 €",22.2
RED,Arzio,Baron di Pauli,,,0.75,"56,00 €",28.8
RED,Iugum,Peter Dipoli,,,0.75,"63,00 €",35
RED,Kermesse Grand Cuvèe,Elena Walch,,,0.75,"73,00 €",47.8
RED,Calldiv Prestige,Von Braunbach,,,0.75,"37,00 €",13.5
RED,Learn,Glassierhof,,,0.75,59.00€,24.3
RED,Linticlarus Cuvee`,Tiefenbrunner,,,0.75,62.00€,30.9
RED,Mauritius,Kellerei Bozen,,,0.75,58.00€,27.5
RED,Kirchegg,Hofstätter,,,0.75,"40,00 €",14.7
