wine_id,external_id,size,vintage,price,purchase_price,info,storage_area,quantity,internal_notes
wine_01h0qzm1va6njhczpztgnchk54,134,BOTTLE,2019,35,0,,,2,
wine_01h0qzm1va6njhczpztgnchk54,134,BOTTLE,2022,35,0,,,6,
wine_01j2228b77e6cn3mr38bddnhr4,136,BOTTLE,2018,43,0,,,4,
wine_01j222g17k8srn0ztm5nvfgaqa,137,BOTTLE,2019,63,0,,,3,
wine_01j222j47m1w53zkk5db3sgbk2,138,BOTTLE,2018,83,0,,,3,
wine_01gzr4ksd3d7r1nat6d0mmwhhg,153,BOTTLE,2009,365,0,,,1,
wine_01gzr4kt10z3t0bvez32dtgmbb,159,BOTTLE,2018,180,0,,,1,
wine_01gzr4kt10z3t0bvez32dtgmbb,159,BOTTLE,2020,180,0,,,1,
wine_01gzr4kt10z3t0bvez32dtgmbb,159,BOTTLE,2019,180,0,,,2,
wine_01h0f3cmcq8trqgcg35yx9h0q2,160,BOTTLE,2016,185,0,,,2,
wine_01h0sq485htby98fz6mmyrx4v7,173,MAGNUM,2016,135,0,,,1,
wine_01j2220hd653cma24yr76zfbpy,180,MAGNUM,2020,155,0,Jährlich nur 150 Flaschen,,2,
wine_01gzr4kt81sdrfzpne7cmmshg2,181,JEROBOAM,2019,240,0,,,1,
wine_01h0my5rk1ctcdv7h4jba8hn9y,186,MATHUSALEM,2016,260,0,,,1,
wine_01gzr4ksg3h1sse37dbw6657x4,190,HALF_BOTTLE,2020,30,0,,,1,
