external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes
71,WHITE,SAUVIGNON “QUARZ” Kellerei Terlan ,,,MAGNUM,0,8400,0.0,0.0,,
71,WHITE,SAUVIGNON “QUARZ” Kellerei Terlan ,,,JEROBOAM,0,8400,0.0,0.0,,
72,WHITE,GEWÜRZTRAMINER “SELIDA” KELLEREI TRAMIN ,,,BOTTLE,0,3000,0.0,0.0,,
73,WHITE,GEWÜRZTRAMINER “CONCERTO” ELENA WALCH ,,,BOTTLE,0,4400,0.0,0.0,,
74,WHITE,Gewürztraminer “Nussbaumer” Kellerei Tramin ,,,BOTTLE,0,4700,0.0,0.0,,
75,WHITE,Terlaner Klassich Cuvee - Kellerei Terlan ,,,BOTTLE,0,3300,0.0,0.0,,
76,WHITE,„Giovo“ Cuvee Bergkellerei Passeier ,,,BOTTLE,0,5100,0.0,0.0,,
77,WHITE,“Nova Domus” Riserva Kellerei Terlan ,,,BOTTLE,0,6300,0.0,0.0,,
78,WHITE,„Dolomytos“ Weisswein Cuvee Weingut Dolomytos ,, Cuvee aus Südtiroler und Griechischen Rebsorten,BOTTLE,0,6400,0.0,0.0,,
79,WHITE,“Beyond The Clouds” Cuvee Weingut Elena Walch ,, GamberoRosso . Veronelli . Bibenda,BOTTLE,0,9000,0.0,0.0,,
80,WHITE,„LR“ Cuvee Kellerei Schreckbichl ,, Falstaff : 95 Punkte,BOTTLE,0,12400,0.0,0.0,,
81,WHITE,„Nama“ Cuvee Kellerei Nals Margreid ,," Robert Parker 96 Punkte, James Suckling 97 Punkte",BOTTLE,0,14300,0.0,0.0,,
82,WHITE,„Appius“ Cuvee Kellerei St. Michael - Eppan ,, Robert Parker 95+ Punkte,BOTTLE,0,16500,0.0,0.0,,
83,WHITE,PRIMO TERLANER “I -Grande” Cuvèe ,, Gambero Rosso,BOTTLE,0,24000,0.0,0.0,,
84,RED,Vernatsch Muri ,,,LITER,0,0,0.0,0.0,,
85,RED,VERNATSCH „SCHICKENBURG“ - KELLEREI MERAN ,,,BOTTLE,0,2600,0.0,0.0,,
86,RED,ST.MAGDALENER CLASSICO - KELLEREI WALDGRIES ,,Gambero Rosso 3 bicchieri,BOTTLE,0,2900,0.0,0.0,,
87,RED,Kalterersee „Bischofsleiten“ Castel Sallegg ,,"Gambero Rosso 3 bicchieri, VERNATSCH-CUP: Vernatsch des Jahres",BOTTLE,0,3200,0.0,0.0,,
88,RED,Vernatsch „Gschleier“ Alte Reben Kellerei Girlan ,," FALSTAFF : 93 Pkt., VERNATSCH-CUP: Vernatsch des Jahres",BOTTLE,0,3500,0.0,0.0,,
89,RED,St. Magdalener „Der Pfannenstiel“ Pfannenstielhof ,,,BOTTLE,0,7900,0.0,0.0,,
90,RED,Blaub. Anrar Andrian,,,BOTTLE,0,0,0.0,0.0,,
91,RED,Blaub. Baltasius schloss englar,,,BOTTLE,0,0,0.0,0.0,,
92,RED,BLAUBURGUNDER „VINSCHGAU“ - KELLEREI MERAN ,,,BOTTLE,0,3100,0.0,0.0,,
93,RED,BLAUBURGUNDER - PLONER ,,,BOTTLE,0,3800,0.0,0.0,,
94,RED,BLAUBURGUNDER RISERVA „MONTICOL“ - TERLAN ,,,BOTTLE,0,4700,0.0,0.0,,
95,RED,Blauburgunder Riserva „Valpitan“ WEINGUT PFÖSTL Schenna ,,,BOTTLE,0,4800,0.0,0.0,,
96,RED,Pinot Nair Aton Elena Walch,,,BOTTLE,0,0,0.0,0.0,,
