ok,external_id,type,name,winery_name,storage_area,size,vintage,price_eur,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,46,SPARKLING,BRUT FRANCIACORTA ALMA GRANDE CUVEE,BELLAVISTA,,BOTTLE,,65,6500,0,,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,42.616524
TRUE,47,SPARKLING,BRUT FRANCIACORTA ROSE’,BELLAVISTA,,BOTTLE,,100,10000,0,,,Franciacorta Rosé,Bellavista,wine_01gzr4ktfzcgrff12qdpgex4k7,,34.428387
TRUE,48,SPARKLING,BRUT FRANCIACORTA ALMA GRANDE CUVEE,BELLAVISTA,,BOTTLE,,65,6500,0,,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,42.616524
TRUE,49,SPARKLING,BRUT FRANCIACORTA ALMA GRANDE CUVEE,BELLAVISTA,,MAGNUM,,140,14000,0,,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,42.616524
TRUE,50,SPARKLING,BRUT FRANCIACORTA BLANC DE BLANCS ZERO’,BELLAVISTA,,MAGNUM,2014,360,36000,0,,,Franciacorta Blanc de Blancs Pas Dosé,Bellavista,wine_01gzr4ktfzs2d8kjj99ks01c0n,,37.856308
TRUE,51,SPARKLING,BRUT FRANCIACORTA RISERVA VITTORIO MORETTI,BELLAVISTA,,BOTTLE,2001,190,19000,0,,,Riserva Vittorio Moretti,Bellavista,wine_01gzr4ktfz37ac5e83ps4t15kn,,46.321835
TRUE,51,SPARKLING,BRUT FRANCIACORTA RISERVA VITTORIO MORETTI,BELLAVISTA,,BOTTLE,2016,190,19000,0,,,Riserva Vittorio Moretti,Bellavista,wine_01gzr4ktfz37ac5e83ps4t15kn,,46.321835
TRUE,52,SPARKLING,BRUT FRANCIACORTA BLANC,CONTADI CASTALDI,,BOTTLE,2019,60,6000,0,,,Franciacorta Blànc,Contadi Castaldi,wine_01gzr4ksccxtp2c61q9ev65fzx,,51.88698
TRUE,53,SPARKLING,BRUT FRANCIACORTA CRU PERDU GRAN ANNATA,BONOMI,,BOTTLE,2013,55,5500,0,Grande Annata,,Franciacorta Cru Perdu,Castello Bonomi,wine_01gzr4kss4tr65wmc5v5h244be,,39.919945
TRUE,53,SPARKLING,BRUT FRANCIACORTA CRU PERDU GRAN ANNATA,BONOMI,,BOTTLE,2016,55,5500,0,Grande Annata,,Franciacorta Cru Perdu,Castello Bonomi,wine_01gzr4kss4tr65wmc5v5h244be,,39.919945
