ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,,WHITE,Vorberg (Pinot Bianco) Cantina Terlano,Vorberg (Pinot Bianco) Cantina Terlano,,BOTTLE,2018,5800,,50,,Pinot Bianco Riserva Vorberg,Terlan (Terlano),wine_01gzr4kskpz3t6pte1cfyvzpzv,77664,50.47218
TRUE,,WHITE,Nova Domus (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,Nova Domus (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,,BOTTLE,2017,8500,,50,,Riserva Nova Domus Terlaner,Terlan (Terlano),wine_01gzr4ksn59np0cz4842jxkmp5,1683261,57.825256
TRUE,,WHITE,Müller Thurgau Kurtatsch,Müller Thurgau Kurtatsch,,BOTTLE,2021,3500,,50,,Müller Thurgau,Cantina Kurtatsch,wine_01h0my5rkkvv5nqtjrch7676wf,,34.028046
TRUE,,WHITE,Pinot Grigio Castel Ringberg Elena Walch,Pinot Grigio Castel Ringberg Elena Walch,,BOTTLE,2022,5200,,50,,Vigna ''Castel Ringberg'' Pinot Grigio,Elena Walch,wine_01gzr4kt16sm52a0mjjy0q62v0,,57.60025
TRUE,,WHITE,Kerner Köfererhof,Kerner Köfererhof,,BOTTLE,2021,3500,,50,,Kerner,Köfererhof,wine_01h0qzm2436ek6qyh1x0vdg86k,,38.159718
TRUE,,WHITE,Arneis Blange' Ceretto,Arneis Blange' Ceretto,,BOTTLE,2021,3900,,50,,Arneis Langhe Blange,Ceretto,wine_01gzr4kt6dcssjtppy7fmpq0c5,,40.967716
TRUE,,WHITE,Colli Torinesi Timorasso Vietti,Colli Torinesi Timorasso Vietti,,BOTTLE,2020,5000,,50,,Derthona Timorasso Colli Tortonesi,Vietti,wine_01gzr4kt7r41fhecz2qq927mr3,,45.92127
TRUE,,WHITE,Alteni di Brassica (Sauvignon) Gaja,Alteni di Brassica (Sauvignon) Gaja,,BOTTLE,2020,21000,,50,,Alteni di Brassica Langhe,Gaja,wine_01gzr4kspp1wft0m7a4hmjh53e,1323602,43.888542
TRUE,,WHITE,Gaia & Rey (Chardonnay) Gaja,Gaia & Rey (Chardonnay) Gaja,,BOTTLE,2020,40500,,50,,Gaia & Rey Langhe,Gaja,wine_01gzr4ksppmrbs9bck881h9qrt,2410111,60.59934
TRUE,,WHITE,Pomino Bianco Benefizio Frescobaldi,Pomino Bianco Benefizio Frescobaldi,,BOTTLE,2017,4900,,50,,Benefizio Riserva Pomino Bianco,Castello Pomino,wine_01gzr4kss348s7ywj3zfqbtkz4,1127204,44.40219
TRUE,,WHITE,Cervaro Della Sala Antinori,Cervaro Della Sala Antinori,,BOTTLE,2020,10000,,50,,Castello della Sala Cervaro della Sala,Antinori,wine_01gzr4ksd3b397szz15dat7s7b,1688,44.15679
TRUE,,WHITE,Cerdeña (Vermentino) Argiolas,Cerdeña (Vermentino) Argiolas,,BOTTLE,2015,7600,,50,,Cerdeña Vermentino di Sardegna,Argiolas,wine_01gzr4ksrxxsxmvm7ddkhjpdts,7428276,36.76098
TRUE,,WHITE,Riesling Grand Cru Neumeyer,Riesling Grand Cru Neumeyer,,BOTTLE,2018,6000,,50,,Riesling Alsace Grand Cru ''Bruderthal'',Domaine Gérard Neumeyer,wine_01h0qzm1j0ypx8hz2brm4x85bc,,26.491009
TRUE,,WHITE,Gewürztraminer Grand Cru Pierre Frick,Gewürztraminer Grand Cru Pierre Frick,,BOTTLE,2013,8500,,50,,Gewürztraminer Alsace Grand Cru ''Steinert'',Pierre Frick,wine_01hczek24vaphscsyhe36ynv3j,,38.640125
