external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity,name,storage_area,info,internal_notes
8025493523173.0,RED,CABERNET FRANC,CABERNET FRANC,FRIULI VENEZIA GIULIA,COLLIO,RUSSIZ SUPERIORE,2021.0,BOTTLE,33,12.0,16.0,CABERNET FRANC CABERNET FRANC,,,Purchase Price: 12.0
87654657687965.0,SPARKLING,CHAMPAGNE,BLANC DE BLANCS,FRANCIA,CHAMPAGNE,MAURICE GRUMIER,,BOTTLE,90,37.0,6.0,CHAMPAGNE BLANC DE BLANCS,,,Purchase Price: 37.0
5678976228.0,SPARKLING,CHAMPAGNE,BLANC DE BLANCS EB GRAN CRU,FRANCIA,CHAMPAGNE,VAUVERSIN,,BOTTLE,70,32.0,12.0,CHAMPAGNE BLANC DE BLANCS EB GRAN CRU,,,Purchase Price: 32.0
3760105450236.0,SPARKLING,CHAMPAGNE,BLANC DE BLANCS GRAN CRU,FRANCIA,CHAMPAGNE,LEGRAS & HAAS,,BOTTLE,85,39.0,1.0,CHAMPAGNE BLANC DE BLANCS GRAN CRU,,,Purchase Price: 39.0
76985786798656.0,SPARKLING,CHAMPAGNE,BLANC DE BLANCS GRAN CRU EB,FRANCIA,CHAMPAGNE,LEMESNIL,,BOTTLE,75,28.0,5.0,CHAMPAGNE BLANC DE BLANCS GRAN CRU EB,,,Purchase Price: 28.0
1234567802022.0,SPARKLING,CHAMPAGNE,BLANC DE BLANCS NATURE,FRANCIA,CHAMPAGNE,LAHERTE FRERES,,BOTTLE,95,42.0,2.0,CHAMPAGNE BLANC DE BLANCS NATURE,,,Purchase Price: 42.0
3446281300038.0,SPARKLING,CHAMPAGNE,BLANCS DE BLANC,FRANCIA,CHAMPAGNE,PALMER & C,,BOTTLE,80,35.5,1.0,CHAMPAGNE BLANCS DE BLANC,,,Purchase Price: 35.5
3418760000654.0,SPARKLING,CHAMPAGNE,BRUT,FRANCIA,CHAMPAGNE,DELAMOTTE,,BOTTLE,75,35.0,2.0,CHAMPAGNE BRUT,,,Purchase Price: 35.0
3353210019711.0,SPARKLING,CHAMPAGNE,BRUT EXCELLENCE,FRANCIA,CHAMPAGNE,GOSSET,,BOTTLE,75,27.0,3.0,CHAMPAGNE BRUT EXCELLENCE,,,Purchase Price: 27.0
8767564563454.0,SPARKLING,CHAMPAGNE,BRUT NAURE ZERO,FRANCIA,CHAMPAGNE,TARLANT,,BOTTLE,85,39.0,1.0,CHAMPAGNE BRUT NAURE ZERO,,,Purchase Price: 39.0
3114080404355.0,SPARKLING,CHAMPAGNE,COLLECTIO 243,FRANCIA,CHAMPAGNE,LOUIS ROEDERER,,BOTTLE,90,45.0,6.0,CHAMPAGNE COLLECTIO 243,,,Purchase Price: 45.0
97656777.0,SPARKLING,CHAMPAGNE,CONTRÈE NOIR EB,FRANCIA,CHAMPAGNE,BROCARD PIERRE,2015.0,BOTTLE,90,45.0,1.0,CHAMPAGNE CONTRÈE NOIR EB,,,Purchase Price: 45.0
3114080701454.0,SPARKLING,CHAMPAGNE,CRISTAL,FRANCIA,CHAMPAGNE,VEUVE CLICQUOT,2014.0,BOTTLE,350,145.0,2.0,CHAMPAGNE CRISTAL,,,Purchase Price: 145.0
897867564534.0,SPARKLING,CHAMPAGNE,CUVÈE 746 EB,FRANCIA,CHAMPAGNE,JAQUESSON,,BOTTLE,120,50.0,3.0,CHAMPAGNE CUVÈE 746 EB,,,Purchase Price: 50.0
8787783983879.0,SPARKLING,CHAMPAGNE,GRAN CRU V.P.,FRANCIA,CHAMPAGNE,EAGLY-OURIET,2014.0,BOTTLE,190,90.0,2.0,CHAMPAGNE GRAN CRU V.P.,,,Purchase Price: 90.0
87654758978.0,SPARKLING,CHAMPAGNE,GRAND CRU,FRANCIA,CHAMPAGNE,EAGLY-OURIET,2017.0,BOTTLE,160,68.0,4.0,CHAMPAGNE GRAND CRU,,,Purchase Price: 68.0
8978965.0,SPARKLING,CHAMPAGNE,GRAND CRU,FRANCIA,CHAMPAGNE,FRANCOIS SECONDE,,BOTTLE,75,27.95,6.0,CHAMPAGNE GRAND CRU,,,Purchase Price: 27.95
,SPARKLING,CHAMPAGNE,GRAND CRU BRUT,FRANCIA,CHAMPAGNE,FRANCOIS SECONDE,,MAGNUM,160,75.0,3.0,CHAMPAGNE GRAND CRU BRUT,,,Purchase Price: 75.0
,SPARKLING,CHAMPAGNE,GRAND MILLESIME BRUT,FRANCIA,CHAMPAGNE,PAUL BARA,2016.0,BOTTLE,90,36.5,1.0,CHAMPAGNE GRAND MILLESIME BRUT,,,Purchase Price: 36.5
