ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,564739392302,RED,BAROLO MONFORTINO,GIACOMO CONTERNO,,MAGNUM,2014,2800,,1,Purchase Price: 700.0,Barolo Riserva Monfortino,Giacomo Conterno,wine_01gzr4ksd80dyvp82qzdjyy0rb,82199,52.600784
TRUE,,RED,BAROLO MONFORTINO,GIACOMO CONTERNO,,MAGNUM,2015,3000,,1,Purchase Price: 800.0,Barolo Riserva Monfortino,Giacomo Conterno,wine_01gzr4ksd80dyvp82qzdjyy0rb,82199,52.600784
TRUE,90878965,RED,BAROLO MONVIGLIERO RISERVA,CASTELLO DI VERDUNO,,BOTTLE,2013,135,,1,Purchase Price: 50.0,Barolo Monvigliero Riserva,Castello di Verduno,wine_01gzr4kss6wejyrptyk92y30kv,1221165,51.311462
TRUE,,RED,BAROLO PERCRISTINA,DOMENICO CLERICO,,BOTTLE,2011,220,,2,Purchase Price: 110.0,Barolo Percristina,Domenico Clerico,wine_01gzr4kt7majp35swkq918rjeb,,60.4926
TRUE,8033254937688,RED,BAROLO PRAPÒ,CERETTO,,MAGNUM,2016,420,,1,Purchase Price: 230.0,Barolo Prapò,Ceretto,wine_01gzr4kt6ehmbxr0sw4wbs86bm,,46.37921
TRUE,,RED,BAROLO SERRALUNGA,PIRA,,BOTTLE,2019,65,,6,Purchase Price: 22.0,Barolo Serralunga,Pira Luigi,wine_01gzr4kt5ya90k7beem23yfk2p,,34.974117
TRUE,3582100840,RED,BAROLO TEBAVIO,TENUTA ILLUMINATA,,BOTTLE,2007,70,,2,Purchase Price: 23.0,Tebavio Barolo,Tenuta L'Illuminata,wine_01h0my5sf3fp0c6rvvbbpanvez,,31.47053
TRUE,,RED,BAROLO TEBAVIO,TENUTA ILLUMINATA,,BOTTLE,2009,75,,1,Purchase Price: 24.0,Tebavio Barolo,Tenuta L'Illuminata,wine_01h0my5sf3fp0c6rvvbbpanvez,,31.47053
TRUE,,RED,BAROLO TEBAVIO,TENUTA ILLUMINATA,,BOTTLE,2014,70,,1,Purchase Price: 23.0,Tebavio Barolo,Tenuta L'Illuminata,wine_01h0my5sf3fp0c6rvvbbpanvez,,31.47053
TRUE,8978965,RED,BAROLO TRETURNE,FOGLIATI,,BOTTLE,2017,65,,1,Purchase Price: 24.0,Treturne Barolo,Fogliati,wine_01hfxnej7v2gy7a1nfwbny6adb,,50.035763
