external_id,type,name_one,name_two,Stato,Zona,winery_name,vintage,size,price,cost,quantity
97656777,SPARKLING,CHAMPAGNE,CONTRÈE NOIR EB,FRANCIA,CHAMPAGNE,BROCARD PIERRE,2015,"0,75",90,45,1
3114080701454,SPARKLING,CHAMPAGNE,CRISTAL,FRANCIA,CHAMPAGNE,VEUVE CLICQUOT,2014,"0,75",350,145,2
897867564534,SPARKLING,CHAMPAGNE,CUVÈE 746 EB,FRANCIA,CHAMPAGNE,JAQUESSON,,"0,75",120,50,3
8787783983879,SPARKLING,CHAMPAGNE,GRAN CRU V.P.,FRANCIA,CHAMPAGNE,EAGLY-OURIET,2014,"0,75",190,90,2
87654758978,SPARKLING,CHAMPAGNE,GRAND CRU,FRANCIA,CHAMPAGNE,EAGLY-OURIET,2017,"0,75",160,68,4
8978965,SPARKLING,CHAMPAGNE,GRAND CRU,FRANCIA,CHAMPAGNE,FRANCOIS SECONDE,,"0,75",75,27.95,6
,SPARKLING,CHAMPAGNE,GRAND CRU BRUT,FRANCIA,CHAMPAGNE,FRANCOIS SECONDE,,MG,160,75,3
,SPARKLING,CHAMPAGNE,GRAND MILLESIME BRUT,FRANCIA,CHAMPAGNE,PAUL BARA,2016,"0,75",90,36.5,1
3353211012216,SPARKLING,CHAMPAGNE,GRANDE RESERVE BRUT,FRANCIA,CHAMPAGNE,GOSSET,,"0,75",80,35,3
3049614176814,SPARKLING,CHAMPAGNE,LA GRAND DAME,FRANCIA,CHAMPAGNE,VEUVE CLICQUOT,2018,"0,75",250,120,1
347275267252626,SPARKLING,CHAMPAGNE,LATITUDINE,FRANCIA,CHAMPAGNE,LARMANDIER-BERNIER,,"0,75",100,45,3
97856467567567,SPARKLING,CHAMPAGNE,LES PARCELLES GRAN CRU EB,FRANCIA,CHAMAPAGNE,LEMESNIL,,"0,75",90,40,2
8978654567,SPARKLING,CHAMPAGNE,LES PARCELLES GRAND CRU EB,FRANCIA,CHAMAPGNE,PIERRE PAILLARD,,"0,75",90,40,3
778633638378,SPARKLING,CHAMPAGNE,LES TERRES FINE B\B PREMIER CRU EB,FRANCIA,CHAMPAGNE,DHONT-GRELLET,,"0,75",130,62,2
478794879489,SPARKLING,CHAMPAGNE,LES VIGNES DE VRIGNY,FRANCIA,CHAMPAGNE,EAGLY-OURIET,2018,"0,75",100,56,1
980789656,SPARKLING,CHAMPAGNE,LONGITUTUDE 1CRU B\B,FRANCIA,CHAMPAGNE,LARMANDIER-BERNIER,,"0,75",100,54,6
98765456,SPARKLING,CHAMPAGNE,PREMIER CRU BRUT,FRANCIA,CHAMPAGNE,AUBRY,,"0,75",70,25,1
3260923020128,SPARKLING,CHAMPAGNE,SIR WINSTON  CHURCHILL,FRANCIA,CHAMPAGNE,POL ROGER,2012,"0,75",300,140,1
3052853075909,SPARKLING,CHAMPAGNE,SPECIAL CUVÈE,FRANCIA,CHAMPAGNE,BOLLINGER,,"0,75",90,42,3
