type,name,size,vintage,winery,qty,purchase_price_eur,sales_price_eur
WHITE,Weissburgunder „Schulthauser“,,2023,St.Michael Eppan,18, 10.50 € ,34
WHITE,Weissburgunder „Strahler“,,2022,Stroblhof,18, 11.50 € ,36
WHITE,Weissburgunder Doc ,,2022,Klaus Lentsch,29, 9.50 € ,33
WHITE,,,2021,,,,
WHITE,,,,,,,
WHITE,Pinot Grigio Punggl,,2022,Nals Magreid,18, 13.40 € ,40
WHITE,,,2020,,,,
WHITE,Pinot Grigio Aristos,,2022,Eisacktaler,12, 14.10 € ,41
WHITE,,,,,,,
WHITE,Sauvignon,,2021,Wassererhof,39, 11.80 € ,36
WHITE,Sauvignon Porphyr & Kalk,,2022,Niedrist,13, 16.10 € ,44
WHITE,Sauvignon Tasnim,,2022,Loacker,11,,
WHITE,Sauvignon Lafòa,,2022,Schreckbichl,12, 20.40 € ,52
WHITE,Sauvignon Lafòa – MAG,MAGNUM,2022,Schreckbichl,2, 44.80 € ,104
WHITE,Sauvignon Lafòa – MAG,MAGNUM,2021,,4,,
WHITE,Sauvignon Quarz,,2022,Terlan,6, 37.30 € ,78
WHITE,Sauvignon Quarz – MAG,MAGNUM,2020,Terlan,2, 78.30 € ,156
WHITE,Sauvignon TWC (The Wine Collection),,2017,St. Michael Eppan,4, 81.10 € ,141
WHITE,Sauvignon DOC,,2019,Bergkellerei Passeier,16, 21.70 € ,54
WHITE,,,,,,,
WHITE,Kerner,,2023,Köfererhof,30, 13.20 € ,36
WHITE,Kerner – MAG,MAGNUM,2022,Köfererhof,3, 33.60 € ,72
WHITE,Kerner   wein.werk,,2023,Griesser Hof,25, 12.70 € ,38
WHITE,Kerner MAG   wein.werk,MAGNUM,2023,Griesser Hof,1, 36.70 € ,76
WHITE,Kerner Kontour - Natural wine,,2021,Rielinger,10, 25.00 € ,60
WHITE,Kerner Praepositus,,2022,Neustift,10, 16.20 € ,45
WHITE,Sylvaner Praepositus,,2021,Neustift,12, 15.20 € ,43
WHITE,Sylvaner,,2022,Thomas Dorfmann,6, 16.00 € ,45
WHITE,,,2019,,5,,
WHITE,Riesling Praepositus,,2021,Neustift,10, 22.30 € ,43
WHITE,Riesling Kaiton,,2023,Kuenhof,16, 17.10 € ,45
WHITE,,,,,,,
WHITE,Gewürztraminer Campaner,,2022,Kaltern,7, 11.30 € ,34
WHITE,Gewürztraminer “Am Sand” - biodyn,,2022,Alois Lageder,10, 17.30 € ,46
WHITE,Gewürztraminer Flora,,2022,Girlan,22, 16.80 € ,46
WHITE,Gewürztraminer Nussbaumer,,2022,Tramin,17, 22.10 € ,55
WHITE,Gewürztraminer - Selezione,,2023,Elena Walch,26, 10.45 € ,34
WHITE,,,,,,,
WHITE,Friuli – Friaul,,,,,,
WHITE,Vitovska – Natural wine,,2018,Zidarich,9, 20.90 € ,57
WHITE,Vitovska Kamen – Natural wine in Pietra,,2018,Zidarich,8, 46.50 € ,75
WHITE,Malvasia “Damijan”,,2016,Damijan Podversic,6, 23.00 € ,59
WHITE,Friulano “San Zuan”,,2022,Ronco del Gnemiz,7, 23.50 € ,47
WHITE,Ribolla Gialla Collio DOC - Natural wine,,2017,La Castellada,14, 20.80 € ,49
WHITE,,,,,,,
WHITE,Trentino - Trient,,,,,,
WHITE,Pinot Grigio - Fuoripista - Natural vine,,2022,Foradori,16, 24.50 € ,59
WHITE,,,,,,,
WHITE,Veneto,,,,,,
WHITE,Lugana,,2023,Allegrini,17, 9.90 € ,33
WHITE,,,,,,,
WHITE,Abruzzo - Abruzzen,,,,,,
WHITE,Trebbiano d'Abruzzo - Anfora,,2020,Az.Agr.Cirelli,6, 16.60 € ,44
WHITE,,,,,,,
WHITE,Campania,,,,,,
WHITE,Greco di Tufo,,2023,Di Meo,15, 12.90 € ,39
WHITE,,,,,,,
WHITE,Sicilia– Sizilien,,,,,,
WHITE,Grillo Sicilia doc bio,,2023,Tenuta Bastonaca,14, 8.90 € ,31
WHITE,Etna Bianco,,2022,Quantico,8, 14.60 € ,41
WHITE,,,,,,,
WHITE,,,,,,,
WHITE,Austria – Österreich,,,,,,
WHITE,Grüner Veltliner Terrassen Federsp.,,2022,Piewald,12, 10.90 € ,35
WHITE,,,2021,,4,,
WHITE,,,,,,,
WHITE,Grüner Veltliner Smaragd - Kolmütz,,2021,R.Pichler,11, 35.15 € ,84
WHITE,,,,,,,
WHITE,Riesling Pfaffenberg Undhof,,2014,Erich Salomon,5, 28.05 € ,79
WHITE,Riesling Pfaffenberg Undhof,,2018,Erich Salomon,6,,
WHITE,Riesling Smaragd – Loibenberg,,2021,Knoll,12, 38.90 € ,72
WHITE,,,,,,,
WHITE,Germania – Deutschland,,,,,,
WHITE,Riesling Mosel,,2022,Schloss Lieser,65, 11.50 € ,33
WHITE,,,,,,,
WHITE,Riesling Doosberg GG,,2021,Jakob Kühn,5, 56.00 € ,114
WHITE,Riesling Ruppertsberger Hoheburg P.C.,,2019,Burklin-Wolf,5, 31.15 € ,74
WHITE,Riesling Ruppertsberger Hoheburg P.C.,,2022,,6,,74
WHITE,Kalmuth Silvaner ,,2022,Fürst Löwenstein,2, 17.70 € ,48
WHITE,,,,,,,
WHITE,Francia – Frankreich,,,,,,
WHITE,Chablis Vielles Vignes (Chardonnay),,2022,Thierry Laffay,6, 24.90 € ,61
WHITE,Chardonnay - Bourgogne Côte d'or,,2021,Pierre Morey,4, 26.70 € ,63
RED,Kermesse,,2022,Elena Walch,6, 33.85 € ,76
RED,(Lagrein-Merlot-Syrah-Cab.s.-Petit Verdot),,,,,,
RED,Kermesse – MAG,MAGNUM,2018,Elena Walch,2, 68.00 € ,152
RED,(Lagrein-Merlot-Syrah-Cab.s.-Petit Verdot),,,,,,
RED,Kermesse – MAG,MAGNUM,2020,,1,,152
RED,Cornelius,,2018,Schreckbichl,23, 21.20 € ,54
RED,(Cabernet-Merlot),,,,,,
RED,Cornelius – MAG,MAGNUM,2019,Schreckbichl,4, 46.40 € ,108
RED,(Cabernet-Merlot),,,,,,
RED,Lacus,,2020,Schullian,6, 39.90 € ,85
RED,(Cabernet-Merlot),,,,,,
RED,Lacus - MAG,MAGNUM,2020,Schullian,3, 82.10 € ,170
RED,Soma,,2022,Kurtatsch,17, 18.30 € ,48
RED,(Cabernet-Merlot),,,,,,
RED,Soma – MAG,MAGNUM,2020,Kurtatsch,3, 39.50 € ,96
RED,(Cabernet-Merlot),,,,,,
RED,Soma – MAG,MAGNUM,2022,,3,,96
RED,"ROT Mitterberg ""Luis""      Wein.Werk",,2019,Luis Oberrauch,12, 17.90 € ,47
RED,(Vernatsch - Lagrein),,,,,,
RED,448 slm Rosso,,2022,Girlan,106, 5.95 € ,26
RED,(Lagrein – Pinot Noir – Vernatsch),,,,,,
RED,,,,,,,
RED,Vernatsch Gschleier,,2022,Girlan,6, 13.50 € ,39
RED,Kalterersee Erbe und Auftrag,,2021,Andi Sölwa,22, 22.90 € ,57
RED,Mirus,,,Kandlerhof,13, 26.90 € ,64
RED,St. Magdalener Malanders,,2023,Pitzner,13, 11.10 € ,35
RED,St. Magdalener - Huck am Bach,,2023,Kellerei Bozen,84, 8.60 € ,30
RED,,,,,,,
RED,"Cab. Sauvig. Ris. “kunst.stück” 1,5 l",MAGNUM,2015,Kaltern,1, 70.00 € ,136
RED,Cabernet Sauvig. Staves,,2015,Kornell,2, 19.70 € ,52
RED,Cabernet Sauvig. Ris. Campaner,,2021,Kaltern,19, 11.50 € ,37
RED,"Cabernet Sauvig. Ris. Campaner 1,5 l",MAGNUM,2021,Kaltern,9, 29.10 € ,74
RED,Cabernet Sauvig. Ris. Campaner 3 l,JEROBOAM,2021,Kaltern,4, 61.70 € ,148
RED,Cabarone,,2020,Kaltern,13, 29.90 € ,69
RED,"Cabernet Sauvig. ""Barleit"" - Anfora",,2018,Tröpfltalhof,7, 34.00 € ,77
RED,"Cabernet Sauvig. ""Barleit"" - Anfora",,2020,,6,,77
RED,Cabernet Franc Riserva,,2020,Nicolussi Leck,11, 26.50 € ,64
RED,Cabernet Franc Riserva Mag,MAGNUM,2021,Nicolussi Leck,2, 52.00 € ,128
RED,,,,,,,
RED,Merlot Riserva Brenntal,,2018,Kurtatsch,10, 34.30 € ,77
RED,Merlot Riserva Brenntal – MAG,MAGNUM,2020,Kurtatsch,2, 72.70 € ,154
RED,Merlot,,2021,Putzenhof,139, 10.50 € ,33
RED,Merlot Freiherr,,2018,Meran,11, 20.30 € ,51
RED,,,,,,,
RED,Lagrein Riserva Berger Gei,,2020,Niedrist,5, 25.90 € ,63
RED,Lagrein Riserva Berger Gei MAG,MAGNUM,2020,Niedrist,4, 29.00 € ,126
RED,,,2017,,1,,
RED,Lagrein Riserva Manus,,2018,Ritterhof,12, 33.30 € ,76
RED,Lagrein Riserva Manus – MAG,MAGNUM,2019,Ritterhof,3, 82.10 € ,152
RED,Lagrein Sepp,,2021,Nicolussi Leck,21, 13.90 € ,41
RED,Lagrein Sepp -MAG,MAGNUM,2021,Nicolussi Leck,2, 32.50 € ,82
RED,Lagrein Riserva Porphyr,,2021,Terlan,2, 41.10 € ,89
RED,Lagrein Riserva Porphyr - MAG,MAGNUM,2020,Terlan,5, 79.30 € ,178
RED,Lagrein Riserva Porphyr – 3 L,JEROBOAM,2019,Terlan,2, 178.40 € ,330
RED,Lagrein Riserva Taber,,2021,Bozen,6, 31.90 € ,73
