Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,414,Frankreich,2014,Chateau Tour Haut Caussan,Medoc,Bordeaux, WD , 20.50 € , 30.00 € , 5.05 € , 55.55 € , 56.00 € , 53.00 € , 41.27 € ,-3.00 €, € 8.83 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,415,Frankreich,2018,Chateau Citran Haut medoc,Haut Medo,Bordeaux,WD, 23.90 € , 30.00 € , 5.39 € , 59.29 € , 59.00 € , 60.00 € , 48.11 € ,1.00 €, € 10.00 ,3,6,3,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,
,416,Frankreich,2009,Chateau Citran Haut medoc,Haut Medo,Bordeaux,WD, 33.00 € , 30.00 € , 6.30 € , 69.30 € , 69.00 € , 75.00 € , 66.43 € ,6.00 €, € 12.50 ,1,8,4,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,1,,,,,,,
,416,Frankreich,1999,Chateau Dassault,Chateau Dassault,Bordeaux,WD, 51.90 € , 55.00 € , 10.69 € , 117.59 € , 118.00 € , 119.00 € , 104.47 € ,1.00 €, € 19.83 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,417,Frankreich,2018,Chateau Pontet Canet,Chateau Pontet Canet,Bordeaux,WD, 119.00 € , 100.00 € , 21.90 € , 240.90 € , 241.00 € , 239.00 € , 239.55 € ,-2.00 €, € 39.83 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,418,Frankreich,2009,Chateau La Couspaude,Chateau La Couspaude,Bordeaux,WD, 49.90 € , 50.00 € , 9.99 € , 109.89 € , 110.00 € , 110.00 € , 100.45 € ,0.00 €, € 18.33 ,2,,0,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,420,Frankreich,2019,Clos Moleton - Saumur Champigny,Arnauld Lambert,Loire,Cuzziol, 35.00 € , 30.00 € , 6.50 € , 71.50 € , 72.00 € , 72.00 € , 70.46 € ,0.00 €, € 12.00 ,1,6,1,6 ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,421,Frankreich,2019,Les Bonneveaux,P´Tit Domain,Loire,WD, 36.90 € , 35.00 € , 7.19 € , 79.09 € , 79.00 € , 74.00 € , 74.28 € ,-5.00 €, € 12.33 ,5,,0,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,422,Frankreich,2020,La Rocheuse,Domaine d`Accent,,Vinum, 14.90 € , 25.00 € , 3.99 € , 43.89 € , 44.00 € , 45.00 € , 29.99 € ,1.00 €, € 7.50 ,1,,0,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,422,Libanon,2012,Chateau Musar Red,Chateau Musar,Libanon,WD, 36.90 € , 35.00 € , 7.19 € , 79.09 € , 79.00 € , 82.00 € , 74.28 € ,3.00 €, € 13.67 ,6,,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,423,Libanon,2014,Grande reserve,Ixsir,Libanon,WD, 34.50 € , 35.00 € , 6.95 € , 76.45 € , 76.00 € , 76.00 € , 69.45 € ,0.00 €, € 12.67 ,3,3,3,3 ,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,424,Argentinien,2017,le dix de Los vasos,Los vasos,Chile,WD, 44.80 € , 35.00 € , 7.98 € , 87.78 € , 88.00 € , 87.00 € , 90.18 € ,-1.00 €, € 14.50 ,2,6,1,7 ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,425,Argentinien,2018,Caro Malbec Cab. S.,Bodegas Caro,Argentinia,WD, 45.90 € , 40.00 € , 8.59 € , 94.49 € , 94.00 € , 94.00 € , 92.40 € ,0.00 €, € 15.67 ,2,6,3,5 ,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,426,Argentinien,2017,Malbec Riserva,Prodiga,Argentinia,WD, 18.00 € , 30.00 € , 4.80 € , 52.80 € , 53.00 € , 53.00 € , 36.23 € ,0.00 €, € 8.83 ,1,3,1,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,426,Spanien,2006,Rioja Riserva ,Heredia Tondonia,Spanien,WD, 31.90 € , 30.00 € , 6.19 € , 68.09 € , 68.00 € , 69.00 € , 64.21 € ,1.00 €, € 11.50 ,3,,3,0 ,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
,427,Spanien,2012,Rioja Riserva Vina Ardanza,la Rioja Alta,Spanien,Michl, 18.00 € , 30.00 € , 4.80 € , 52.80 € , 53.00 € , 56.00 € , 36.23 € ,3.00 €, € 9.33 ,0,13,11,2 ,,,,,,2,,,,,,,1,,,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,,,,,1,,,,,,,1,,,,,,,
,428,Spanien,2020,Ribera del Duero,AALTO,Spanien,WD, 41.50 € , 40.00 € , 8.15 € , 89.65 € , 90.00 € , 90.00 € , 83.54 € ,0.00 €, € 15.00 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,429,Australien,2019,Mother's Milk Shiraz,First Drop,Barossa Valley,WD, 21.00 € , 30.00 € , 5.10 € , 56.10 € , 56.00 € , 56.00 € , 42.27 € ,0.00 €,,3,2,3,2 ,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
,431,Chile,2015,Cabernet Cuvee Alexandra,Lapostolle,Chile,Michl, 18.00 € , 30.00 € , 4.80 € , 52.80 € , 53.00 € , 53.00 € , 36.23 € ,0.00 €, € 8.83 ,0,,0,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,432,Kalifornien,2017,Dancing Crow Cabernet Sauvignon,Dancing Crow Vineyard,Kalifornien,WD, 26.90 € , 30.00 € , 5.69 € , 62.59 € , 63.00 € , 63.00 € , 54.15 € ,0.00 €, € 10.50 ,1,9,2,8 ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,433,Patrick,2010,Gevrey Chambertin Premier Cru,Jaques Prieur,Frankreich,Patrick, 200.00 € , 95.00 € , 29.50 € , 324.50 € , 325.00 € , 324.00 € , 324.00 € ,-1.00 €, € 54.00 ,3,,0,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,434,Patrick,2010,Castillo Y Gay Gran Reserve Especial,Marqués de Murietta,Spanien,Patrick, 200.00 € , 85.00 € , 28.50 € , 313.50 € , 314.00 € , 299.00 € , 279.00 € ,-15.00 €, € 49.83 ,4,,0,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,435,Patrick,1993,Chateau Mouton Rothschild,Chateau Mouton Rothschild,Frankreich,Patrick, 420.00 € , 290.00 € , 71.00 € , 781.00 € , 781.00 € , 84.00 € , 845.46 € ,-697.00 €, € 14.00 ,5,,0,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,436,Auserhalb d Karte,2016,Lagrein,Weingut Hartmann Donà,Überetsch,Akos, 11.25 € , 25.00 € , 3.63 € , 39.88 € , 40.00 € , 38.00 € , 22.65 € ,-2.00 €, € 6.33 ,0,,0,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,437,Auserhalb d Karte,2016,"Blauburgunder Noir Nina 0,5L",Langut Buchner - Rainer Uhl,Wallfahrtsweg Maria Weissenstein,Uhl, 16.39 € , 30.00 € , 4.64 € , 51.03 € , 51.00 € , 43.00 € , 32.99 € ,-8.00 €, € 7.17 ,,,0,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,438,Auserhalb d Karte,2016,"Blauburgunder Noir Carina 0,5L",Langut Buchner - Rainer Uhl,Wallfahrtsweg Maria Weissenstein,Uhl, 16.39 € , 30.00 € , 4.64 € , 51.03 € , 51.00 € , 43.00 € , 32.99 € ,-8.00 €, € 7.17 ,,,0,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,439,Auserhalb d Karte,2015,"Raritätenkiste  65,00 pro Flasche",Nals Margreid,Wallfahrtsweg Maria Weissenstein,OB, 193.60 € , 150.00 € , 34.36 € , 377.96 € , 378.00 € , 44.00 € , 389.72 € ,-334.00 €, € 7.33 ,,6,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coravin pck. 24  Capsule,Coravin,,Coravin, 136.06 € ,,,,,, 273.89 € ,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Coravin Model 6plus Black,Coravin,,WD, 286.00 € ,,,,,, 575.72 € ,,,3105,7615,6310,4286 ,,594,99,106,134,155,202,130,178,125,155,169,94,0,0,0,0,0,0,0,129,159,60,165,227,156,97,97,22,62,156,125,137,143,121,173,698,160,200,105,136,109,137,113,124,135,97,107,100,0,458,105,0,0,0,0,0,0
,,,,Coravinnadel Schwarz,Coravin,,WD, 24.50 € ,,,,,,49.3185,,,,,,,," 12,921.50 € "," 6,124.40 € "," 4,418.00 € "," 6,093.80 € "," 6,934.30 € "," 8,257.50 € "," 6,162.90 € "," 8,047.00 € "," 7,403.50 € "," 8,210.00 € "," 8,594.80 € ",5352.6,,,,,,,," 3,444.10 € "," 7,617.00 € "," 4,186.30 € "," 6,546.00 € "," 8,759.70 € "," 7,937.00 € "," 5,433.00 € "," 4,832.60 € "," 5,980.50 € "," 4,205.00 € "," 7,238.50 € "," 6,077.00 € "," 7,992.30 € "," 8,331.65 € "," 7,634.50 € "," 9,850.28 € "," 7,677.85 € ",," 10,533.00 € ",," 7,509.00 € "," 5,518.10 € "," 8,988.60 € "," 4,432.70 € "," 6,901.00 € "," 6,447.00 € "," 5,412.00 € "," 5,883.40 € "," 5,526.40 € ", -   € ," 29,035.45 € "," 7,695.00 € ", -   € , -   € , -   € , -   € , -   € , -   € 
,,,,Tragetaschen 1er Schwarz,12 + 10 x 41 cm,,WD, 1.56 € ,,,,,, 3.14 € ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,," 1,845.93 € ", 874.91 € , 631.14 € , 870.54 € , 990.61 € ," 1,179.64 € ", 880.41 € ," 1,149.57 € "," 1,057.64 € "," 1,172.86 € "," 1,227.83 € ", 892.10 € ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Decanter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ovarius,Vinum,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gesmatumsatz Sommersaison Wein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Zalto Axium,Vinum,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Riedel Weisswein Decanter,WD,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43923.1,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,6,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Val d´Oca Asolo Prosecco Superiore Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Weissweindekanter Riedel 21,00€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
