Bestellung,Weinkarte Pos.,Klassifizierung,Jahrgang,Name,Hersteller,Gebiet,Lieferant,Ek-Preis,Aufschlag,MwSt.,VK-Preis kalk.,VK-Preise berechnet neu,VK-Preise Weinkarte ab 14.06.2020,Önothekenpreis,, Preis Glas ,Lager Start,Zugang/arrivi2023,Abgang,Lager,,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23/24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W52 u W01,,W02,W03,W04,W05,W06,W07,W08
,299,Cuvèe,2019,Brenntal,Weingut Peter Dipoli,Unterland,FW, 41.50 € , 40.00 € , 8.15 € , 89.65 € , 90.00 € , 95.00 € , 83.54 € ,5.00 €, € 15.83 ,1,23,14,10,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,2,1,,,1,1,1,,,2,1,,1,,,,,1,,,1,,,,,,,,,,,
,300,Cuvèe,2015,Tres,Kellerei Kurtatsch,Unterland,WD, 113.00 € , 80.00 € , 19.30 € , 212.30 € , 212.00 € , 212.00 € , 227.47 € ,0.00 €, € 35.33 ,1,,1,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,Cuvèe,2019/21,Hexagon,Pitzner,Bozen,WD, 57.50 € , 40.00 € , 9.75 € , 107.25 € , 107.00 € , 109.00 € , 115.75 € ,2.00 €, € 18.17 ,6,9,5,10,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,1,,1,,,,,,1,,,,,,,
,302,Cuvèe,2016,Hexagon,Pitzner,Bozen,Karner, 29.70 € , 30.00 € , 5.97 € , 65.67 € , 66.00 € , 84.00 € , 59.79 € ,18.00 €, € 14.00 ,12,,3,9,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,
,303,Cuvèe,2020,Linticlarus Cuvee,Schlosskellerei Tiefenbrunner,Unterland,FW, 26.00 € , 30.00 € , 5.60 € , 61.60 € , 62.00 € , 65.00 € , 52.34 € ,3.00 €, € 10.83 ,9,36,16,29,,1,,,,,,,,,,1,,,,,,,,,2,1,,,1,,,1,,,1,,,,,1,2,,1,1,,,1,,1,,,1,,,1,,,,,,,
,304,Cuvèe,2020,Linticlarus Cuvee Magnum,Schlosskellerei Tiefenbrunner,Unterland,FW, 60.00 € , 60.00 € , 12.00 € , 132.00 € , 132.00 € , 132.00 € , 120.78 € ,0.00 €, € 22.00 ,10,24,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,304,Cuvèe,2018,Anticus Riserva,Nals Margreid,Überetsch,WD/O, 32.55 € , 30.00 € , 6.26 € , 68.81 € , 69.00 € , 68.00 € , 65.52 € ,-1.00 €, € 11.33 ,,3,,3,,2,,,,1,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,305,Cuvèe,2019,Cornelius ,Kellerei Schreckbichl,Unterland,Karner, 19.50 € , 30.00 € , 4.95 € , 54.45 € , 54.00 € , 54.00 € , 39.25 € ,0.00 €, € 9.00 ,1,6,6,1,,1,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,306,Cuvèe,2015,Centa Merlot Cabernet,Weingut Gerd Pomella,Unterland,FW, 12.95 € , 25.00 € , 3.80 € , 41.75 € , 42.00 € , 38.00 € , 26.07 € ,-4.00 €, € 6.33 ,9,,0,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,307,Cuvèe,2019,Soma Merlot Cabernet Franc,Kellerei Kurtatsch,Unterland,O, 15.50 € , 25.00 € , 4.05 € , 44.55 € , 45.00 € , 45.00 € , 31.20 € ,0.00 €, € 7.50 ,-1,,1,-2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,308,Cuvèe,2021,Composition Reif ,Erbhof Unterganzner,Bozen,FW / Karner, 37.40 € , 50.00 € , 8.74 € , 96.14 € , 96.00 € , 96.00 € , 75.29 € ,0.00 €, € 16.00 ,6,13,6,13 ,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,
,309,Cuvèe,2021,Composition Reif Magnum,Erbhof Unterganzner,Bozen,WD, 69.00 € , 70.00 € , 13.90 € , 152.90 € , 153.00 € , 155.00 € , 138.90 € ,2.00 €, € 25.83 ,-1,3,1,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,310,Cuvee,2016,Athos,Ansitz Dolomytos Sacker,Ritten,WD, 32.90 € , 30.00 € , 6.29 € , 69.19 € , 69.00 € , 70.00 € , 66.23 € ,1.00 €, € 11.67 ,5,37,30,12 ,,2,,1,,1,1,,1,1,1,1,,,,,,,,,1,1,,2,1,,,1,,1,,,3,2,,,,2,,,,2,3,1,,,,,,,1,1,,,,,,
,311,Cuvee,2016,Skythos,Ansitz Dolomytos Sacker,Ritten,Karner, 29.90 € , 30.00 € , 5.99 € , 65.89 € , 66.00 € , 66.00 € , 60.19 € ,0.00 €, € 11.00 ,3,50,30,23 ,,,,,,,,,1,1,1,3,1,,,,,,,,1,,,,2,,,,,,,,1,2,,,,2,1,2,,1,3,1,,2,1,3,1,,3,1,,,,,,
,312,Cuvee,2016,Castel Campan - Bio,Weingut Manincor,Überetsch,Manincor, 55.60 € , 50.00 € , 10.56 € , 116.16 € , 116.00 € , 118.00 € , 111.92 € ,2.00 €, € 19.67 ,7,,1,6 ,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,313,Cuvee,2020,Composition Reif ,Erbhof Unterganzner,Bozen,FW, 31.90 € , 30.00 € , 6.19 € , 68.09 € , 68.00 € , 68.00 € , 64.21 € ,0.00 €, € 11.33 ,6,,0,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,314,italienische Weine,2020,Merlot Campo al Lago,Tenuta Inama,Veneto,WD, 15.00 € , 25.00 € , 4.00 € , 44.00 € , 44.00 € , 44.00 € , 30.20 € ,0.00 €, € 7.33 ,0,11,8,3 ,,,1,1,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,
,315,italienische Weine,2016,Teroldego dannato,Redondel,Trentino,Akos, 14.60 € , 25.00 € , 3.96 € , 43.56 € , 44.00 € , 44.00 € , 29.39 € ,0.00 €, € 7.33 ,17,15,21,11 ,,1,1,,,1,1,2,1,,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,3,,,1,1,,,,6,2,,,,,,
