external_id,size,name,winery_name,vintage,supplier,purchase_price,price,retail_price,glass_price,quantity
67,MAGNUM,Weißburgunder muschelkalk magnum,Abraham,2018,WD, 39.00 € , 79.00 € , 78.51 € , € 13.17 ,-4
68,BOTTLE,Weißburgunder Muschelkalk,Abraham,2020,WD, 16.90 € , 52.00 € , 34.02 € , € 8.67 ,12
69,BOTTLE,Weißburgunder Amphora,Weingut Hochklaus,2020,Hochklaus, 22.10 € , 54.00 € , 44.49 € , € 9.00 ,7
70,BOTTLE,Weißburgunder Himmelsleiter,castel Juval,2020,WD, 19.60 € , 60.00 € , 39.45 € , € 10.00 ,13
71,BOTTLE,Weißburgunder Kardatsch,Untermoserhof - Georg Ramoser,2021,FW, 13.90 € , 43.00 € , 27.98 € , € 7.17 ,9
72,BOTTLE,Chardonnay Löwengang,Weingut Alois Lageder,2019,WD, 44.50 € , 93.00 € , 89.58 € , € 15.50 ,6
72.3,BOTTLE,Chardonnay Gottesacker,Martin Abraham,2021,WD, 16.90 € , 50.00 € , 34.02 € , € 8.33 ,16
73,BOTTLE,Chardonnay AU,Kellerei Tiefenbrunner,2017,FW, 45.00 € , 105.00 € , 90.59 € , € 17.50 ,6
74,BOTTLE,"Chardonnay AU AT Tempus (2014,15 u 16)",Kellerei Tiefenbrunner,,Cuzziol, 55.00 € , 116.00 € , 110.72 € , € 19.33 ,9
75,BOTTLE,"Chardonnay Riserva ""Burgum Novum""",Weingut Castelfeder,2019,Karner/Castelfeder, 19.11 € , 53.00 € , 38.47 € , € 8.83 ,10
76,BOTTLE,Chardonnay Riserva Lina,Weingut Bergmannhof,2021,WD, 19.00 € , 54.00 € , 38.25 € , € 9.00 ,8
78,BOTTLE,Chardonnay Lafoà,Kellerei Schreckbichl,2021,WD, 18.20 € , 53.00 € , 36.64 € , € 8.83 ,6
79,BOTTLE,Chardonnay Ateyon  ,Weingut Loacker,2021,WD, 14.50 € , 43.00 € , 29.19 € , € 7.17 ,11
80,BOTTLE,Chardonnay Donà d'Or,Weingut Hartmann Donà,2013,Akos, 37.50 € , 85.00 € , 75.49 € , € 14.17 ,4
81,BOTTLE,Chardonnay Fluch und Segen,Martin Gschraffer,2021,Martin Gschraffer, 21.70 € , 57.00 € , 43.68 € , € 9.50 ,9
82,BOTTLE,Chardonnay Alte Reben,Berhard Huber,,WD, 30.50 € , 67.00 € , 61.40 € , € 11.17 ,1
83,BOTTLE,Chardonnay Foll,Cantina Toblino,2019,Cuzziol, 14.50 € , 42.00 € , 29.19 € , € 7.00 ,27
84,BOTTLE,Chardonnay Moraine,Untermoserhof - Georg Ramoser,2020,WD, 19.00 € , 54.00 € , 38.25 € , € 9.00 ,11
84.5,BOTTLE,Chardonnay Kreuzweg,Castelferder,2019,WD, 65.00 € , 130.00 € , 130.85 € , € 21.67 ,12
85,BOTTLE,Pinot Grigio - Castel Ringberg ,Weingut Elena Walch,2022,FW, 17.05 € , 47.00 € , 34.32 € , € 7.83 ,6
86,BOTTLE,Pinot Grigio - Aristos,Eisacktaler kellerei,2019,WD, 11.50 € , 40.00 € , 23.15 € , € 6.67 ,2
87,BOTTLE,Pinot Grigio - Punggl,Nals Margreid,2021,WD, 11.85 € , 41.00 € , 23.85 € , € 6.83 ,20
88,BOTTLE,Pinot Grigio Porer,Weingut Alois Lageder,2021,WD, 14.45 € , 42.00 € , 29.09 € , € 7.00 ,16
89,BOTTLE,Pinot Grigio Puiten ,Kellerei Schreckbichl,2020,WD, 10.20 € , 36.00 € , 20.53 € , € 6.00 ,7
90,BOTTLE,Pinot Grigio Riserva Giatl,Weingut Peter Zemmer,2020,WD, 16.90 € , 46.00 € , 34.02 € , € 7.67 ,10
91,BOTTLE,Müller Thurgau Sass Rigais,Weingut Manni Nössing,2022,FW, 10.50 € , 39.00 € , 21.14 € , € 6.50 ,17
92,BOTTLE,Müller Thurgau Vigna Feldmarschall,Schlosskellerei Tiefenbrunner,2020,FW, 33.25 € , 69.00 € , 66.93 € , € 11.50 ,16
93,BOTTLE,Müller Thurgau Vigna Feldmarschall,Schlosskellerei Tiefenbrunner,2010,FW, 28.75 € , 75.00 € , 57.87 € , € 12.50 ,3
94,BOTTLE,Vigna Feldmarschall Vendemia Tardiva,Schlosskellerei Tiefenbrunner,2016,Cuzziol, 75.00 € , 76.00 € , 150.98 € , € 12.67 ,3
95,BOTTLE,Kerner Karneid,Weingut Franz Gojer,2022,WD, 9.95 € , 39.00 € , 20.03 € , € 6.50 ,11
96,BOTTLE,Kerner Aurona,Kellerei Laimburg,2015,WD, 16.90 € , 52.00 € , 34.02 € , € 8.67 ,5
97,BOTTLE,Kerner ,Rielinger,2022,WD, 13.60 € , 40.00 € , 27.38 € , € 6.67 ,10
98,BOTTLE,Kerner ,Weingut Villscheiderhof,2022,WD, 9.90 € , 36.00 € , 19.93 € , € 6.00 ,14
99,BOTTLE,Grüner Veltliner Hautnah,Weingut Garlider,2016,WD, 24.60 € , 61.00 € , 49.52 € , € 10.17 ,2
100,BOTTLE,Grüner Veltliner ,Weingut Garlider,2020,WD, 11.80 € , 39.00 € , 23.75 € , € 6.50 ,13
101,BOTTLE,Grüner Veltliner R,Köfererhof,2022,WD, 15.90 € , 49.00 € , 32.01 € , € 8.17 ,11
102,BOTTLE,Grüner Veltliner ,Pacherhof,2022,Karner, 12.67 € , 41.00 € , 25.50 € , € 6.83 ,9
