ok,external_id,type,name,winery_name,area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,,
TRUE,,SPARKLING,NATURELLEMENT EXTRA BRUT,CAZE’ THIUBAUT,1-5,BOTTLE,,120,,,,Naturellement Extra-Brut Champagne,Cazé-Thibaut,wine_01h4pmmfcw92gc7nqp5mvrgy6w,,42.92295,,
TRUE,,SPARKLING,HORS SERIE,CHARTOGNE TAILLET,,BOTTLE,2018,280,,,,Hors Série Champagne,Chartogne-Taillet,wine_01h4pmmghthd49hy23657m1c9m,,57.639977,,
TRUE,,SPARKLING,LES COUARRES EXTRA BRUT,CHARTOGNE TAILLET,,BOTTLE,2018,230,,,,Les Couarres Extra Brut,Chartogne-Taillet,wine_01h4pmmfcw957aat33rb4smmep,,62.98817,,
TRUE,,SPARKLING,CHEMIN DE REIMS BLANC DE BLANCS EXTRA BRUT,CHARTOGNE TAILLET,1-2,BOTTLE,2018,190,,,,Chemin de Reims Extra Brut,Chartogne-Taillet,wine_01h4pmmfcxarm9n7k2shepqf9s,,67.20274,,
TRUE,,SPARKLING,SAINTE ANNE BRUT CUVÉE,CHARTOGNE TAILLET,1-2,BOTTLE,,120,,,,Sainte Anne Brut,Chartogne-Taillet,wine_01h0f3cmbp0fxt7kmnrzjx1cz1,,58.779987,,
TRUE,,SPARKLING,L'APHRODISIAQUE 1er CRU BRUT NATURE,DAVID LECLAPART,1-3,BOTTLE,,420,,,,l''Aphrodisiaque Pas Dosé Champagne Premier Cru,David Léclapart,wine_01h0f3cmbvzn3netjb3rt19nas,,44.17195,,
TRUE,,SPARKLING,DANS UN PREMIER TEMPS BRUT,DHONDT GRELLET,1-2,BOTTLE,,170,,,,Dans un Premier Temps Brut Champagne,Dhondt-Grellet,wine_01h4pmmgj8g84m6nbevr6r5y4h,,66.24888,,
TRUE,,SPARKLING,LES TERRES FINES EXTRA BRUT BLANC DE BLANCS PREMIER CRU,DHONDT GRELLET,1,BOTTLE,,150,,,,Les Terres Fines Blanc de Blancs Extra Brut Champagne Premier Cru,Dhondt-Grellet,wine_01h0sq47yf1taam9jcrwccy5cy,,66.00065,,
TRUE,,SPARKLING,P2 VINTAGE BRUT,DOM PERIGNON ­,1-1,BOTTLE,2004,800,,,,P2 Plénitude Brut Champagne,Dom Pérignon,wine_01gzr4ksd7kxm1ztzqza3vfezb,3102815,46.42406,,
TRUE,,SPARKLING,DOM PERIGNON BRUT,DOM PERIGNON,1-1,BOTTLE,1988,850,,,,Brut Champagne,Dom Pérignon,wine_01gzr4ksd1q5hvwrcr5dxtbzer,86684,36.554844,,
TRUE,,SPARKLING,GRAND CRU BRUT MILLESIME,FERNAND THILL,1-3,BOTTLE,2015,130,,,,Brut Millesime Champagne Grand Cru ''Verzy'',Fernand Thill,wine_01h0qzm2vh3nvdv5xsr01zv75f,,43.92701,,
