"winery","name","vintage","internal_notes_1",,"internal_notes_2","info","price"
"Ogereau","COTEAUX-DU-LAYON S. LAMBERT",2018,"0,75 x 6 / S",12.50%,"90 g/l",,€ 20.90
"Serol","TURBULLENT BRUT ROSÉ ","s.a.","0,75 x 6 / S",10.00%,,,€ 13.90
"Serol","CHENIN SUR GRANITE CHAMPTOISÉ",2022,"0,75 x 6 / S",12.00%,,,€ 18.50
"Serol","CÔTE ROANNAISE ROUGE ECLAT DE GRANIT",2023,"0,75 x 6 / S",12.50%,,,€ 14.90
"Serol","CÔTE ROANNAISE ROUGE OUDAN",2023,"0,75 x 6 / S",12.50%,,,€ 18.50
"Serol","CÔTE ROANNAISE ROUGE PERDRIZIERE",2023,"0,75 x 6 / S",12.00%,,,€ 22.50
"Serol","CÔTE ROANNAISE ROUGE CHEZ COSTE ",2023,"0,75 x 6 / S",13.50%,,,€ 31.50
"Giraud","CHÂTEAUNEUF-DU-PAPE BLANC GALIMADRES",2023,"0,75 x 6 / S",,," ","€ 49,50* "
"Giraud","LIRAC ROUGE LES SABLES D`ARENE VIEILLES V",2022,"0,75 x 6 / S",,,,"€ 17,50*"
"Giraud","CHÂTEAUNEUF-DU-PAPE ROUGE TRADITION",2021,"0,75 x 6 / S",,,,"€ 34,90*"
"Giraud","CHÂTEAUNEUF-DU-PAPE ROUGE GALIMADRES",2020,"0,75 x 6 / S",,,"Limitato","€ 79,00*"
"Flo Busch","LOU BRAGALOU (Grenache blanc)",2022,"0,75 x 6 / S",12.50%," "," ",€ 13.90
"Flo Busch","PIERRE QUI ROLLE macerato",2022,"0,75 x 6 / S",12.50%,,,€ 17.90
"Flo Busch","HEUREU QUI COMME… ",2022,"0,75 x 6 / S",13.50%,,,€ 14.50
"Flo Busch","POINT DU JOUR (Carignan & Syrah)",2021,"0,75 x 6 / S",14.00%,,,€ 18.50
"Flo Busch","L´ODYSSÉE (Syrah & Grenache)",2021,"0,75 x 6 / S",14.00%,,,€ 29.50
"Gauby","LES CALCINAIRES BLANC",2022,"0,75 x 6 / S",12.50%," "," ","€ 19,00*"
"Gauby","COUME GINESTE BLANC",2020,"0,75 x 6 / S",13.00%,,,"€ 72,00*"
"Gauby","LES CALCINAIRES ROUGE",2022,"0,75 x 6 / S",13.00%,,,"€ 19,00*"
"Gauby","LES CALCINAIRES ROUGE",2021,"0,75 x 6 / S",13.00%,,"Limitato","€ 19,00*"
"Gauby","VIEILLES VIGNES ROUGE",2021,"0,75 x 6 / S",13.00%,,,"€ 31,50*"
"Gauby","VIEILLES VIGNES ROUGE",2020,"0,75 x 6 / S",13.00%,,,"€ 32,50*"
"Gauby","VIEILLES VIGNES ROUGE",2019,"0,75 x 6 / S",13.00%,,"Limitato","€ 33,50*"
"Gauby","VIEILLES VIGNES ROUGE",2018,"0,75 x 6 / S",13.00%,,,"€ 35,50*"
"Gauby","MUNTADA",2021,"0,75 x 6 / S",14.00%,,,"€ 70,00*"
"Gauby","MUNTADA",2020,"0,75 x 6 / S",14.00%,,,"€ 72,00*"
"Gauby","MUNTADA",2019,"0,75 x 6 / S",14.00%,,"Limitato","€ 74,00*"
