"winery","name","vintage","internal_notes_1",,"internal_notes_2","info","price"
"Christmann","SPÄTBURGUNDER IDIG GG",2021,"0,75 x 6 / S",13.00%,,"Limitato",€ 83.00
"Christmann","SPÄTBURGUND.ER DIG GG - MAGNUM",2021,"1,50 x 1 / S",13.00%,,"Limitato",€ 172.00
"Christmann","RR KAPPELLENBERG 1G ",2022,"0,75 x 6 / S",12.00%,"trocken",,"€ 32,90*"
"Christmann","RR KAPPELLENBERG 1G ",2021,"0,75 x 6 / S",12.00%,"trocken",,"€ 32,90*"
"Christmann","RR REITERPFAD-HOFSTÜCK GG",2019,"0,75 x 6 / S",12.50%,"trocken",,"€ 47,00*"
"Christmann","RR REITERPFAD-HOFSTÜCK GG",2018,"0,75 x 6 / S",12.50%,"trocken",,"€ 49,00*"
"Christmann","RR MEERSPINNE GG",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 62,00*"
"Christmann","RR MEERSPINNE GG",2021,"0,75 x 6 / S",12.50%,"trocken",,"€ 62,00*"
"Christmann","RR MEERSPINNE GG",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 64,00*"
"Christmann","RR MEERSPINNE GG",2019,"0,75 x 6 / S",12.50%,"trocken",,"€ 64,00*"
"Christmann","RR MEERSPINNE GG",2018,"0,75 x 6 / S",12.50%,"trocken",,"€ 65,00*"
"Christmann","RR MEERSPINNE GG",2017,"0,75 x 6 / S",12.50%,"trocken",,"€ 67,00*"
"Christmann","RR MEERSPINNE GG",2015,"0,75 x 6 / S",12.50%,"trocken",,"€ 69,00*"
"Christmann","RR IDIG GG",2022,"0,75 x 6 / S",12.50%,"trocken",,"€ 64,00*"
"Christmann","RR IDIG GG",2020,"0,75 x 6 / S",12.50%,"trocken",,"€ 66,00*"
"Christmann","RR IDIG GG",2014,"0,75 x 6 / S",13.00%,"trocken",,"€ 70,00*"
"Christmann","RR IDIG GG",2012,"0,75 x 6 / S",13.00%,"trocken",,"€ 75,00*"
"Christmann","RR IDIG GG - MAGNUM",2022,"1,50 x 1 / S",12.50%,"trocken",,"€ 135,00*"
"Christmann","RR IDIG GG - MAGNUM",2021,"1,50 x 1 / S",12.50%,"trocken",,"€ 135,00*"
"Christmann","RR IDIG GG - MAGNUM",2018,"1,50 x 1 / S",12.50%,"trocken",,"€ 139,00*"
"Christmann","RR IDIG GG - MAGNUM",2017,"1,50 x 1 / S",12.50%,"trocken",,"€ 142,90*"
"Christmann","RR IDIG GG - MAGNUM",2016,"1,50 x 1 / S",12.50%,"trocken",,"€ 145,00*"
"Christmann","RR IDIG GG - MAGNUM",2014,"1,50 x 1 / S",12.50%,"trocken",,"€ 150,00*"
"Christmann","RR IDIG GG - MAGNUM",2013,"1,50 x 1 / S",12.50%,"trocken",,"€ 155,00*"
"Eymann","RR SPUMANTE EXTRA BRUT - 30 mesi","Solera","0,75 x 6 / S",12.00%,Apr-24,,€ 17.90
"Eymann","RR SPUMANTE EXTRA BRUT - 42 mesi MAGNUM","Solera","1,50 x 1 / S",12.00%,Feb-23,,€ 37.90
"Eymann","RR GÖNNHEIMER",2024,"0,75 x 6 / St",12.00%,"trocken",,€ 10.50
"Eymann","RR TOREYE ALTE REBEN",2022,"0,75 x 6 / S",12.50%,"trocken",,€ 15.50
"Eymann","RR TOREYE ALTE REBEN - MAGNUM",2021,"1,50 x 1 / S",12.50%,"trocken",,€ 32.90
"Eymann","RR FUCHSMANTEL",2019,"0,75 x 6 / S",12.00%,"trocken",,€ 28.90
"Eymann","SPÄTBURGUNDER GÖNNHEIMER",2022,"0,75 x 6 / St",13.00%,,,€ 13.50
"Eymann","SPÄTBURGUNDER TOREYE",2022,"0,75 x 6 / S",13.00%,,,€ 16.90
"Eymann","SPÄTBURGUNDER SONNENBERG",2019,"0,75 x 6 / S",13.00%,,,€ 28.50
"Christmann & Kaufmann","CUVÉE NO. 204 BRUT NATURE",2021,"0,75 x 6 / S",11.50%,Nov-24,,€ 37.90
"Christmann & Kaufmann","CUVÉE NO. 103 BRUT NATURE",2020,"0,75 x 6 / S",11.50%,Nov-23,,€ 37.90
"Wittmann","SILVANER TROCKEN",2023,"0,75 x 6 / St",11.00%,"trocken",,€ 11.90
"Wittmann","RR TROCKEN",2024,"0,75 x 6 / S",12.00%,"trocken",,€ 14.90
"Wittmann","RR VOM KALKGESTEIN",2023,"0,75 x 6 / S",12.00%,"trocken",,€ 18.90
"Wittmann","RR WESTHOFENER 1G",2023,"0,75 x 6 / S",13.00%,"trocken",,€ 29.90
"Wittmann","RR AULERDE GG",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 53.50
"Wittmann","RR KIRCHSPIEL GG",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 65.00
"Wittmann","RR BRUNNENHÄUSCHEN GG",2023,"0,75 x 6 / S",12.50%,"trocken",,€ 75.00
"Wittmann","RR MORSTEIN GG",2023,"0,75 x 6 / S",13.00%,"trocken",,€ 75.00
