name,winery,vintage,size,qty,purchase_price,internal_notes,internal_notes_2
PULIGNY MONTRACHET LES COMBETTES 1CRU,JOLY (TRIPLE A),2009,BOTTLE,2,110,€ 110,***
PULIGNY MONTRACHET LES COMBETTES,JOLY (TRIPLE A),2007,BOTTLE,1,90,€ 90,*
BORGOGNE ALIGOTE',JOLY (TRIPLE A),2009,BOTTLE,2,50,€45/50,da vendere
LES QUARTZ,DOMAINE DU CAILLOU (Ceretto),2005,BOTTLE,5,80,€ 80,Rosso
PURSANG BLANC FUME DE POILLY,DIDIER DAGUENEAU,2005,BOTTLE,2,120,€ 120,
PURSANG BLANC FUME DE POILLY MAGNUM,DIDIER DAGUENEAU,2005,BOTTLE,1,250,€ 250,
CORTON CHARLEMAGNE GRAND CRU,DOMAINE BONNEAU DU MARTRAY,2006,BOTTLE,1,200,€ 200,Annata top****
BEAUNE CLOS DE LA FEGUINE 1CRU,DOMAINE JACQUES PRIEUR (CERETTO),2006,BOTTLE,1,80,€ 80,
BEAUNE CLOS DE LA FEGUINE 1CRU,DOMAINE JACQUES PRIEUR (CERETTO),2005,BOTTLE,1,90,€ 90,
BEAUNE CLOS DE LA FEGUINE 1CRU,DOMAINE JACQUES PRIEUR (CERETTO),2009,BOTTLE,2,90,€ 90,
CLOS VOUGEOT GRAND CRU,DOMAINE JACQUES PRIEUR (CERETTO),2005,BOTTLE,2,300,€ 300,
CLOS VOUGEOT GRAND CRU,DOMAINE JACQUES PRIEUR (CERETTO),2007,BOTTLE,1,300,€ 300,
MONTRACHET GRAND CRU,DOMAINE JACQUES PRIEUR (CERETTO),2009,BOTTLE,1,1300,€1300?,
MEURSAULT PERRIERES 1CRU,DOMAINE JACQUES PRIEUR (CERETTO),2009,BOTTLE,2,260,€250/260,
PULIGNY MONTRACHET LES COMBETTES 1CRU,DOMAINE JACQUES PRIEUR (CERETTO),2009,BOTTLE,2,160,€150/160,
CHEVALIER MONTRACHET GRAND CRU MAGNUM,DOMAINE JACQUES PRIEUR (CERETTO),2009,MAGNUM,1,1200,"€ 1,200",
PULIGNY MONTRACHET 1CRU LE CAILLERT,YVES BOYER MARTENOT,2006,BOTTLE,2,150,150,
MEURSAULT PERRIERS 1CRU,YVES BOYER MARTENOT,2006,BOTTLE,2,260,260,
MACON PIERRECLOS,DOMAINE GUFFENS,2005,BOTTLE,2,70,70,
POULIGNY MONTRACHET 1CRU LES FOLATIERES,DOMAINE CHAVY CHOUET,2010,BOTTLE,1,80,80,
SAVENNIERES ROCHE AUX MOINES,DOMAINE AUX MOINES (BORDO),2004,BOTTLE,4,30,30,
CHASSAGNE MONTRACHET 1CRU LES VERGERS,DOMAINE FONTAINE GAGNARD (CERETTO),2007,BOTTLE,1,90,90,
CHASSAGNE MONTRACHET 1CRU LA MATROIE,DOMAINE FONTAINE GAGNARD (CERETTO),2009,BOTTLE,1,100,100,
CRIOTES BATARD MONTRACHET GRAND CRU,DOMAINE FONTAINE GAGNARD (CERETTO),2009,BOTTLE,2,500,500,
CHASSAGNE MONTRACHET 1CRU LA MALTROIE,DOMAINE FONTAINE GAGNARD (CERETTO),2006,BOTTLE,3,100,100,
CHASSAGNE MONTRACHET 1CRU LA MALTROIE,DOMAINE FONTAINE GAGNARD (CERETTO),2005,BOTTLE,2,90,90,
BOUZERON,DOMAINE A.ET.P DE VILLAINE (proprietario Romaneè conti),2009,BOTTLE,1,200,200 (non si trovano),
CHASSAGNE MONTRACHET 1CRU LES CAILLERETS,DOMAINE A.ET.P DE VILLAINE (proprietario Romaneè conti),2009,BOTTLE,3,100,100,
CHASSAGNE MONTRACHET 1CR LES VERGERS,DOMAINE FONTAINE GAGNARD (CERETTO),2009,BOTTLE,1,,,
BOURGOGNE CUVEE HALINARD,DUGAT PY - GEVREY CHAMBERTIN,2007,BOTTLE,1,60,60,
COEUR DE ROY,DUGAT PY - GEVREY CHAMBERTIN,2006,BOTTLE,1,150,150,
1CRU CHAMPEAUX,DUGAT PY - GEVREY CHAMBERTIN,2007,BOTTLE,2,200,200,
CHARMES CHAMBERTIN GRAND CRU,DUGAT PY - GEVREY CHAMBERTIN,2007,BOTTLE,3,800,800,
MAZOYERS CHAMBERTEN GRAND CRU,DUGAT PY - GEVREY CHAMBERTIN,2007,BOTTLE,4,400,400,
MAZIS CHAMBERTEN GRAND CRU,DUGAT PY - GEVREY CHAMBERTIN,2007,BOTTLE,3,400,400,
GEVREY CHAMBERTIN VIEILLES VIGNES,DUGAT PY - GEVREY CHAMBERTIN,2007,BOTTLE,2,100,100,
SILEX BLANC FUME' DE POUILLY,DIDIER DAGUENAU,2005,BOTTLE,3,150,150,
SILEX BLANC FUME' DE POUILLY,DIDIER DAGUENAU,2007,BOTTLE,3,150,150,
EDMOND SANCERRE,ALOPHONSE MELLOT,2004,BOTTLE,3,35,35 (è un base),
