wine_id,size,vintage,price,info,storage_area,internal_notes
wine_01gzr4ktrxxdcshbhqt7wj25kw,BOTTLE,0,3500,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4ksd1hjdw9h6nhb6ar8vq,BOTTLE,2003,19500,,SCAFFALE,
wine_01gzr4ksd1hjdw9h6nhb6ar8vq,BOTTLE,2004,19000,,SCAFFALE,
wine_01gzr4ksd1hjdw9h6nhb6ar8vq,BOTTLE,2017,9500,,SCAFFALE,
wine_01gzr4kt1x6ajfw8xnmfax6dmj,BOTTLE,2005,22000,,SCAFFALE,
wine_01gzr4ksd16ze9p74vmrtf9jdg,BOTTLE,0,3500,,SCAFFALE 3,
wine_01h0my5shydr4daz8g7ac3ddeb,BOTTLE,2021,3500,,4 SCAFFALE 2 MAGAZZINO,
wine_01h0my5t1de870zr6tjryrs922,BOTTLE,2022,3000,,,
wine_01gzr4ksy4xes34hq4jj76bf2g,BOTTLE,0,3000,,SCAFFALE,
wine_01gzr4ksy6gn9rkh204knpj13v,BOTTLE,0,6500,,SCAFFALE,
wine_01gzr4kskwznqcyf2gre3sz2w5,BOTTLE,2017,6000,,,
wine_01gzr4ksj47kx7njz3ysy4z1cg,BOTTLE,2017,11000,,BOTTIGLIERA,
wine_01gzr4ksj4spxbkch6na5t1j2t,BOTTLE,2020,4000,,BOTTIGLIERA,
wine_01h0my5sbde80h27wtz81q6fwh,BOTTLE,2021,4500,,4 SCAFFALE 2 MAGAZZINO,
wine_01h0qzm20k9anc75adqv7wp7mm,BOTTLE,2021,3000,,SCAFFALE,
wine_01gzr4kt26p0r5e9wfsf3adhv2,BOTTLE,2015,18000,,SCAFFALE,
wine_01gzr4kskfjz4w4bajenyn0wmb,BOTTLE,2019,5500,,4 SCAFFALE 2 MAGAZZINO,
wine_01h4pmmge6asfc26sssyhzqky1,BOTTLE,0,3000,,BOTTIGLIERA-MAG,
wine_01h4pmmfwybwz9gqnr894fb4cg,BOTTLE,2021,2500,,SCAFFALE,
wine_01gzr4ksdjf03sqeadrf4m5qkt,BOTTLE,0,3000,,SCAFFALE,
wine_01h0my5t3c9jztkkdjmd11hg8z,BOTTLE,2021,3000,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4kt2zbw2my3v34wq0f78n,BOTTLE,2018,3500,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4ksd1fnr67jf8jfan1y6x,BOTTLE,2015,4500,,SCAFFALE,
wine_01gzr4ktngw50hkf9bx7b8xfym,BOTTLE,2016,12000,,SCAFFALE 2,
wine_01gzr4kt1jr19ns7mqc0m7aade,BOTTLE,2018,6000,,SCAFFALE 2,
wine_01h0sq485y8w10zfy591j99wt9,BOTTLE,2017,5500,,4 SCAFFALE 2 MAGAZZINO,
wine_01gzr4ks6h9wxwjhxa6qaj974f,BOTTLE,2018,6500,,SCAFFALE 3,
wine_01h4pmmgxaacsajar8mhd33qzw,BOTTLE,0,5500,,4 SCAFFALE 2 MAGAZZINO,
wine_01h4pmmgxbxqrfxcxkneexdm26,BOTTLE,2021,8000,,SCAFFALE 2,
wine_01h4pmmgxh7tf4sbv3hgp9qrwq,BOTTLE,2019,6500,,SCAFFALE,
wine_01h0my5sw92xkkpsgbd4zv613h,BOTTLE,2019,7000,,4 SCAFFALE 2 MAGAZZINO,
wine_01h4pmmgxrq5rkencyg3gs7vqc,BOTTLE,2019,28000,,SCAFFALE,
wine_01gzr4ksge0kx37w2b1t724mcv,BOTTLE,2022,5000,,,
