ok,type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,WHITE,VERDICCHIO CASTELLI DI JESI CLASSICO SUPERIORE DOMINE' D.O.C. BIO,PIEVALTA,3-3,BOTTLE,2020,30,,,Dominè Verdicchio dei Castelli di Jesi Classico Superiore,Pievalta,wine_01h0qsxmvqk701s22cygbpqdka,,51.772987
TRUE,WHITE,MALVASIA DELL'EMILIA I.G.P. METODO ANCESTRALE,PODERE GIARDINO,SCAFFALE,BOTTLE,,30,Metodo ancestrale,,Suoli Cataldi Malvasia dell''Emilia,Podere Giardino,wine_01h0qsxmvm4p9ezsqe763v97qz,,37.11093
TRUE,WHITE,DERTHONA,QUADRO REPETTO,3-3,BOTTLE,2020,40,,,Derthona Quadro,Vigneti Repetto,wine_01gzr4ksek2c08g0hmq1r5pnea,7195887,33.343857
TRUE,WHITE,DERTHONA TIMORASSO,RENATO BOVERI VIGNAIOLO,,BOTTLE,2019,45,,,Derthona Bianco,Renato Boveri,wine_01h0my5szq2qtg79wem1scyfm6,,47.11337
FALSE,WHITE,VERMENTINO DIGALLURA KRAMORI D.O.C.G. SUPERIORE,SARAJA,3-3,BOTTLE,2021,35,,,Kintari Vermentino di Sardegna Superiore,Saraja,wine_01h4pmmfwy09kerpxpc981q5zh,,39.20333
FALSE,WHITE,VERMENTINO DI GALLURA KRAMORI D.O.C.G. SUPERIORE,SARAJA,,MAGNUM,2021,65,,,Kintari Vermentino di Sardegna Superiore,Saraja,wine_01h4pmmfwy09kerpxpc981q5zh,,41.874603
TRUE,WHITE,VERMENTINO DI GALLURA TARRA NOA D.O.C.G.,SARAJA,3-3,BOTTLE,2022,30,,,Tarra Noa Vermentino di Sardegna,Saraja,wine_01h0sq490g0p2ev48m24g41rb8,,50.048527
TRUE,WHITE,GRÜNER VELTLINER VALLE ISARCO,STRASSERHOF,,BOTTLE,2022,35,,,Grüner Veltliner,Strasserhof,wine_01h4pmmfxh7kxqfr3ehf3zcza3,,41.96936
TRUE,WHITE,RIESLING A.A. VALLE ISARCO D.O.C.,STRASSERHOF,,BOTTLE,2022,45,,,Riesling,Strasserhof,wine_01h4pmmfxh500vvfr6sx3q6rya,,34.012398
TRUE,WHITE,SYLVANER VALLE ISARCO,STRASSERHOF,,BOTTLE,2022,45,,,Sylvaner,Strasserhof,wine_01h4pmmfxhnw0x88q4z90acrfh,,37.546875
FALSE,WHITE,CAVALLO DELLE FATE GRILLO D.O.C.,TASCA D'ALMERITA,SOPRA FRIGO 1,BOTTLE,2022,30,,,Pinot Grigio,Tosca,wine_01gzr4kssfhhepfsgmf9zr8xx8,1571638,22.697996
FALSE,WHITE,CHARDONNAY VIGNA SAN FRANCESCO,TASCA D'ALMERITA,SOPRA FRIGO 1,BOTTLE,2020,75,,,Chardonnay,Tasca,wine_01gzr4kssfbnmw9atb81n777je,7193348,28.121439
