external_id,type,name_1,name_2,name_3,internal_notes,vintage,info,bottle_price,magnum_price,demi_price,bottle_qty,magnum_qty,demi_qty,purchase_price,to_archive
,,Champagne,H. Billiot Fils,GRAN CRU RISERVA  BRUT  ,,,,,,,1,,,,
,,Champagne,Jacques Selosse,LIEUX DITS  EXTRA BRUT  ,,2021,,,,,2,,,,
,,Champagne,Guillaume Selosse,LARGILLIER  EXTRA BRUT  ,,2018,,,,,2,,,,
,,Champagne,Guillaume Selosse,LARGILLIER  EXTRA BRUT  ,,2017,,,,,1,,,,
,,Champagne,Au dessus du Gros Mont,,,2018,,,,,1,,,,
141,,Thomas Niedermayr Hof Gandberg,Sonnrain,T.N. 99 Gandberg, PIWI ,2019,BIO, 55.00 € ,,,13,,,,
142,,Thomas Niedermayr Hof Gandberg,Bronner,T.N. 04 Gandberg, PIWI ,2017,BIO, 50.00 € ,,,10,,,,
143,,Thomas Niedermayr Hof Gandberg,Abendrot,T.N. 06 Gandberg, PIWI ,2018,BIO, 55.00 € ,,,5,,,,
144,,Thomas Niedermayr Hof Gandberg,Solaris,T.N. 14 Gandberg, PIWI ,2019,BIO, 45.00 € ,,,24,,,,
145,,Thomas Niedermayr Hof Gandberg,Souvignier Gris,T.N. 16 Gandberg, PIWI ,2021,BIO, 45.00 € ,,,2,,,,
146,,Thomas Niedermayr Hof Gandberg,Gandfels Cab. Cantor+Cortis,T.N. 06 Gandberg, PIWI ,2016,BIO, 55.00 € ,,,31,,,,
147,,Martin Gojer Weingut Pranzegg,Caroline,Cuvée," Ch,S,V,MB ",2015,BIO, 52.00 € ,,,20,,,,
148,,Martin Gojer Weingut Pranzegg,vino rosso leggero,Cuvée," M,L,V ",2016,BIO, 38.00 € ,,,15,,,,
151,,Martin Gojer Weingut Pranzegg,Quirein,Lagrein,,2009,BIO, 65.00 € ,,,9,,,,
153,,Christian Kerschbaumer Weingut Garlider,Sylvaner,hautnah,,2016,BIO, 55.00 € ,,,15,,,,
154,,Familie Dichristin Tröpfltalhof,Viognier,LeViogn,,2020,BIO, 49.00 € ,,,7,,,,
155,,Familie Dichristin Tröpfltalhof,Sauvignon,Garnellen, Anphora ,2012,BIO, 75.00 € ,,,13,,,,
156,,Familie Dichristin Tröpfltalhof,Merlot & Cabernet Sauvignon,Rosé Marie, Anphora ,2020,BIO, 52.00 € ,,,9,,,,
157,,Familie Dichristin Tröpfltalhof,Cabernet Sauvignon,Barleith, Anphora ,2016,BIO, 75.00 € ,,,8,,,,
161,,Sinn Robert St. Quirinus,"Aromera, Souvignier Gris, Johanniter",Planties , PIWI - Anphora ,2017,BIO, 65.00 € ,,,18,,,,
162,,Sinn Robert St. Quirinus,"Prior, Chambourcin",Planties, PIWI - Rosé ,2023,BIO, 47.00 € ,,,50,,,,
163,,Baron Longo Liebenstein,Liebenstein,Cuvée," W,Ch ",2015,, 55.00 € ,,,9,,,,
164,,Baron Longo Liebenstein,Solaris,,,2017,, 55.00 € ,,,10,,,,
165,,DUEMANI,Syrah - Toscana Rosato,Si, Anphora ,2022,BIO, 65.00 € ,,,,,,,1
180,,,Kellerei Kurtatsch,LIBELL, Ch+PG+SB+PB ,2024,, 45.00 € ,,,126,,,,
