external_id,name,name_2,name_3,internal_notes,vintage,info,bottle_qty,magnum_qty,demi_qty,bottle_price,magnum_price,demi_price,,
,Chardonnay,Weingut Tiefenbrunner,LINTICLARUS,,1997,,9,,,,,,,
,Chardonnay,Weingut Tiefenbrunner,LINTICLARUS,,1995,,3,,,,,,,
,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2016,RARITAS,18,,,,,,,
,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2011,,47,,,,,,,
,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2009,,11,,,,,,,
,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2008,,17,,,,,,,
285,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,2006,,15,,, 110.00 € ,,,,
285,Chardonnay,Weingut Alois Lageder,LÖWENGANG,,,INEDITO II RARITAS,2,,, 145.00 € ,,,,
,Chardonnay,Kellerei Terlan,RARITAS,,2003,RARITAS,6,,,,,,,
,Chardonnay,Kellerei Terlan,RARITAS,,2000,RARITAS,12,,,,,,,
,Chardonnay,Kellerei Terlan,RARITAS,,1997,RARITAS,3,,,,,,,
285,Chardonnay,Kellerei Terlan,RARITAS,,1996,RARITAS,3,,, 185.00 € ,,,,
,Chardonnay,Kellerei Terlan,RARITAS,,1994,RARITAS,7,,,,,,,
,Chardonnay,Kellerei Terlan,RARITAS,,1990,RARITAS,3,,,,,,,
,Chardonnay,Kellerei Kaltern ,CASTEL VIOVANELLI,,2002,,2,,,,,,,
,Chardonnay,Kellerei Terlan ,TRADITION ,,2015,,1,,,,,,,
,Chardonnay,Kellerei Terlan ,TRADITION ,,2014,,1,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Terlano classico,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Terlano classico,Kellerei Terlan,KLASSISCH,,2023,,30,,,,,,,
201,Terlano classico,Kellerei Terlan,KLASSISCH,,2022,,25,,, 49.00 € ,,,,
203,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2022, MAGNUNM ,30,6,, 79.00 € ,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,,,,,,,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2021,RARITAS,36,,,,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2019,,1,,,,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2017,,4,10,5,,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2016,,18,,,,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2015,,5,,,,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2014,,12,,,,,,,
205,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2013,,2,,, 110.00 € ,,,,
,Terlano classico,Kellerei Terlan,NOVA DOMUS,,2010,,,,6,,, 260.00 € ,,
,Terlano classico,Kellerei Terlan,PRIMUS,,2022,RARITAS,3,1,,,,,,
,Terlano classico,Kellerei Terlan,PRIMUS,,2021,,3,,,,,,,
,Terlano classico,Kellerei Terlan,PRIMUS,,2020,,3,,,,,,,
,Terlano classico,Kellerei Terlan,PRIMUS,,2019,,3,,1,,,,,
205,Terlano classico,Kellerei Terlan,PRIMUS,,2017,,3,,, 220.00 € ,,,,
,Terlano classico,Kellerei Terlan,PRIMUS,,2015,,0,,1,,,,,
,Terlano classico,Kellerei Terlan ,TERLANER RARITAS,,2008,RARITAS,3,,,,,,,
,Terlano classico,Kellerei Terlan ,TERLANER RARITAS,,1991,,1,,,,,,,
,,,,,,,,,,,,,,
,,Müller Thurgau,,,,,,,,,,,,
