external_id,name,vintage,info,internal_notes,size,price,quantity
182,Pinot blanc  Weingut Schloss Plars PATAUN,2022,,,BOTTLE, 49.00 € ,17
185,Pinot blanc  Weingut Prackfolerhof,2022,,,BOTTLE, 55.00 € ,28
188,Pinot blanc  Weingut Gumphof PRAESULIS,2022,,,BOTTLE, 59.00 € ,31
,Pinot blanc  Weingut Gumphof PRAESULIS,2021,,,BOTTLE,,3
186,Pinot blanc  Kellerei St.Michael-Eppan ST.VALENTIN,2022,,,BOTTLE, 59.00 € ,33
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2022,, MAGNUNM ,BOTTLE,,30
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2022,, MAGNUNM ,MAGNUM,,6
187,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2021,,,BOTTLE, 69.00 € ,89
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2017,, MAGNUNM ,MAGNUM, 160.00 € ,7
189,Pinot blanc  Weingut Gumphof RENAISSANCE,2015,,,BOTTLE, 79.00 € ,34
,Pinot blanc  Kellerei St. Pauls   SANKTISSIMUS,2018,,,BOTTLE,,3
190,Pinot blanc  Kellerei St. Pauls   SANKTISSIMUS,2013,,,BOTTLE, 110.00 € ,5
195,Pinot blanc  Kellerei Terlan KLASSISCH,2010,RARITAS,,BOTTLE, 75.00 € ,10
,Pinot blanc,2008,,,BOTTLE,,9
195,Pinot blanc  Kellerei St. Pauls PLÖTZNER,2010,RARITAS,,BOTTLE, 75.00 € ,10
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2021,RARITAS,,BOTTLE,,30
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2019,RARITAS,,BOTTLE,,6
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2011,RARITAS,,BOTTLE,,7
,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2008,RARITAS,,BOTTLE,,6
195,Pinot blanc  Kellerei Terlan VORBERG RISERVA,2007,RARITAS,,BOTTLE, 85.00 € ,7
,Pinot blanc  Kellerei Terlan RARITAS,2012,RARITAS,,BOTTLE,,6
,Pinot blanc  Kellerei Terlan RARITAS,2011,RARITAS,,BOTTLE,,4
,Pinot blanc  Kellerei Terlan RARITAS,2010,RARITAS,,BOTTLE,,3
,Pinot blanc  Kellerei Terlan RARITAS,2009,RARITAS,,BOTTLE,,3
,Pinot blanc  Kellerei Terlan RARITAS,2007,RARITAS,,BOTTLE,,3
,Pinot blanc  Kellerei Terlan RARITAS,2006,RARITAS,,BOTTLE,,5
195,Pinot blanc  (Jahrgangswechsl auf 1996),2005,RARITAS,,BOTTLE, 185.00 € ,4
,Pinot blanc  Kellerei Terlan RARITAS,2004,RARITAS,,BOTTLE,,5
,Pinot blanc  Kellerei Terlan RARITAS,1996,RARITAS,,BOTTLE,,12
270,Chardonnay Kellerei Terlan TRADITION,2024,,,BOTTLE, 45.00 € ,24
273,Chardonnay Kellerei Terlan KREUTH,2023,,,BOTTLE, 55.00 € ,47
274,Chardonnay Kellerei St.Michael-Eppan ST.VALENTIN,2022,,,BOTTLE, 59.00 € ,58
278,Chardonnay Kellerei Kurtatsch FREIENFELD,2021,, (+28 2020?) ,BOTTLE, 75.00 € ,137
279,Chardonnay Weingut Alois Lageder LÖWENGANG,2019,BIO,,BOTTLE, 95.00 € ,20
277,Chardonnay Weingut Tiefenbrunner AU,2020,,,BOTTLE, 120.00 € ,20
,Chardonnay Weingut Tiefenbrunner AU,2018,, MAGNUNM ,MAGNUM,,4
,Chardonnay Weingut Castelfeder  KREUZWEG RISERVA,2021,,,BOTTLE,,6
,Chardonnay Weingut Castelfeder  KREUZWEG RISERVA,2020,,,BOTTLE,,6
,Chardonnay Kellerei Tramin TROY,2021,,,BOTTLE,,12
,Chardonnay Kellerei Tramin TROY,2019,,,BOTTLE,,15
275,Chardonnay Kellerei Tramin TROY,2018,,,BOTTLE, 125.00 € ,13
,Chardonnay Kellerei Nals-Margreid NAMA,2020,,,BOTTLE,,6
271,Chardonnay Kellerei Nals-Margreid NAMA,2019,,,BOTTLE, 145.00 € ,4
,Chardonnay Kellerei St.Michael-Eppan ST.VALENTIN,2022,RARITAS,,BOTTLE,,18
285,Chardonnay Kellerei St.Michael-Eppan ST.VALENTIN,2011,,,BOTTLE, 85.00 € ,5
,Chardonnay Kellerei Schreckbichl FORMIGAR,2007,RARITAS,,BOTTLE,,48
285,Chardonnay Kellerei Schreckbichl FORMIGAR,2006,,,BOTTLE, 85.00 € ,11
,Chardonnay Kellerei Schreckbichl FORMIGAR,2005,,,BOTTLE,,2
,Chardonnay Kellerei Schreckbichl FORMIGAR,2000,,,BOTTLE,,1
,Chardonnay Kellerei Schreckbichl FORMIGAR,1997,,,BOTTLE,,2
,Chardonnay Kellerei Terlan KREUTH,2023,RARITAS,,BOTTLE,,30
285,Chardonnay (Kein Jahrgangswechsl),2012,,,BOTTLE, 85.00 € ,1
285,Chardonnay Weingut Tiefenbrunner LINTICLARUS,2007,RARITAS,,BOTTLE, 95.00 € ,6
,Chardonnay Weingut Tiefenbrunner LINTICLARUS,1997,,,BOTTLE,,9
,Chardonnay Weingut Tiefenbrunner LINTICLARUS,1995,,,BOTTLE,,3
,Chardonnay Weingut Alois Lageder LÖWENGANG,2016,RARITAS,,BOTTLE,,18
,Chardonnay Weingut Alois Lageder LÖWENGANG,2011,,,BOTTLE,,47
,Chardonnay Weingut Alois Lageder LÖWENGANG,2009,,,BOTTLE,,11
,Chardonnay Weingut Alois Lageder LÖWENGANG,2008,,,BOTTLE,,17
285,Chardonnay Weingut Alois Lageder LÖWENGANG,2006,,,BOTTLE, 110.00 € ,15
285,Chardonnay Weingut Alois Lageder LÖWENGANG INEDITO II RARITAS,,,,BOTTLE, 145.00 € ,2
,Chardonnay Kellerei Terlan RARITAS,2003,RARITAS,,BOTTLE,,6
,Chardonnay Kellerei Terlan RARITAS,2000,RARITAS,,BOTTLE,,12
,Chardonnay Kellerei Terlan RARITAS,1997,RARITAS,,BOTTLE,,3
285,Chardonnay Kellerei Terlan RARITAS,1996,RARITAS,,BOTTLE, 185.00 € ,3
,Chardonnay Kellerei Terlan RARITAS,1994,RARITAS,,BOTTLE,,7
,Chardonnay Kellerei Terlan RARITAS,1990,RARITAS,,BOTTLE,,3
,Chardonnay Kellerei Kaltern  CASTEL VIOVANELLI,2002,,,BOTTLE,,2
,Chardonnay Kellerei Terlan  TRADITION,2015,,,BOTTLE,,1
,Chardonnay Kellerei Terlan  TRADITION,2014,,,BOTTLE,,1
,Terlano classico Kellerei Terlan KLASSISCH,2023,,,BOTTLE,,30
201,Terlano classico Kellerei Terlan KLASSISCH,2022,,,BOTTLE, 49.00 € ,25
203,Terlano classico Kellerei Terlan NOVA DOMUS,2022,,,BOTTLE, 79.00 € ,30
203,Terlano classico Kellerei Terlan NOVA DOMUS,2022,,,MAGNUM,,6
,Terlano classico Kellerei Terlan NOVA DOMUS,2021,RARITAS,,BOTTLE,,36
,Terlano classico Kellerei Terlan NOVA DOMUS,2019,,,BOTTLE,,1
,Terlano classico Kellerei Terlan NOVA DOMUS,2017,,,BOTTLE,,4
,Terlano classico Kellerei Terlan NOVA DOMUS,2017,,,MAGNUM,,10
,Terlano classico Kellerei Terlan NOVA DOMUS,2017,,,HALF_BOTTLE,,5
,Terlano classico Kellerei Terlan NOVA DOMUS,2016,,,BOTTLE,,18
,Terlano classico Kellerei Terlan NOVA DOMUS,2015,,,BOTTLE,,5
