wine_id,size,vintage,price,info,storage_area,internal_notes
wine_01gzr4ks5hppdh0jyxzez21y5r,BOTTLE,0,11500,,, https://www.tannico.it/champagne-brut-nature-ultra-brut-laurent-perrier.html
wine_01gzr4ks5h7z6yfdmcpd6fmyrq,BOTTLE,2008,11500,,, https://www.tannico.it/champagne-brut-millesime-2008-laurent-perrier.html
wine_01gzr4ks5t3r3m2xqxvqrmzvgc,BOTTLE,0,11500,,,9 - 243 | 8 - 242 https://www.tannico.it/champagne-brut-aoc-collection-243-louis-roederer.html?_gl=1*1b3gepl*_up*MQ..&gclid=Cj0KCQjwyt-ZBhCNARIsAKH1174FKAG97IJz0uUG5y2hBXofwTjmsfNpLZ3y1sw8BAQqVWB1Neg9vZwaAtKfEALw_wcB
wine_01gzr4ks5tqthh4jv8natgmek8,BOTTLE,2014,47000,,, https://www.tannico.it/champagne-cristal-2014-louis-roederer-cofanetto.html
wine_01gzr4ksd4ahar44dg95zgrg4g,BOTTLE,2013,31000,,,Chardonnay 50% Pinot Nero 45% Pinot Meunier 5% https://www.callmewine.com/champagne-bell-epoque-perrier-jouet-2013-P30269.htm
wine_01gzr4kscbtrxfra499jsfa2z0,BOTTLE,0,8500,,, https://www.tannico.it/champagne-brut-reserve-pol-roger-25038.html
wine_01gzr4kscbzga5159ds831sygw,BOTTLE,2013,43000,,, https://www.tannico.it/champagne-brut-sir-winston-churchill-2012-pol-roger-astuccio.html
wine_01gzr4ks63nx7n95vw12dcynhy,BOTTLE,0,8500,,,Pinot Nero 65% Chardonnay 30% Pinot moniet 5% https://www.tannico.it/champagne-brut-royale-reserve-philipponnat-24351.html
wine_01gzr4ks63dw1mz9w5ezwc97av,BOTTLE,0,9000,,,Pinot Nero 50% Chardonnay 30% Pinot moniet 20% https://www.tannico.it/champagne-non-dose-royale-reserve-philipponnat.html
wine_01gzr4ks63k827636nmdzsbbh0,BOTTLE,2014,15000,,,? - 2012 | 100% pinot nero https://www.callmewine.com/champagne-blanc-de-noirs-philipponnat-2015-P35469.htm
wine_01gzr4ks63m600dq3q01k6f92z,BOTTLE,2007,49000,,,45 Pinot Nero 55 Chardonnay | 1-2010 Extra Brut https://www.bernardistore.it/prodotto/champagne-brut-clos-de-goisses-2007-philipponnat-in-cassa-legno/
wine_01gzr4ks63c2d995mzrdag2qq4,BOTTLE,2006,71000,,, https://www.glugulp.com/philipponnat-champagne-extra-brut-les-cintres-2009-box-naked
wine_01gzr4ks63jq95xanh97sq7sjy,BOTTLE,0,15000,,,100% pinot nero https://www.oltrebolla.com/champagne/379-philipponnat-champagne-aoc-premier-cru-extra-brut-blanc-de-noirs-cuvee-speciale-moon-import-astucciato.html
wine_01gzr4ksd4nsbgy7pt1nwzq7k8,BOTTLE,0,16000,,, https://www.tannico.it/champagne-brut-blanc-de-blancs-ruinart.html
wine_01h4pmmfdrsyc3d30fzdm74bn4,BOTTLE,0,16000,,, https://www.tannico.it/ruinart-rose.html
wine_01h0f3cmbm11rs6z6r4yhqx5x1,BOTTLE,0,8500,,, https://oldwine.it/champagne/champagne-aoc-brut-prestige-taittinger-astucciato-1139.html?gclid=Cj0KCQjwlK-WBhDjARIsAO2sErTgVqMSm_roqcrAWLXUkNIjK79mHb5foUb7ZPwNpdQQojCLPyoKbOAaAnGGEALw_wcB
wine_01h0my5rrnafxekmyrxxdv35wk,BOTTLE,2018,15000,,, https://calatamazzini15.it/product/aurore-casanova-blanc-de-noirs-2018-v-v-champagne-extra-brut-grand-cru/
wine_01h4pmmgk1wgvaagav68sqpd59,BOTTLE,2015,15000,,, https://enotecaterruli.it/prodotto/champagne-liberance-brut-nature-2015-franck-pascal/
wine_01h4pmmgjt4pp0mw1pmr0w3vcq,BOTTLE,0,9000,,, https://www.tannico.it/champagne-brut-nature-reliance-franck-pascal.html
wine_01gzr4ksc93gshb9ysern8935m,BOTTLE,2010,10500,,, https://www.vino45.it/it/champagne/2201-champagne-brut-grand-cru-blanc-de-blancs-d-ay-2010-750-ml-gaston-chiquet.html
wine_01gzr4ksc9yq8kbbtmbxvhnd7p,BOTTLE,0,13000,,,"Chardonnay 70%, Pinot Nero 30% https://www.callmewine.com/champagne-special-club-gaston-chiquet-2014-P40149.htm"
wine_01h4pmmgg5x3xh4ee8x4m2w9kk,BOTTLE,2019,16000,,,"Chardonnay 35%, Meunier 15% Pinot Nero 50% https://www.tannico.it/champagne-brut-nature-cumieres-premier-cru-georges-laval.html"
wine_01h4pmmfcwef6qw66j2grr78sw,BOTTLE,0,14000,,, https://www.tannico.it/champagne-extra-brut-cumieres-1er-cru-garennes-georges-laval.html
wine_01h0qzm22rdg12d5493x182wtd,BOTTLE,2017,9500,,,Meunier 95% Pinot Nero 5% | 6 - | 2-2014 https://www.lunawineshop.it/products/copia-del-champagne-mousse-fils-terre-dillite-2014-extra-brut
wine_01h4pmmgh5weng4rps36mq3ydt,BOTTLE,0,8500,,,Meunier 80% Pinot Nero 20% https://www.glugulp.com/mousse-fils-champagne-brut-lor-d-eugene-blanc-de-noirs-new
