type,size,price,internal_notes,vintage,name,winery_name,info,area
SPARKLING,BOTTLE, 300.00,https://www.tannico.it/champagne-brut-la-grande-annee-2014-bollinger.html?utm_source=aw-it-categories-brand-wine-dsa&utm_medium=cpc&utm_campaign=aw-it-categories-brand-wine-dsa&nol=true&ep=true&gclid=CjwKCAjw_b6WBhAQEiwAp4HyIKqM_AGJuwBpIs4Ob2-CK8k6dMf9cS271UVSXGviPLiIzUIwxT9hrhoC3lcQAvD_BwE,2014,BOLLINGER “LA GRANDE ANNEE” Brut ,BOLLINGER “LA GRANDE ANNEE” Brut ,,
SPARKLING,BOTTLE, 360.00,https://www.tannico.it/champagne-extra-brut-r-d-2004-bollinger-astuccio.html,2004,BOLLINGER “R.D.” Extra Brut  ,BOLLINGER “R.D.” Extra Brut  ,,
SPARKLING,BOTTLE, 99.00,https://www.tannico.it/champagne-premiere-cuvee-extra-brut-bruno-paillard.html,,BRUNO PAILLARD Extra Brut Première Cuvée,BRUNO PAILLARD Extra Brut Première Cuvée,,
SPARKLING,BOTTLE, 140.00,https://www.tannico.it/champagne-blanc-de-blancs-extra-brut-grand-cru-bruno-paillard.html,,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru  ,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru  ,,
SPARKLING,BOTTLE, 99.00,https://www.callmewine.com/champagne-brut-delamotte-P31238.htm,,DELAMOTTE Brut,DELAMOTTE Brut,,
SPARKLING,BOTTLE, 140.00,https://www.millesima.it/champagne-delamotte-blanc-de-blancs-0000.html,,DELAMOTTE Brut Blanc de Blanc ,DELAMOTTE Brut Blanc de Blanc ,,
SPARKLING,BOTTLE, 390.00,https://www.callmewine.com/dom-perignon-2008-P17019.htm,2008,DOM PERIGNON Brut Vintage Millesimè   ,DOM PERIGNON Brut Vintage Millesimè   ,,
SPARKLING,BOTTLE, 390.00,https://www.enosearcher.it/bottiglia/dom-perignon-champagne-aoc-vintage-brut-millesimato-2010/,2010,DOM PERIGNON Brut Vintage Millesimè ,DOM PERIGNON Brut Vintage Millesimè ,,
SPARKLING,BOTTLE, 630.00,https://www.callmewine.com/champagne-p2-dom-perignon-2003-P32524.htm,2003,DOM PERIGNON “P2” Brut Vintage ,DOM PERIGNON “P2” Brut Vintage ,,
SPARKLING,BOTTLE, 110.00,https://www.tannico.it/champagne-extra-brut-cuvee-n-745-jacquesson.html,,JAQUESSON “CUVÉE  N° 745” Brut  ,JAQUESSON “CUVÉE  N° 745” Brut  ,5 - N° 744 ,
SPARKLING,BOTTLE, 250.00,https://babo.wine/it/champagne/jacquesson-dizy-terres-rouges-2013-extra-brut-p172824,2013,"JAQUESSON “DIZY"" T. ROUGES   ","JAQUESSON “DIZY"" T. ROUGES   ",3 - 2012,
SPARKLING,BOTTLE, 380.00,,,KRUG Grande Cuvèe Brut Vertical Edition 167° - 168° - 169° - 170°,KRUG Grande Cuvèe Brut Vertical Edition 167° - 168° - 169° - 170°,,
SPARKLING,BOTTLE, 380.00,https://www.enosearcher.it/bottiglia/krug-champagne-aoc-grande-cuvee-170eme-edition/,,KRUG Grande Cuvèe Brut Vertical Edition 170°,KRUG Grande Cuvèe Brut Vertical Edition 170°,,
SPARKLING,BOTTLE, 80.00,https://www.tannico.it/champagne-brut-la-cuvee-laurent-perrier.html,,LAURENT PERRIER “LA CUVÉE” Brut ,LAURENT PERRIER “LA CUVÉE” Brut ,,
SPARKLING,BOTTLE, 140.00,https://www.tannico.it/champagne-brut-cuvee-rose-laurent-perrier.html,,LAURENT PERRIER “CUVÉE ROSÈE” Brut ,LAURENT PERRIER “CUVÉE ROSÈE” Brut ,,
SPARKLING,BOTTLE, 115.00,https://www.tannico.it/champagne-brut-nature-ultra-brut-laurent-perrier.html,,"LAURENT PERRIER ""ULTRA BRUT"" Nature","LAURENT PERRIER ""ULTRA BRUT"" Nature",,
SPARKLING,BOTTLE, 115.00,https://www.tannico.it/champagne-brut-millesime-2008-laurent-perrier.html,2008,LAURENT PERRIER “MILLÉSIMÉ ” Brut ,LAURENT PERRIER “MILLÉSIMÉ ” Brut ,,
SPARKLING,BOTTLE, 115.00,https://www.tannico.it/champagne-brut-aoc-collection-243-louis-roederer.html?_gl=1*1b3gepl*_up*MQ..&gclid=Cj0KCQjwyt-ZBhCNARIsAKH1174FKAG97IJz0uUG5y2hBXofwTjmsfNpLZ3y1sw8BAQqVWB1Neg9vZwaAtKfEALw_wcB,,"LOUIS ROEDERER ""COLLECTION 244"" Brut   ","LOUIS ROEDERER ""COLLECTION 244"" Brut   ",9 - 243 | 8 - 242,
SPARKLING,BOTTLE, 470.00,https://www.tannico.it/champagne-cristal-2014-louis-roederer-cofanetto.html,2014,"LOUIS ROEDERER ""CRISTAL"" Brut Millèsime ","LOUIS ROEDERER ""CRISTAL"" Brut Millèsime ",,
SPARKLING,BOTTLE, 99.00,https://www.vivino.com/US/it/mandois-cuvee-victor-mandois-vieilles-vignes-brut-champagne/w/1397876,2012,MANDOIS “CUVEE VICTOR” Brut Blanc de Blanc ,MANDOIS “CUVEE VICTOR” Brut Blanc de Blanc ,,
SPARKLING,BOTTLE, 310.00,https://www.callmewine.com/champagne-bell-epoque-perrier-jouet-2013-P30269.htm,2013,"PERRIER JOUËT ""BELLE EPOQUE""   Brut","PERRIER JOUËT ""BELLE EPOQUE""   Brut",Chardonnay 50% Pinot Nero 45% Pinot Meunier 5%,
SPARKLING,BOTTLE, 85.00,https://www.tannico.it/champagne-brut-reserve-pol-roger-25038.html,,POL ROGER Brut Reserve ,POL ROGER Brut Reserve ,,
SPARKLING,BOTTLE, 155.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-vintage-2013-pol-roger-astuccio.html,2013,POL ROGER Blanc de Blancs Vintage ,POL ROGER Blanc de Blancs Vintage ,,
SPARKLING,BOTTLE, 430.00,https://www.tannico.it/champagne-brut-sir-winston-churchill-2012-pol-roger-astuccio.html,2013,POL ROGER SIR WINSTON CHURCHILL ,POL ROGER SIR WINSTON CHURCHILL ,,
SPARKLING,BOTTLE, 85.00,https://www.tannico.it/champagne-brut-royale-reserve-philipponnat-24351.html,,PHILIPPONNAT “ROYALE RESERVE” Brut  ,PHILIPPONNAT “ROYALE RESERVE” Brut  ,Pinot Nero 65% Chardonnay 30% Pinot moniet 5%,
SPARKLING,BOTTLE, 90.00,https://www.tannico.it/champagne-non-dose-royale-reserve-philipponnat.html,,PHILIPPONNAT “ROYALE RESERVE” NON DOSÉ Brut  ,PHILIPPONNAT “ROYALE RESERVE” NON DOSÉ Brut  ,Pinot Nero 50% Chardonnay 30% Pinot moniet 20%,
SPARKLING,BOTTLE, 150.00,https://www.bernabei.it/grand-blanc-extra-brut-philipponnat-75-cl,2011,"PHILIPPONNAT ""GRAND BLANC"" Blanc de Blanc Extra Brut  ","PHILIPPONNAT ""GRAND BLANC"" Blanc de Blanc Extra Brut  ",100% chardonnay,
SPARKLING,BOTTLE, 150.00,https://www.callmewine.com/champagne-blanc-de-noirs-philipponnat-2015-P35469.htm,2014,PHILIPPONNAT Blanc de Noirs Extra Brut   ,PHILIPPONNAT Blanc de Noirs Extra Brut   ,? - 2012 | 100% pinot nero,
SPARKLING,BOTTLE, 490.00,https://www.bernardistore.it/prodotto/champagne-brut-clos-de-goisses-2007-philipponnat-in-cassa-legno/,2007,PHILIPPONNAT “CLOS DE GOISSES” Brut   ,PHILIPPONNAT “CLOS DE GOISSES” Brut   ,45 Pinot Nero 55 Chardonnay | 1-2010 Extra Brut,
SPARKLING,BOTTLE, 710.00,https://www.glugulp.com/philipponnat-champagne-extra-brut-les-cintres-2009-box-naked,2006,PHILIPPONNAT “LES CINTRES”Blanc de Noir  Extra Brut  ,PHILIPPONNAT “LES CINTRES”Blanc de Noir  Extra Brut  ,,
SPARKLING,BOTTLE, 150.00,https://www.oltrebolla.com/champagne/379-philipponnat-champagne-aoc-premier-cru-extra-brut-blanc-de-noirs-cuvee-speciale-moon-import-astucciato.html,,"PHILIPPONNAT ""CUVÉE SPÉCIALE MOON"" Blanc de Noirs Extra Brut 1er Cru  ","PHILIPPONNAT ""CUVÉE SPÉCIALE MOON"" Blanc de Noirs Extra Brut 1er Cru  ",100% pinot nero,
SPARKLING,BOTTLE, 160.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-ruinart.html,,RUINART Blanc de Blancs Brut,RUINART Blanc de Blancs Brut,,
SPARKLING,BOTTLE, 160.00,https://www.tannico.it/ruinart-rose.html,,RUINART Rosè Brut,RUINART Rosè Brut,,
SPARKLING,BOTTLE, 1.100.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-cuvee-s-le-mesnil-2004-salon.html,2004,SALON “LE MESNIL” Blanc de Blanc Brut ,SALON “LE MESNIL” Blanc de Blanc Brut ,,
SPARKLING,BOTTLE, 85.00,https://oldwine.it/champagne/champagne-aoc-brut-prestige-taittinger-astucciato-1139.html?gclid=Cj0KCQjwlK-WBhDjARIsAO2sErTgVqMSm_roqcrAWLXUkNIjK79mHb5foUb7ZPwNpdQQojCLPyoKbOAaAnGGEALw_wcB,,TAITTINGER Brut Prestige Blanc,TAITTINGER Brut Prestige Blanc,,
SPARKLING,BOTTLE, 120.00,https://www.bernabei.it/brut-blanc-de-blancs-thienot-75cl-astucciato,,THIENOT Blanc de Blancs Brut,THIENOT Blanc de Blancs Brut,,
SPARKLING,BOTTLE, 130.00,https://www.tannico.it/champagne-brut-vintage-2009-thienot.html,2009,THIENOT Millesimé ,THIENOT Millesimé ,,
SPARKLING,BOTTLE, 150.00,https://calatamazzini15.it/product/aurore-casanova-blanc-de-noirs-2018-v-v-champagne-extra-brut-grand-cru/,2018,AURORE CASANOVA Blanc de Noirs Extra Brut Grand Cru ,AURORE CASANOVA Blanc de Noirs Extra Brut Grand Cru ,,
SPARKLING,BOTTLE, 190.00,https://www.tannico.it/champagne-extra-brut-blanc-de-noirs-harmonie-2011-franck-pascal-102525.html,2011,"FRANK PASCAL “HARMONIE"" Blanc de Noirs Nature ","FRANK PASCAL “HARMONIE"" Blanc de Noirs Nature ",,
SPARKLING,BOTTLE, 150.00,https://enotecaterruli.it/prodotto/champagne-liberance-brut-nature-2015-franck-pascal/,2015,"FRANK PASCAL “LIBERANCE"" Brut Nature ","FRANK PASCAL “LIBERANCE"" Brut Nature ",,
SPARKLING,BOTTLE, 90.00,https://www.tannico.it/champagne-brut-nature-reliance-franck-pascal.html,,FRANK PASCAL “RELIANCE” Brut Nature ,FRANK PASCAL “RELIANCE” Brut Nature ,,
SPARKLING,BOTTLE, 105.00,https://www.vino45.it/it/champagne/2201-champagne-brut-grand-cru-blanc-de-blancs-d-ay-2010-750-ml-gaston-chiquet.html,2010,GASTON CHIQUET “D'AY” Blanc de Blanc Brut Grand Crù ,GASTON CHIQUET “D'AY” Blanc de Blanc Brut Grand Crù ,,
SPARKLING,BOTTLE, 130.00,https://www.callmewine.com/champagne-special-club-gaston-chiquet-2014-P40149.htm,,GASTON CHIQUET “SPECIAL CLUB”  Brut 1° Crù ,GASTON CHIQUET “SPECIAL CLUB”  Brut 1° Crù ,"Chardonnay 70%, Pinot Nero 30%",
