ok,type,name,winery_name,area,size,vintage,price,details,tech_sheet,internal_notes,info,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,SPARKLING,FERRARI “PERLÉ BIANCO RISERVA” Brut,FERRARI “PERLÉ BIANCO RISERVA” Brut,,BOTTLE,2015,89,5 - 2014,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Bianco-Riserva-Trentodoc-1.pdf,5 - 2014 https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Bianco-Riserva-Trentodoc-1.pdf,,Perlé Bianco Riserva,Ferrari,wine_01gzr4ksccrmvta6snft247t35,4987008,36.84798
TRUE,SPARKLING,FERRARI “PERLÉ NERO” Brut,FERRARI “PERLÉ NERO” Brut,,BOTTLE,2013,125,6 - 2011,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Nero-Riserva-Trentodoc-1.pdf,6 - 2011 https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Nero-Riserva-Trentodoc-1.pdf,,Perlé Nero,Ferrari,wine_01gzr4kscc2q9h2vh9dzr6ja8q,6482899,35.43027
TRUE,SPARKLING,FERRARI “RISERVA LUNELLI” Brut,FERRARI “RISERVA LUNELLI” Brut,,BOTTLE,2015,139,2 - 2012,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Riserva-Lunelli-Trentodoc-6.pdf,2 - 2012 https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Riserva-Lunelli-Trentodoc-6.pdf,,Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,89737,34.603695
TRUE,SPARKLING,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut,FERRARI “GIULIO FERRARI RISERVA DEL FONDATORE” Brut,,BOTTLE,2009,220,2 - 2008 | 3 - 2006,https://www.ferraritrento.com/wp-content/uploads/2016/11/Giulio-Ferrari-Riserva-del-Fondatore-Trentodoc-7.pdf,2 - 2008 | 3 - 2006 https://www.ferraritrento.com/wp-content/uploads/2016/11/Giulio-Ferrari-Riserva-del-Fondatore-Trentodoc-7.pdf,,'Giulio Ferrari'' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,1256452,75.70593
TRUE,SPARKLING,MOSER “51151” Brut,MOSER “51151” Brut,,BOTTLE,,38,,https://mosertrento.com/wp-content/uploads/2021/03/Scheda-Trentodoc-51151.pdf, https://mosertrento.com/wp-content/uploads/2021/03/Scheda-Trentodoc-51151.pdf,,"51,151 Brut",Moser,wine_01h0r2pqcxrjnkrkzhn09mp5d0,,34.64083
TRUE,SPARKLING,FERRARI “PERLÉ ROSE” Brut,FERRARI “PERLÉ ROSE” Brut,,BOTTLE,2015,68,,https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Rose-Riserva-Trentodoc-2.pdf, https://www.ferraritrento.com/wp-content/uploads/2016/11/Ferrari-Perle-Rose-Riserva-Trentodoc-2.pdf,,Perlé Rosé,Ferrari,wine_01gzr4ksccxkqxryxhnb6gavgx,1740591,32.686108
FALSE,SPARKLING,"KETTMEIR """" Riserva Extra Brut 2015","KETTMEIR """" Riserva Extra Brut 2015",,BOTTLE,1919,65,,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_1919_Extra_Brut_ITA.pdf, https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_1919_Extra_Brut_ITA.pdf,,1919 Riserva Extra Brut,Kettmeir,wine_01h0qzm23saw4dnhp09jsgxv7q,,37.182518
TRUE,SPARKLING,"KETTMEIR ""ATHESIS"" Brut","KETTMEIR ""ATHESIS"" Brut",,BOTTLE,2017,39,,https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_Brut_Athesis_ITA.pdf, https://www.kettmeir.com/images/pdf/schede-ita/KT_MC_Brut_Athesis_ITA.pdf,,Athesis Brut,Kettmeir,wine_01h0qzm23rs8gaa77kqcm4f89w,,42.967926
FALSE,SPARKLING,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT,SAN LEONARDO BLANC DE BLANC G. Gonzaga Vigneti delle Dolomiti IGT,,BOTTLE,2017,39,,https://www.sanleonardo.it/vini/spumante/spumante.pdf, https://www.sanleonardo.it/vini/spumante/spumante.pdf,,Blanc de Blancs Spumante Brut,Chateau Blanc,wine_01h0qsxn5fymhd5vt8c9jzrd70,,45.50822
TRUE,SPARKLING,HARTMANN DONÀ Blanc de Rouge Extra brut,HARTMANN DONÀ Blanc de Rouge Extra brut,,BOTTLE,,46,,https://enotecaterruli.it/prodotto/blanc-de-rouge-extra-brut-hartmann-dona/, https://enotecaterruli.it/prodotto/blanc-de-rouge-extra-brut-hartmann-dona/,,Blanc de Rouge Extra Brut,Hartmann Donà,wine_01h0qzm1v5yew8p9yawed15xyw,,47.319794
TRUE,SPARKLING,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT,MAT'55 Extra Brut Pian delle Vette Vigneti Delle Dolomiti IGT,,BOTTLE,2012,49,,https://shop.piandellevette.it/shop/prod/mat-55-0-75cl-millesimato-2012-328, https://shop.piandellevette.it/shop/prod/mat-55-0-75cl-millesimato-2012-328,,Matt 55 Metodo Classico,Pian Delle Vette,wine_01gzr4ksjs0gnpjetky8shmg91,5251846,66.32358
TRUE,SPARKLING,POJER & SANDRI Brut Rosè,POJER & SANDRI Brut Rosè,,BOTTLE,,45,,https://www.pojeresandri.com/wp-content/uploads/2019/09/Brut-Rose.pdf?x45718, https://www.pojeresandri.com/wp-content/uploads/2019/09/Brut-Rose.pdf?x45718,,Brut Rosé,Pojer e Sandri,wine_01gzr4ksehb4w40vf68pxz2wak,2034180,38.309242
