ok,matched_id,external_id,type,name,winery_name,area,size,vintage,price,quantity,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
TRUE,wine_01h0b4rjgpder3smhfakv2fcdv,,DESSERT,sant’urbano barthenau,Tenuta J. Hofstätter,,BOTTLE,2019,9800,3,,,,,,,
TRUE,wine_01h0b4rjgpder3smhfakv2fcdv,,DESSERT,sant’urbano barthenau,Tenuta J. Hofstätter,,MAGNUM,2016,20000,2,,,,,,,
TRUE,wine_01h0my5rfec2t529txgwhm29qq,,WHITE,blauburgunder,Alois Lageder,,BOTTLE,2021,3000,7,,,,,,,
TRUE,wine_01h0sq47xgsjwga0x64t8fsfjq,,RED,lagrein,Cantina di Termeno,,BOTTLE,2022,3000,3,,,,,,,
TRUE,wine_01h0sq47xhxk56xm9rbe5d0q07,,RED,lagrein urban riserva,Cantina di Termeno,,BOTTLE,2020,6600,11,,,,,,,
TRUE,wine_01gzr4kse58hgt6bmzqhy84nyd,,RED,pinot nero mazzon,Gottardi,,BOTTLE,2018,0,3,,,,,,,
TRUE,wine_01gzr4kse58hgt6bmzqhy84nyd,,RED,pinot nero mazzon,Gottardi,,BOTTLE,2019,0,1,,,,,,,
TRUE,wine_01gzr4kse6eyk0vrp2w5w8h4ff,,RED,pinot nero riserva,Gottardi,,BOTTLE,2017,7500,9,,,,,,,
TRUE,wine_01j0zzme9bc3w7x5emcw2xfje7,,RED,pinot nero,Gottardi,,MAGNUM,2018,14000,0,,,,,,,
TRUE,wine_01gzr4kskv33cewkey32djev36,,RED,blauburgunder riserva st.daniel,Schreckbichl/Colterenzio,,BOTTLE,2020,3900,5,,,,,,,
TRUE,wine_01j0zzr4kwnnrvgbbga9q2y741,,RED,pinot nero riserva vigna oberhof suedtirol,Abbazia di Novacella,,BOTTLE,2019,11000,0,,,,,,,
FALSE,,,WHITE,praesulis,Marcus Prackwierser,,BOTTLE,2018,0,1,,,,,,,
TRUE,wine_01gzr4ksk7j3fmqdeg19w3r8px,,WHITE,filip merlot,Miani,,BOTTLE,2020,0,5,,,,,,,
FALSE,,,WHITE,cabernet sauvignon,Schioppetto,,BOTTLE,2020,3300,0,,,,,,,
FALSE,,,WHITE,cabernet sauvignon magnum,Schioppetto,,MAGNUM,2020,7000,0,,,,,,,
TRUE,wine_01gzr4ksfwexgp2k36a037vt01,,RED,cabernet franc isonzo,Marco Felluga Russiz sup.,,BOTTLE,2021,4500,9,,,,,,,
TRUE,wine_01gzr4ksfwexgp2k36a037vt01,,RED,cabernet franc,Marco Felluga Russiz sup.,,BOTTLE,2021,0,0,,,,,,,
TRUE,wine_01gzr4ksfwexgp2k36a037vt01,,RED,cabernet franc,Marco Felluga Russiz sup.,,MAGNUM,2021,0,3,,,,,,,
TRUE,wine_01j10065ggzwad8txpmd5qe4k8,,RED,refosco riserva,Az. Agr. La Viarte,,BOTTLE,2014,6000,6,,,,,,,
FALSE,,,RED,barbera,Gaja,,BOTTLE,1973,0,1,,,,,,,
TRUE,wine_01h0my5sy3y1kqf6tebnn50gnt,,RED,barolo serralunga,Az. Agr. Negro,,BOTTLE,2016,8500,3,,,,,,,
TRUE,wine_01gzr4kt65sc8enqkpar1x64sa,,RED,barolo enrico scavino,Paolo Scavino,,BOTTLE,2018,0,3,,,,,,,
TRUE,wine_01gzr4kt65sc8enqkpar1x64sa,,RED,barolo enrico scavino,Paolo Scavino,,BOTTLE,2020,0,6,,,,,,,
TRUE,wine_01hfv4gwtds4hbaabqffvmwyyp,,DESSERT,rosso masseto,Tenuta dell'Ornellaia,,BOTTLE,2015,200000,1,,,,,,,
TRUE,wine_01gzr4kt84p32acb7v4yb1s1mc,,RED,rosso serre nuove,Tenuta dell'Ornellaia,,BOTTLE,2020,7000,2,,,,,,,
TRUE,wine_01gzr4ksd17ecsm6py4s6fhjwr,,WHITE,le volte,Tenuta dell'Ornellaia,,BOTTLE,2021,4000,7,,,,,,,
TRUE,wine_01gzr4ksd17ecsm6py4s6fhjwr,,WHITE,le volte,Tenuta dell'Ornellaia,,MAGNUM,2020,8000,0,,,,,,,
TRUE,wine_01gzr4ksd17ecsm6py4s6fhjwr,,WHITE,le volte,Tenuta dell'Ornellaia,,MAGNUM,2021,8000,0,,,,,,,
FALSE,,,RED,cabernet sauvignon,Tenuta Il Fantone,,BOTTLE,2019,4200,1,,,,,,,
TRUE,wine_01hygmc83nked2r19hp8dz8kmx,,RED,brunello di montalcino castel giocondo,Marchesi Frescobaldi,,BOTTLE,2014,6500,2,,,,,,,
TRUE,wine_01hygmc83nked2r19hp8dz8kmx,,RED,brunello di montalcino castel giocondo,Marchesi Frescobaldi,,BOTTLE,2018,6500,1,,,,,,,
TRUE,wine_01h0my5rn2091v2jgm0sbhgjc7,,RED,merlot lamaione,Marchesi Frescobaldi,,BOTTLE,2014,7200,4,,,,,,,
TRUE,wine_01h0my5rn2091v2jgm0sbhgjc7,,RED,merlot lamaione,Marchesi Frescobaldi,,BOTTLE,2018,7200,6,,,,,,,
TRUE,wine_01gzr4kshdhcdv47t5acgkjbme,,RED,morellino di scansano belgvardo riserva,Marchesi Mazzei,,BOTTLE,2017,3000,2,,,,,,,
TRUE,wine_01gzr4kt5jszrq7c6rh961xcjx,,RED,rosso,Urlari Pervale,,BOTTLE,2016,2800,12,,,,,,,
TRUE,wine_01gzr4kt5jszrq7c6rh961xcjx,,RED,rosso magnum,Urlari Pervale,,MAGNUM,2017,6000,3,,,,,,,
TRUE,wine_01h0my5rnbzpdjyv63wx9j8qtd,,RED,nobile di montepulciano,Az. Agr. S. Caterina Tenuta Tre Rose,,BOTTLE,2019,125,1,,,,,,,
TRUE,wine_01h0b4rjgm3g5qgra49hw15ega,,RED,brunello di montalcino,Vigna Spuntali,,BOTTLE,2016,8500,4,,,,,,,
TRUE,wine_01gzr4ksnzaxcbtwvxec1bkq36,,RED,rosso di montalcino,San Felice,,BOTTLE,2021,3300,0,,,,,,,
FALSE,,,RED,i vigneri,Vigneri,,BOTTLE,2016,4000,2,,,,,,,
FALSE,,,RED,i vigneri,Vigneri,,BOTTLE,2017,3600,9,,,,,,,
TRUE,wine_01h0r2pqadvzk434e6t85v4fyb,,RED,etna rosso volcano,Az. Agr. Monte Rosso,,BOTTLE,2019,4200,8,,,,,,,
TRUE,wine_01gzr4kt1x8zgb41hy82arnsar,,RED,rosso di malbec e corvina passo doble tierra soleada,Masi Tupungato,,BOTTLE,2020,4500,0,,,,,,,
FALSE,,,WHITE,bordeaux legende,Chateau Mouton Rothshild,,BOTTLE,2019,2400,6,,,,,,,
FALSE,,,RED,rouge legende medoc,Chateau Mouton Rothshild,,BOTTLE,2019,3600,3,,,,,,,
FALSE,,,RED,chateau de fussignac,Chateau Moulin Haut-Laroque,,BOTTLE,2011,5500,0,,,,,,,
