external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,Unnamed: 10,reason
91,Prosecco,,,,,,,,,,winery_name is null
104,Vini Bianchi,,,,,,,,,,winery_name is null
105,Trentino Alto Adige,,,,,,,,,,winery_name is null
112,Gewurztraminer Praepositus,,,,,,,,,,winery_name is null
140,Friuli Venezia Giulia,,,,,,,,,,winery_name is null
178,Veneto,,,,,‘19,€,,,,winery_name is null
197,Umbria,,,,,,,,,,winery_name is null
201,Puglia,,,,,,,,,,winery_name is null
205,Sardegna,,,,,,,,,,winery_name is null
210,Piemonte,,,,,,,,,,winery_name is null
215,Marche,,,,,,,,,,winery_name is null
219,Campania,,,,,,,,,,winery_name is null
224,Toscana,,,,,,,,,,winery_name is null
227,Vini bianchi esteri,,,,,,,,,,winery_name is null
261,"Altri vini biodinamici, biologici e naturali",,,,,,,,,,winery_name is null
264,Vini Rosati,,,,,,,,,,winery_name is null
266,Rumor Cotes de Provence,,,,,,,,,,winery_name is null
268,Vini Rossi,,,,,,,,,,winery_name is null
269,Veneto,,,,,,,,,,winery_name is null
270,Azienda Agricola Quintarelli,,,,,,,,,,winery_name is null
279,Monteversa,,,,,,,,,,winery_name is null
283,Bonotto Delle Tezze,,,,,,,,,,winery_name is null
289,Loredan e Gasparini,,,,,,,,,,winery_name is null
299,Serafini Vidotto,,,,,,,,,,winery_name is null
303,Brigaldara,,,,,,,,,,winery_name is null
312,Mosole,,,,,,,,,,winery_name is null
315,Lorenzo Begali,,,,,,,,,,winery_name is null
318,Zenato,,,,,,,,,,winery_name is null
323,Allegrini,,,,,,,,,,winery_name is null
332,Le Salette,,,,,,,,,,winery_name is null
337,Marco Mosconi,,,,,,,,,,winery_name is null
339,Paolo Cottini,,,,,,,,,,winery_name is null
344,Masi,,,,,,,,,,winery_name is null
351,Corte Giara,,,,,,,,,,winery_name is null
353,Speri,,,,,,,,,,winery_name is null
358,Villa Spinosa,,,,,,,,,,winery_name is null
361,La Montecchia,,,,,,,,,,winery_name is null
365,Azienda Agricola Puntozero,,,,,,,,,,winery_name is null
369,Azienda Agricola Nicolis,,,,,,,,,,winery_name is null
371,Azienda Agricola Inama,,,,,,,,,,winery_name is null
384,Bertani,,,,,,,,,,winery_name is null
389,Pian della Vette,,,,,,,,,,winery_name is null
391,Le Guaite di Noemi,,,,,,,,,,winery_name is null
398,Val de Pol,,,,,,,,,,winery_name is null
402,Azienda Agricola Montebrecale,,,,,,,,,,winery_name is null
404,A & G De Martin,,,,,,,,,,winery_name is null
406,Trentino Alto Adige,,,,,,,,,,winery_name is null
407,Cantina di Bolzano Gries / Santa Maddalena,,,,,,,,,,winery_name is null
418,Gumphof,,,,,,,,,,winery_name is null
420,Tenuta J. Hofstätter,,,,,,,,,,winery_name is null
427,Alois Lageder,,,,,,,,,,winery_name is null
435,Carlotto Ferruccio,,,,,,,,,,winery_name is null
439,Cantina di Termeno,,,,,,,,,,winery_name is null
442,Gottardi,,,,,,,,,,winery_name is null
446,Girlan,,,,,,,,,,winery_name is null
449,Barone de Cles,,,,,,,,,,winery_name is null
451,Cantina Rotaliana,,,,,,,,,,winery_name is null
453,Waldgries,,,,,,,,,,winery_name is null
456,Schreckbichl/Colterenzio,,,,,,,,,,winery_name is null
463,Elena Walch,,,,,,,,,,winery_name is null
470,Franz Haas,,,,,,,,,,winery_name is null
475,Abbazia di Novacella,,,,,,,,,,winery_name is null
481,Marcus Prackwierser,,,,,,,,,,winery_name is null
483,Tenuta Klosterhof,,,,,,,,,,winery_name is null
485,Friuli Venezia Giulia,,,,,,,,,,winery_name is null
486,Silvio Jermann,,,,,,,,,,winery_name is null
488,Miani,,,,,,,,,,winery_name is null
493,Castelvecchio,,,,,,,,,,winery_name is null
499,Borgo Conventi,,,,,,,,,,winery_name is null
503,Schioppetto,,,,,,,,,,winery_name is null
509,Antico Broilo,,,,,,,,,,winery_name is null
511,Meroi,,,,,,,,,,winery_name is null
514,Cantina Produttori di Cormons,,,,,,,,,,winery_name is null
516,Livio Felluga,,,,,,,,,,winery_name is null
518,Russiz Superiore Marco Felluga,,,,,,,,,,winery_name is null
523,Azienda Agricola La Viarte,,,,,,,,,,winery_name is null
530,Alexis Paraschos,,,,,,,,,,winery_name is null
532,Castello di Buttrio,,,,,,,,,,winery_name is null
537,Conte d’Attimis Maniago,,,,,,,,,,winery_name is null
539,Lis Neris,,,,,,,,,,winery_name is null
542,Piemonte,,,,,,,,,,winery_name is null
550,Gaja,,,,,,,,,,winery_name is null
562,Travaglini,,,,,,,,,,winery_name is null
567,Azienza Agricola Negro,,,,,,,,,,winery_name is null
571,Ciabot Roero Riserva,,,,,,,,,,winery_name is null
573,Vietti,,,,,,,,,,winery_name is null
576,Azienda Vinicola Reva,,,,,,,,,,winery_name is null
578,G.D.Vajra,,,,,,,,,,winery_name is null
583,Paolo Scavino,,,,,,,,,,winery_name is null
589,Toscana,,,,,,,,,,winery_name is null
590,Aia Vecchia,,,,,,,,,,winery_name is null
593,Tenuta dell'Ornellaia,,,,,,,,,,winery_name is null
600,Avignonesi,,,,,,,,,,winery_name is null
602,Ormanni,,,,,,,,,,winery_name is null
605,Gaja,,,,,,,,,,winery_name is null
607,San Leonino,,,,,,,,,,winery_name is null
609,Tenuta “Il Fantone”,,,,,,,,,,winery_name is null
612,Fratini,,,,,,,,,,winery_name is null
614,Marchesi Antinori,,,,,,,,,,winery_name is null
621,Marchesi Frescobaldi,,,,,,,,,,winery_name is null
626,Mastrojanni,,,,,,,,,,winery_name is null
630,Corte dei Venti,,,,,,,,,,winery_name is null
634,Azienda Agricola Tenuta Luce,,,,,,,,,,winery_name is null
636,Marchesi Mazzei,,,,,,,,,,winery_name is null
638,Tenuta San Guido,,,,,,,,,,winery_name is null
645,Urlari Pervale,,,,,,,,,,winery_name is null
648,Caccia al Piano,,,,,,,,,,winery_name is null
651,Mosenese,,,,,,,,,,winery_name is null
653,Az. Agricola S.Caterina Tenuta Tre Rose,,,,,,,,,,winery_name is null
655,Vigna Spuntali,,,,,,,,,,winery_name is null
657,San Felice,,,,,,,,,,winery_name is null
661,Biondi Santi,,,,,,,,,,winery_name is null
663,Castello d’Albola,,,,,,,,,,winery_name is null
665,Val di Suga,,,,,,,,,,winery_name is null
668,La Fiorita,,,,,,,,,,winery_name is null
670,Gaja,,,,,,,,,,winery_name is null
672,Emilia Romagna,,,,,,,,,,winery_name is null
673,Otello Ceci,,,,,,,,,,winery_name is null
675,Marche,,,,,,,,,,winery_name is null
676,Umani Ronchi,,,,,,,,,,winery_name is null
679,Puglia,,,,,,,,,,winery_name is null
680,Vespa Vignaioli,,,,,,,,,,winery_name is null
684,Petrelli,,,,,,,,,,winery_name is null
686,Sicilia,,,,,,,,,,winery_name is null
687,Vigneri,,,,,,,,,,winery_name is null
690,Planeta,,,,,,,,,,winery_name is null
695,Passopisciaro,,,,,,,,,,winery_name is null
697,Firriato,,,,,,,,,,winery_name is null
700,Cottanera,,,,,,,,,,winery_name is null
703,Fondo Antico,,,,,,,,,,winery_name is null
706,Spadafora,,,,,,,,,,winery_name is null
708,Azienda Agricola Monte Rosso,,,,,,,,,,winery_name is null
711,Sardegna,,,,,,,,,,winery_name is null
712,Santadi,,,,,,,,,,winery_name is null
718,Ferruccio Deiana,,,,,,,,,,winery_name is null
720,Argiolas,,,,,,,,,,winery_name is null
728,"Altri vini biodinamici, biologici e naturali",,,,,,,,,,winery_name is null
729,Cantina d'Isera,,,,,,,,,,winery_name is null
731,Marco Mosconi,,,,,,,,,,winery_name is null
733,Masi Tupungato,,,,,,,,,,winery_name is null
735,Vinicentanni,,,,,,,,,,winery_name is null
740,Vini Rossi Esteri,,,,,,,,,,winery_name is null
741,Francia,,,,,,,,,,winery_name is null
742,Chateau Margaux,,,,,,,,,,winery_name is null
744,Chateau Mouton Rothshild,,,,,,,,,,winery_name is null
746,Chateau Clarke Rothshild,,,,,12,,,1,,winery_name is null
750,Dourthe n 1 Bordeaux,,,,,14,,,1,,winery_name is null
751,Château Carteau,,,,,,,,1,,winery_name is null
753,Château Gigognan,,,,,,,,,,winery_name is null
756,Chanson,,,,,,,,,,winery_name is null
759,Chateau Moulin Haut-Laroque,,,,,,,,,,winery_name is null
762,Domaine George Joillot,,,,,,,,,,winery_name is null
765,Domaine Reverdy Ducroux,,,,,,,,,,winery_name is null
767,M.Chapuotier,,,,,,,,,,winery_name is null
771,Clos de l’Oratoire des Papes,,,,,,,,,,winery_name is null
773,E. Guigal,,,,,,,,,,winery_name is null
775,Chateau Rauzan-Segla,,,,,,,,,,winery_name is null
777,Domaine de l'Arjolle,,,,,,,,,,winery_name is null
779,Rumor Cotes de Provence,,,,,,,,,,winery_name is null
781,U.S.A.,,,,,,,,,,winery_name is null
782,Caymus,,,,,,,,,,winery_name is null
789,Cile,,,,,,,,,,winery_name is null
791,Sud Africa,,,,,,,,,,winery_name is null
792,Neil Ellis,,,,,,,,,,winery_name is null
794,Laibach,,,,,,,,,,winery_name is null
796,Svizzera,,,,,,,,,,winery_name is null
797,Cantina il Cavaliere,,,,,,,,,,winery_name is null
799,Germania,,,,,,,,,,winery_name is null
