external_id,name_one,name_two,winery_name,size,vintage,price,quantity,country
146,,Sauvignon,Silvio Jermann,,,"€ 42,00","1 ‘21, 6 ‘22",
147,,Sauvignon ,Miani,,18,"€ 110,00",6,
148,,Sauvignon Zittelle,Miani ,,19,"€ 110,00","5 ‘19, 6 ‘21",
149,,Sauvignon,Miani Zitelle,Magnum,‘17,"€ 220,00",1,
150,,Vintage Tunina,Silvio Jermann,,20,"€ 70,00",,
151,,Vintage Tunina ,Silvio Jermann,Magnum,,"€ 150,00","1 ‘20, 1 ‘21",
152,,Friulano ,Miani ,,22,"€ 56,00",4,
153,,Friulano DOC Collio Ronco delle Cime,Venica,,‘21,"€ 60,00",15,
154,,Friulano ,Schioppetto,,21,"€ 42,00",15,
155,,Friulano ,Simon Komjanc,,19,"€ 21,00",,
156,,Friulano Isonzo del Friuli DOC,Borgo Conventi,,‘21,"€ 21,00",8,
157,,Friulano,Az. Agricola Toros,,22,"€ 45,00",10,
158,,Friulano,Meroi,,21,"€ 50,00",5,
159,,Ribolla gialla,Damijan,,19,"€ 55,00",,
160,,Ribolla gialla ,La Viarte,,‘21,"€ 39,00",5,
161,,Ribolla gialla ,Tenuta Stella,,19,,1,
162,,Ribolla gialla collio,Ronco Blanchis,,‘22,,6,
163,,Pinot grigio,Borgo Conventi,,21,"€ 21,00",10,
164,,Pinot grigio,Az. Agricola Toros,,,"€ 60,00","2 ‘19, 9 ‘21 ",
165,,Pinot bianco,Az. Agricola Toros,,21,"€ 60,00",5,
166,,Sauvignon Ronco delle Mele DOC Collio,Venica,,21,"€ 80,00",11,
167,,Nekaj ,Damijan,,18,"€ 63,00",1,
168,,Bianco Kaplja Tocai,Damijan,,18,"€ 65,00",4,
169,,Malvasia La Mont di Zuc ,Miani,,19,"€ 75,00",5,
170,,Ograde Bianco ,Skerk,,‘20,"€ 70,00",6,
171,,Vitovska,Kante,,19,,1,
172,,Uve Carate Bianco Doc ,Castello di Buttrio,,‘20,"€ 75,00",6,
173,,Malvasia ,Tenuta Stella,,21,,1,
174,,Malvasia ,Schioppetto,,‘21,"€ 42,00",5,
175,,Malvasia,Amphoreus Paraschos,,19,"€ 75,00",4,
176,,,,,,,,
177,,Veneto,,,‘19,,,
178,Classico,Soave classico Montesei ,Le Battistelle,,‘22,"€ 18,00",10,
179,,Soave ,Bertani,,22,"€ 33,00",4,
180,Cuvée Speciale ,Soave ,Az. Agr. Inama,,‘21,,3,
181,Grande Cuvée,Soave Classico DOC I Palchi Foscarino,Az. Agr. Inama,,,"€ 80,00","12 ‘19, 26 ‘20",
182,Grande Cuvée,Soave Classico DOC I Palchi Foscarino,Az. Agr. Inama,Magnum,,"€ 160,00","2 ‘19, 3 ‘20",
183,,Soave Classico DOC Foscarino,Az. Agr. Inama,,,"€ 50,00","10 ‘21, 2 ‘20 54 ‘21",
184,,Soave Classico DOC Foscarino,Az. Agr. Inama,Magnum,‘20,"€ 110,00",4,
185,,Soave Classico Du Lot Collection ,Az. Agr. Inama,,‘18,"€ 75,00",11,
186,,Soave Classico Du Lot Collection ,Az. Agr. Inama,Magnum,‘18,"€ 140,00",3,
187,,Sauvignon Vulcaia Fumé ,Az. Agr. Inama,,,"€ 75,00","18 ‘20, 6 ‘21",
188,,Sauvignon Vulcaia Fumé ,Az. Agr. Inama,Magnum,‘20,"€ 140,00",4,
189,,Lugana Oasi Mantellina,Allegrini,,22,"€ 33,00",5,
190,,Incrocio Manzoni,Serafini Vidotto,,20 21,"€ 26,00",,
191,,Ribolla Gialla ,Loredan Gasparini,,‘22,"€ 35,00",,
