"type","size","storage_area","name1","name2","winery","vintage","qty","purchase_price_eur","sales_price_eur",,,
"RED","BOTTLE","MAG","Cabernet","Istrice ","E. Walch",2022,12,16.25 €,44.00 €,,,
"RED","BOTTLE","MAG","Cabernet Franc","Chinon","Les Athletes du vin",2021,18,10.30 €,42.00 €,,,
"RED","BOTTLE",,"Cab. Franc e Cab Sauv","Poggio alle Nane","Antinori Le Mortelle",2021,9,39.00 €,88.00 €,,,
"RED","BOTTLE","F2","Cabernet Merlot Ris","Arzio","Baron di Pauli",2020,6,25.00 €,68.00 €,,,
"RED","BOTTLE",,"Cabernet Merlot","Aufhof","Baron Widman",2022,0,25.50 €,68.00 €,,,
"RED","BOTTLE","MAG","Cabernet Merlot","Staffelfeld ROT","Baron Widman",2021,30,17.00 €,46.00 €,,,
"RED","BOTTLE","MAG","Cabernet Merlot","Curtis","K. Kurtatsch",2022,15,9.30 €,32.00 €,,,
"RED","BOTTLE","MAG","Cabernet Sauvignon","Campaner","K. Kaltern",2020,6,11.50 €,36.00 €,,,
"RED","BOTTLE","F2","Cuvee","Kermesse","E. Walch",2021,18,33.85 €,78.00 €,,,
"RED","BOTTLE","F2","Cuvee","Kermesse","E. Walch",2019,12,30.80 €,78.00 €,,,
"RED","BOTTLE","MAG","Cuvee","Athos Rosso","Dolomytos",2018,3,27.00 €,74.00 €,,,
"RED","BOTTLE","MAG","Cuvee","Castel Campan","Manincor",2021,6,62.00 €,132.00 €,,,
"RED","BOTTLE","D3","Cuvee","Riflesso Rosi ","Eugenio Rosi",2021,7,7.40 €,29.00 €,,,
"RED","BOTTLE","D3","Cuvee","Riflesso Rosi ","Eugenio Rosi",2022,34,8.90 €,29.00 €,,,
"RED","BOTTLE","G2","Cuvee","La Grola","Allegrini",2020,22,15.00 €,44.00 €,,,
"RED","BOTTLE","I4","Cuvee",,"Monteverro",2020,13,28.00 €,74.00 €,,,
"RED","BOTTLE","B4","Cuvee (Merlot/Pignolo)","RS Rosso","Radikon",2022,6,19.20 €,52.00 €,,,
"RED","BOTTLE","MAG","Cuvee Corvina, Corvinone, Rondinella, Molinara Oseleta","Valpolicella Ripasso","Rubinelli Vajol",2021,6,16.80 €,53.00 €,,,
"RED","BOTTLE","MAG","Cuvee Corvina, Corvinone, Rondinella, Molinara Oseleta","Valpolicella Ripasso","Rubinelli Vajol",2022,18,13.90 €,53.00 €,,,
"RED","BOTTLE","F2","Cuvee","Skythos","Dolomytos",2014,5,24.00 €,68.00 €,,,
"RED","BOTTLE",,"Cuvee","Margaux AOC","Chateau Brane Cantenac",2018,0,78.50 €,164.00 €,,,
"RED","BOTTLE","J4","Cuvee","St. Julien AOC","Chateau Leoville Barton",2018,5,97.50 €,192.00 €,,,
"RED","BOTTLE","G3","Cuvee","Reif ","Unterganzner",2022,18,36.90 €,98.00 €,,,
"RED","BOTTLE",,"Cuvee","Rot Bio","Oggau",2016,2,28.70 €,72.00 €,,,
"RED","BOTTLE","J4","Cuvee (Merl Cab Sauv-franc)","Saint Emilion Gran Cru","Chateau Corbin Michotte",2018,18,44.50 €,98.00 €,,,
"RED","BOTTLE","K","Cuvee (Merl Cab Sauv)","Saint-Estèphe Cru Bou","Chateau le Boscq",2016,1,29.50 €,72.00 €,,,
"RED","BOTTLE",,"Cuvee Dolomiti Rosso","TAN SAI XVI Comete","A. Lageder",2016,1,25.00 €,48.00 €,,,
"RED","BOTTLE",,"Cuvee","NATSCH XVI Comete","A. Lageder",2016,1,25.00 €,48.00 €,,,
"RED","BOTTLE",,"Cuvee","MAX XIX","A. Lageder",2019,1,15.00 €,48.00 €,,,
"RED","BOTTLE","MAG","Cuvee (Ner.M-Ner. Cap)",1840,"Eudes",2018,5,38.00 €,86.00 €,,,
"RED","BOTTLE","G4","Cuvee (CS.CF.Mer.Pet.V)","Noi 4","Tenuta sette cieli",2022,3,16.50 €,44.00 €,,,
"RED","BOTTLE","MAG","Cuvee C.S, C.F., Merl","Sondraia   Rosso Sup","Poggio al Tesoro Bolgheri",2019,18,48.00 €,104.00 €,,,
"RED","BOTTLE",,"Cuvee","Pauillac 1er Cru","Chateau Latour",2012,1,542.00 €,"1,020.00 €",,,
"RED","BOTTLE",,"Cuvee","Margaux 1er Cru","Chateau Margaux",2017,1,480.00 €,"1,060.00 €",,,
"RED","BOTTLE","J1","Cuvee","Saint Emilion Gran Cru","Chateau Pavie Macquin",2018,5,96.00 €,198.00 €,,,
"RED","BOTTLE","J1","Cuvee","Pessac-Leognan","Chateau La Garde",2018,3,27.00 €,68.00 €,,,
"RED","BOTTLE",,"Cuvee C. S., Mer, Cabe F  Pet V.","Pauillac 1er Cru","Chateau Mountan Rothschild",2017,1,460.00 €,980.00 €,,,
"RED","BOTTLE",,"Cuvee Cab Sau, Merlot","Pauillac 1er Cru","Chateau Pichon Baron",2018,3,182.50 €,420.00 €,,,
"RED","BOTTLE","I1","Frappato di Vittoria","Frappato","Tenuta Bastonaca",2020,24,7.80 €,28.00 €,,,
"RED","BOTTLE","G4","Lagrein","Porphyr Riserva","Terlan",2020,15,38.10 €,88.00 €,,,
"RED","BOTTLE","G4","Lagrein","Porphyr Riserva","Terlan",2021,6,42.50 €,88.00 €,,,
"RED","BOTTLE","21","Lagrein","Lagrein","St. Michael",2023,21,9.40 €,32.00 €,,,
"RED","BOTTLE","MAG","Lagrein","Lamarein","Mayr Josephus",2022,1,46.90 €,104.00 €,,,
"RED","BOTTLE","F2","Lagrein","Frauenrigl","K.Kurtatsch",2020,14,18.00 €,48.00 €,,,
"RED","BOTTLE","F2","Lagrein","Frauenrigl","K.Kurtatsch",2021,24,18.30 €,48.00 €,,,
"RED","BOTTLE","D5","Lagrein","Ottanta","Egger Ramer",2018,2,30.00 €,82.00 €,,,
"RED","BOTTLE","F2","Lagrein","Chaos Totl IGT","Pranzegg",2022,7,14.90 €,44.00 €,,,
"RED","BOTTLE","MAG","Lagrein","Raut","Waldthaler",2016,16,23.60 €,66.00 €,,,
"RED","BOTTLE","MAG","Lagrein","Morus","Lentsch",2006,6,28.00 €,72.00 €,,,
"RED","BOTTLE",,"Lagrein Riserva","Perflabilis","Griesbauer",2019,5,62.00 €,132.00 €,,,
"RED","BOTTLE","MAG","Lambrusco",,"Francesco Bellei",2022,15,9.30 €,29.00 €,,,
"RED","BOTTLE",,"Merlot","Masseto","Ornellaia",2016,1,519.80 €,980.00 €,,,
"RED","BOTTLE","MAG","Merlot","Niffo","Terre del Sillabo",2016,18,19.80 €,54.00 €,,,
"RED","BOTTLE","MAG","Merlot","Mühlweg","Niedrist",2020,8,24.60 €,58.00 €,,,
"RED","BOTTLE","MAG","Merlot","Alto Adige DOC","Lentsch",2019,6,12.90 €,42.00 €,,,
"RED","BOTTLE","G1","Merlot Cabernet Franc","Altrovino","Costa Toscana",2020,16,22.40 €,58.00 €,,,
"RED","BOTTLE","G1","Merlot Cabernet Franc","Altrovino","Costa Toscana",2018,1,21.50 €,58.00 €,,,
"RED","BOTTLE","E2","Nebiolo Doc","LangheEster Canale","Giovanni Rosso",2021,0,100.00 €,210.00 €,,,
"RED","BOTTLE","MAG","Nebbiolo","Langhe Doc","Giovanni Rosso",2022,30,13.00 €,36.00 €,,,
"RED","BOTTLE","H5","Nebbiolo ","Barbaresco Ronchi","Rocca Albino",2020,6,34.00 €,82.00 €,,,
"RED","BOTTLE","I2","Nebbiolo d'Alba","Réva","Réva",2022,12,13.90 €,39.00 €,,,
"RED","BOTTLE","G1","Nerello Mascalese","Etna Rosso DOC","Pietradolce",2018,9,24.50 €,58.00 €,,,
"RED","BOTTLE","E2","Nerello Mascalese","Quota 1000","Graci",2021,3,95.00 €,132.00 €,,,
"RED","BOTTLE","E2","Nerello Mascalese","Quota 1000","Graci",2015,1,95.00 €,145.00 €,,,
"RED","BOTTLE","I1","Nerello Mascalese","Etna Rosso Arcuria","Graci",2020,6,29.00 €,68.00 €,,,
"RED","BOTTLE","H1","Nerello Mascalese","Etna Rosso","De Bartoli Etna",2021,8,20.60 €,54.00 €,,,
