external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_eur
,WHITE,Sauvignon 20-21,Roberto Ferrari,20-21,BOTTLE,0,7200,2850,12,B5,,True,28.50 €
,WHITE,Sauvignon 18-19-20 Pulsar,Roberto Ferrari,18-19-20,BOTTLE,0,7200,2850,3,B5,,True,28.50 €
,WHITE,Sauvignon LUI XX,A. Lageder,,BOTTLE,2020,4800,1500,2,,,True,15.00 €
,WHITE,Sauvignon Pouilly Fumé En Travertin,D. Henri Bourgeois,,BOTTLE,2022,5200,1814,6,A5,,True,18.15 €
,WHITE,Sauvignon Blanc Sancerre Blanc Le Pierrier,Thomas & Fills,,BOTTLE,2022,5200,1980,1,A4,,True,19.80 €
,WHITE,Timorasso Bianco frizz Mec L'è?,Nebraie,,BOTTLE,2019,3800,1300,15,E1,,True,13.00 €
,WHITE,Verdicchio Campo delle Oche,Fattoria San Lorenzo,,BOTTLE,2020,4300,1460,1,B1,,True,14.60 €
,WHITE,Verdicchio Il San Lorenzo,Fattoria San Lorenzo,,BOTTLE,2008,10200,4750,1,,,True,47.50 €
,WHITE,Vermentino  Foresto,La Ricolla,,BOTTLE,2023,4800,2200,12,MAG,,True,22.00 €
,WHITE,Bianchetta Ninte de Ninte,La Ricolla,,BOTTLE,2023,5100,2300,6,MAG,,True,23.00 €
,WHITE,Vermentino  Solole,Poggio al TesoroBolgheri,,BOTTLE,2023,4200,1350,18,MAG,,True,13.50 €
,WHITE,Vitovska Vitovska,Zidarich,,BOTTLE,2022,5200,1600,6,MAG,,True,16.00 €
,WHITE,Vitovska Vitovska Collection,Zidarich,,BOTTLE,2009,10200,4400,1,MAG,,True,44.00 €
,WHITE,Vitovska Vitovska Collection,Zidarich,,BOTTLE,2016,10600,4900,5,MAG,,True,49.00 €
,WHITE,Vitovska  Kamen,Zidarich,,BOTTLE,2021,6800,2550,15,MAG,,True,25.50 €
,WHITE,Vitoska Origine,Vodopivec,,BOTTLE,2019,7800,3100,18,C5,,True,31.00 €
,WHITE,Weissburgunder Kristallberg,E. Walch,,BOTTLE,2022,4400,1570,18,MAG,,True,15.70 €
,WHITE,Weissburgunder Vigneti delle Dolomiti,Patrick Uccelli,,BOTTLE,0,5600,2240,7,MAG,,True,22.40 €
,WHITE,Weissburgunder Solt,St. Quirinus,,BOTTLE,2023,3600,1230,6,MAG,,True,12.30 €
,WHITE,Zibibbo Integer Zibibbo,De Bartoli,,BOTTLE,2018,4400,1739,6,,,True,17.40 €
,,Champagne  Blanc de Blanc Millesime,Bruno Paillard,,BOTTLE,2013,14800,7800,2,,,True,78.00 €
,,Champagne  Dosage Zero,Bruno Paillard,,BOTTLE,0,7100,4300,13,,,True,43.00 €
,,Champagne  Blanc de Blanc Brut,Claude Michez,,BOTTLE,0,6800,2800,12,,,True,28.00 €
,,Champagne Grand Cru Extra Brut,Crete Chamberlin,,BOTTLE,2017,9600,3900,14,,,True,39.00 €
,,Champagne Pinot Noir Brut D'Eulalie,Edouard Duval,,BOTTLE,0,8400,3600,24,,,True,36.00 €
,,Champagne Vintage,Dom Perignon,,BOTTLE,2013,33000,12550,6,,,True,125.50 €
,,Champagne Blan de Blan Gran Cru,Fernand Thill,,BOTTLE,2022,7900,3429,3,,,True,34.30 €
,,Champagne  Ruinart,Ruinart,,BOTTLE,0,9600,3879,8,,,True,38.80 €
,, Champagne  Blanc du Blanc Nature,Laherte Frères,,BOTTLE,0,8600,3700,10,,,True,37.00 €
,,Champagne  Extra Brut,Lucas Cretol,,BOTTLE,0,6400,2630,18,,,True,26.30 €
,,Franciacorta Brut Doppio Erredi ,Derbusco,,BOTTLE,0,4600,1620,20,,,True,16.20 €
,,Franciacorta Brut La Capinear,Vigneti Cenci,,BOTTLE,0,4400,1500,26,,,True,15.00 €
,,Prosecco Extra Dry Serrai Serrai,La Tordera,,BOTTLE,0,2950,785,180,,,True,7.85 €
,,Spum Lambrusco  Ancestrale,Bellei,,BOTTLE,0,2900,900,14,,,True,9.00 €
,,Spumante MUS XXIII,A. Lageder,,BOTTLE,2023,4800,1500,2,,,True,15.00 €
,,Spumante Brut Rosé,Quirinus,,BOTTLE,0,5100,1889,20,,,True,18.90 €
,,Spumante Rose Sur Lies,Lispida H,,BOTTLE,2017,4400,1595,2,,,True,15.95 €
,,Spumante Phineas Arunda,J. Reiterer,,BOTTLE,0,10800,5000,8,,,True,50.00 €
,,Spumante Brut Arunda,J. Reiterer,,BOTTLE,0,5200,1880,60,,,True,18.80 €
,,Spumante Brut Nature Cuvée 36,Casa Caterina,,BOTTLE,2018,5100,1850,9,,,True,18.50 €
,,Spumante Brut Lamm,Winkler,,BOTTLE,0,6800,2810,5,,,True,28.10 €
,,Spumante P.N. extra brut Farfalla,Ballabio,,BOTTLE,0,5200,1870,18,,,True,18.70 €
,,Trento doc extra Brut Vent,Toblino,,BOTTLE,2020,4200,1490,24,,,True,14.90 €
,,Spumante Bio Poiré Fermier De Normandie,Domaine Olivier,,BOTTLE,0,3200,690,8,,,True,6.90 €
,RED,Alicante Nero Bio Alicante,Ampeleia,,BOTTLE,2021,4400,1490,20,I5,,True,14.90 €
,RED,Amarone Valmezzane,Corte Sant'Alda,,BOTTLE,2016,9600,4200,8,H4,,True,42.00 €
,RED,Barolo Ginestra,Conterno Fantino,,BOTTLE,2019,10400,4790,2,H5,,True,47.90 €
,RED,Barolo Cerretta Dogc,Giovanni Rosso,,BOTTLE,2018,10800,3900,1,H5,,True,39.00 €
,RED,Barolo Cerretta Dogc,Giovanni Rosso,,BOTTLE,2019,10800,5100,12,H5,,True,51.00 €
,RED,Barolo Serra,Giovanni Rosso,,BOTTLE,2020,10800,5100,6,H5,,True,51.00 €
,RED,Barolo Serra,Giovanni Rosso,,BOTTLE,2019,10800,5100,3,H5,,True,51.00 €
,RED,BArolo Mosconi,Parusso,,BOTTLE,2019,13200,6400,6,H5,,True,64.00 €
,RED,Barolo Riserva Bricco delle Viole ,460 Casina Bric,,BOTTLE,2015,7200,3000,3,,,True,30.00 €
,RED,Barolo Bricco Boschis,Cavallotto,,BOTTLE,2020,11200,5400,8,H5,,True,54.00 €
,RED,Barolo Aeroplanservaj,Clerico,,BOTTLE,2019,11400,5400,1,,,True,54.00 €
,RED,Blaufränkisch Bertholdi,Gut Oggau,,BOTTLE,2015,16000,7450,6,,,True,74.50 €
,RED,Brunello di Montalcino Podernovi,San Polo,,BOTTLE,2019,15400,7500,22,I4,,True,75.00 €
,RED,Callejo Felix,Callejo,,BOTTLE,2018,18200,8415,2,,,True,84.15 €
,RED,Cabernet Istrice ,E. Walch,,BOTTLE,2022,4400,1625,12,MAG,,True,16.25 €
,RED,Cabernet Franc Chinon,Les Athletes du vin,,BOTTLE,2021,4200,1030,18,MAG,,True,10.30 €
,RED,Cab. Franc e Cab Sauv Poggio alle Nane,Antinori Le Mortelle,,BOTTLE,2021,8800,3900,9,,,True,39.00 €
,RED,Cabernet Merlot Ris Arzio,Baron di Pauli,,BOTTLE,2020,6800,2500,6,F2,,True,25.00 €
,RED,Cabernet Merlot Staffelfeld ROT,Baron Widman,,BOTTLE,2021,4600,1700,30,MAG,,True,17.00 €
,RED,Cabernet Merlot Curtis,K. Kurtatsch,,BOTTLE,2022,3200,930,15,MAG,,True,9.30 €
,RED,Cabernet Sauvignon Campaner,K. Kaltern,,BOTTLE,2020,3600,1150,6,MAG,,True,11.50 €
,RED,Cuvee Kermesse,E. Walch,,BOTTLE,2021,7800,3385,18,F2,,True,33.85 €
,RED,Cuvee Kermesse,E. Walch,,BOTTLE,2019,7800,3080,12,F2,,True,30.80 €
,RED,Cuvee Athos Rosso,Dolomytos,,BOTTLE,2018,7400,2700,3,MAG,,True,27.00 €
,RED,Cuvee Castel Campan,Manincor,,BOTTLE,2021,13200,6200,6,MAG,,True,62.00 €
,RED,Cuvee Riflesso Rosi ,Eugenio Rosi,,BOTTLE,2021,2900,740,7,D3,,True,7.40 €
,RED,Cuvee Riflesso Rosi ,Eugenio Rosi,,BOTTLE,2022,2900,890,34,D3,,True,8.90 €
,RED,Cuvee La Grola,Allegrini,,BOTTLE,2020,4400,1500,22,G2,,True,15.00 €
,RED,Cuvee (Merlot/Pignolo) RS Rosso,Radikon,,BOTTLE,2022,5200,1920,6,B4,,True,19.20 €
,RED,"Cuvee Corvina, Corvinone, Rondinella, Molinara Oseleta Valpolicella Ripasso",Rubinelli Vajol,,BOTTLE,2021,5300,1680,6,MAG,,True,16.80 €
,RED,"Cuvee Corvina, Corvinone, Rondinella, Molinara Oseleta Valpolicella Ripasso",Rubinelli Vajol,,BOTTLE,2022,5300,1390,18,MAG,,True,13.90 €
,RED,Cuvee Skythos,Dolomytos,,BOTTLE,2014,6800,2400,5,F2,,True,24.00 €
,RED,Cuvee St. Julien AOC,Chateau Leoville Barton,,BOTTLE,2018,19200,9750,5,J4,,True,97.50 €
,RED,Cuvee Reif ,Unterganzner,,BOTTLE,2022,9800,3690,18,G3,,True,36.90 €
,RED,Cuvee Rot Bio,Oggau,,BOTTLE,2016,7200,2870,2,,,True,28.70 €
,RED,Cuvee (Merl Cab Sauv-franc) Saint Emilion Gran Cru,Chateau Corbin Michotte,,BOTTLE,2018,9800,4450,18,J4,,True,44.50 €
,RED,Cuvee (Merl Cab Sauv) Saint-Estèphe Cru Bou,Chateau le Boscq,,BOTTLE,2016,7200,2950,1,K,,True,29.50 €
,RED,Cuvee Dolomiti Rosso TAN SAI XVI Comete,A. Lageder,,BOTTLE,2016,4800,2500,1,,,True,25.00 €
,RED,Cuvee NATSCH XVI Comete,A. Lageder,,BOTTLE,2016,4800,2500,1,,,True,25.00 €
,RED,Cuvee MAX XIX,A. Lageder,,BOTTLE,2019,4800,1500,1,,,True,15.00 €
,RED,Cuvee (Ner.M-Ner. Cap) 1840,Eudes,,BOTTLE,2018,8600,3800,5,MAG,,True,38.00 €
,RED,Cuvee (CS.CF.Mer.Pet.V) Noi 4,Tenuta sette cieli,,BOTTLE,2022,4400,1650,3,G4,,True,16.50 €
,RED,"Cuvee C.S, C.F., Merl Sondraia   Rosso Sup",Poggio al Tesoro Bolgheri,,BOTTLE,2019,10400,4800,18,MAG,,True,48.00 €
,RED,Cuvee Pauillac 1er Cru,Chateau Latour,,BOTTLE,2012,102000,54200,1,,,True,542.00 €
,RED,Cuvee Margaux 1er Cru,Chateau Margaux,,BOTTLE,2017,102000,48000,1,,,True,480.00 €
,RED,Cuvee Saint Emilion Gran Cru,Chateau Pavie Macquin,,BOTTLE,2018,19800,9600,5,J1,,True,96.00 €
,RED,Cuvee Pessac-Leognan,Chateau La Garde,,BOTTLE,2018,6800,2700,3,J1,,True,27.00 €
,RED,"Cuvee C. S., Mer, Cabe F  Pet V. Pauillac 1er Cru",Chateau Mountan Rothschild,,BOTTLE,2017,98000,46000,1,,,True,460.00 €
,RED,"Cuvee Cab Sau, Merlot Pauillac 1er Cru",Chateau Pichon Baron,,BOTTLE,2018,42000,18250,3,,,True,182.50 €
,RED,Frappato di Vittoria Frappato,Tenuta Bastonaca,,BOTTLE,2020,2800,780,24,I1,,True,7.80 €
,RED,Lagrein Porphyr Riserva,Terlan,,BOTTLE,2020,8800,3810,15,G4,,True,38.10 €
,RED,Lagrein Porphyr Riserva,Terlan,,BOTTLE,2021,8800,4250,6,G4,,True,42.50 €
,RED,Lagrein Lagrein,St. Michael,,BOTTLE,2023,3200,940,21,21,,True,9.40 €
,RED,Lagrein Lamarein,Mayr Josephus,,BOTTLE,2022,10400,4690,1,MAG,,True,46.90 €
,RED,Lagrein Frauenrigl,K.Kurtatsch,,BOTTLE,2020,4800,1800,14,F2,,True,18.00 €
,RED,Lagrein Frauenrigl,K.Kurtatsch,,BOTTLE,2021,4800,1830,24,F2,,True,18.30 €
,RED,Lagrein Ottanta,Egger Ramer,,BOTTLE,2018,8200,3000,2,D5,,True,30.00 €
,RED,Lagrein Chaos Totl IGT,Pranzegg,,BOTTLE,2022,4400,1490,7,F2,,True,14.90 €
,RED,Lagrein Raut,Waldthaler,,BOTTLE,2016,6600,2360,16,MAG,,True,23.60 €
,RED,Lagrein Morus,Lentsch,,BOTTLE,2006,7200,2800,6,MAG,,True,28.00 €
,RED,Lagrein Riserva Perflabilis,Griesbauer,,BOTTLE,2019,13200,6200,5,,,True,62.00 €
,RED,Merlot Masseto,Ornellaia,,BOTTLE,2016,98000,51979,1,,,True,519.80 €
,RED,Merlot Niffo,Terre del Sillabo,,BOTTLE,2016,5400,1980,18,MAG,,True,19.80 €
,RED,Merlot Mühlweg,Niedrist,,BOTTLE,2020,5800,2460,8,MAG,,True,24.60 €
,RED,Merlot Alto Adige DOC,Lentsch,,BOTTLE,2019,4200,1290,6,MAG,,True,12.90 €
,RED,Merlot Cabernet Franc Altrovino,Costa Toscana,,BOTTLE,2020,5800,2240,16,G1,,True,22.40 €
,RED,Merlot Cabernet Franc Altrovino,Costa Toscana,,BOTTLE,2018,5800,2150,1,G1,,True,21.50 €
,RED,Nebbiolo Langhe Doc,Giovanni Rosso,,BOTTLE,2022,3600,1300,30,MAG,,True,13.00 €
,RED,Nebbiolo  Barbaresco Ronchi,Rocca Albino,,BOTTLE,2020,8200,3400,6,H5,,True,34.00 €
,RED,Nebbiolo d'Alba Réva,Réva,,BOTTLE,2022,3900,1390,12,I2,,True,13.90 €
,RED,Nerello Mascalese Etna Rosso DOC,Pietradolce,,BOTTLE,2018,5800,2450,9,G1,,True,24.50 €
,RED,Nerello Mascalese Quota 1000,Graci,,BOTTLE,2021,13200,9500,3,E2,,True,95.00 €
,RED,Nerello Mascalese Quota 1000,Graci,,BOTTLE,2015,14500,9500,1,E2,,True,95.00 €
,RED,Nerello Mascalese Etna Rosso Arcuria,Graci,,BOTTLE,2020,6800,2900,6,I1,,True,29.00 €
,RED,Nerello Mascalese Etna Rosso,De Bartoli Etna,,BOTTLE,2021,5400,2060,8,H1,,True,20.60 €
,RED,Nerello Mascalese Contrada,Passopisciaro,,BOTTLE,2021,7600,3400,6,H1,,True,34.00 €
,RED,Pinot Nero Mason di Mason,Manincor,,BOTTLE,2021,9800,4500,18,F3,,True,45.00 €
,RED,Pinot Nero Mazzon,W. Gottardi,,BOTTLE,2019,5200,2140,18,F4,,True,21.40 €
,RED,Pinot Nero Thaler Hof,Maso Thaler,,BOTTLE,2021,4400,1450,30,E4,,True,14.50 €
,RED,Pinot Nero Riserva Thaler Hof,Maso Thaler 680,,BOTTLE,2016,7200,2200,4,F1,,True,22.00 €
,RED,Pinot Nero Riserva,Stroblhof,,BOTTLE,2020,6900,2940,10,F3,,True,29.40 €
,RED,Pinot Nero Sepp Hanni ,Stroblhof,,BOTTLE,2019,11600,5600,4,E2,,True,56.00 €
,RED,Pinot Nero Gevrey Chambertin,Harmand Geoffroy,,BOTTLE,2021,9600,4250,12,I2,,True,42.50 €
,RED,Pinot Nero Gevrey Chambertin,Harmand Geoffroy,,BOTTLE,2019,9600,3950,2,I2,,True,39.50 €
,RED,Pinot Nero Riserva Vigna Ganger,Girlan,,BOTTLE,2020,17600,8000,4,E2,,True,80.00 €
,RED,Pinot Nero Riserva,Wildmonn,,BOTTLE,2019,10600,4500,4,F4,,True,45.00 €
,RED,Pinot Nero Riserva,Wildmonn,,BOTTLE,2020,10600,5000,6,F4,,True,50.00 €
,RED,Pinot Nero Flora,Girlan,,BOTTLE,2022,4800,1800,20,F1,,True,18.00 €
,RED,Pinot Nero Aton,Elena Walch,,BOTTLE,2019,18200,9600,3,E2,,True,96.00 €
,RED,Pinot Nero Vom Lehm,Rohregger,,BOTTLE,2021,6800,2950,16,E4,,True,29.50 €
,RED,Pinot Nero Spatburgunder,Salwey,,BOTTLE,2019,5400,2050,23,H2,,True,20.50 €
,RED,Pinot Noir Volnay 1er Cru Clos..,Rossignol,,BOTTLE,2019,16200,8200,8,J1,,True,82.00 €
,RED,Pinot Nero Chambolle Musigny Vieil V.,Lignier Michelot,,BOTTLE,2021,8800,3825,6,MAG,,True,38.25 €
,RED,Pinot Nero 1er Cru Vosne Romanée,Aurélien Verdet,,BOTTLE,2017,19600,8200,2,,,True,82.00 €
,RED,Pinot Nero Vosne-Romanèe V.V.,Aurélien Verdet,,BOTTLE,2020,13800,6500,6,I2,,True,65.00 €
,RED,Pinot Nero Riserva Pommard,Billard Pere & Fills,,BOTTLE,2022,10400,4800,6,J4,,True,48.00 €
,RED,Pinot Nero Bourgogne,Mark Haisma,,BOTTLE,2022,6800,2750,20,J2,,True,27.50 €
,RED,Poulsard Arbois,Domaine A. Guillot,,BOTTLE,2022,4800,1889,28,J4,,True,18.90 €
,RED,Sangiovese Brunó,Tassi Fabio,,BOTTLE,2019,4800,1800,4,J5,,True,18.00 €
,RED,Sangiovese Caparsino,Caparsa,,BOTTLE,2018,6400,2700,18,J5,,True,27.00 €
,RED,Sangiovese La Gioia,Riecine,,BOTTLE,2019,9800,4110,12,MAG,,True,41.10 €
,RED,Syrah Il San Lorenzo,Fattoria San Lorenzo,,BOTTLE,2009,11800,5050,6,,,True,50.50 €
,RED,Tinto Fino Callejo Felix,Callejo,,BOTTLE,2018,18200,8415,2,,,True,84.15 €
,RED,Rosso Ruje,Zidarich,,BOTTLE,2015,8600,3600,4,G2,,True,36.00 €
,RED,Rosso Rah XVI,Alois Ladeger,,BOTTLE,0,4800,1500,1,,,True,15.00 €
,RED,Teroldego Dolomiti,Foradori,,BOTTLE,2021,3600,1130,3,G2,,True,11.30 €
,RED,Valpolicella Ca'Fiui,Corte Sant'Alda,,BOTTLE,2021,3050,900,20,G4,,True,9.00 €
,RED,Vernatsch Firsi,Kandlerhof,,BOTTLE,2021,3200,940,2,MAG,,True,9.40 €
,RED,Vernatsch Gschleier von Alten Reben,Girlan,,BOTTLE,2015,4800,990,1,,,True,9.90 €
,RED,Vernatsch Sankt Anna R ,In der Eben,,BOTTLE,2016,5600,2150,2,MAG,,True,21.50 €
,RED,Vernatsch Sankt Anna R ,In der Eben,,BOTTLE,2017,5600,2350,18,MAG,,True,23.50 €
,RED,St. Magdalener Waldgries,Gries ,,BOTTLE,2023,3050,990,13,MAG,,True,9.90 €
,,Kerner Passito Nectaris,EKG.,,BOTTLE,2020,5400,2460,10,,,True,24.60 €
,,Peti Manseng Le Petit Bio,Manincor,,BOTTLE,2018,7400,3329,8,,,True,33.30 €
,,Cuvee Eiswein,Kracher,,BOTTLE,2020,5800,2650,8,,,True,26.50 €
,,Lagrein Passito Paul,Kiemberger,,BOTTLE,2022,5800,2590,4,,,True,25.90 €
,RED,Amarone Valmezzane,Corte S Alda,,MAGNUM,2017,19800,9900,1,,,True,99.00 €
,RED,Alicante Nero Bio Alicante,Ampeleia,,MAGNUM,2020,8900,3210,10,MAG,,True,32.10 €
,RED,Barolo Perarmando,Parusso,,MAGNUM,2018,13800,5800,1,MAG,,True,58.00 €
,RED,Barolo Cerretta,Giovanni Rosso,,MAGNUM,2018,23000,12000,8,MAG,,True,120.00 €
,RED,BArolo Mosconi,Parusso,,MAGNUM,2019,28000,14400,3,MAG,,True,144.00 €
