type,prefix,name,winery,internal_notes,size,vintage,ricavo,purchase_price,sales_price,qty
,,Grand Cru Altenberg,Frederic Mochel,,,2018,,19 €, 70.00 € ,1
,,Nussbaumer,Tramin,,,2020,36,21.10 €, 62.00 € ,19
,,GC Hengst,Zind Humbrecht,,,2013,51,55.00 €, 118.00 € ,1
,PINOT GRIGIO,Tradition,Terlan,,,2022,,9 €, 35.00 € ,20
,,Grauburgunder,Wassererhof,,,2021,27,14 €, 42.00 € ,16
,,Grauer Burgunder,Bernard Huber,,,2019,37,17.00 €, 58.00 € ,2
,,Gris,Lis Neris,,,2019,30,20.50 €, 55.00 € ,5
,,Castel Ringberg,Elena Walch,,,2023,,18.00 €, 65.00 € ,14
,,Giatl,Peter Zemmer ,,,2019,28,18 €, 49.00 € ,9
,,Dessimis,Vie di Romans,,,2021,30,20 €, 55.00 € ,6
,,Dessimis,Vie di Romans,,,2022,,21 €, NON IN LIST,24
,,Grauburgunder,Dönnhoff,,,2021,39,21 €, 65.00 € ,0
,,Grauburgunder ***,Knipser,,,2015,28,26 €, 62.00 € ,0
,,Dessimis Millesimi,Vie di Romans,,,2008,43,26.00 €, 75.00 € ,2
,,Riserva Ramato,Specogna,,,2020,,30 €, 75.00 € ,5
,,GG Schlossberg,Franz Keller,,,2020,31,31 €, 69.00 € ,3
,,Kunst.stück,Kaltern,,,2019,44,40 €, 93.00 € ,7
,,Würmlin ,Ziereisen,,,2020,36,52 €, 100.00 € ,4
,SYLVANER,Sabiona,Kellerei Eisacktaler,,,2019,25,24.50 €, 55.00 € ,5
,,Sylvaner,Pacherhof,,,2022,,13.30 €, 45.00 € ,18
,,Alte Reben,Pacherhof,,,202x,,22.00 €, 70.00 € ,9
,,Sabiona 16,Pacherhof,,,2016,,24.50 €, 95.00 € ,1
,,Aristos,Pacherhof,,,2013,,, non in list,2
,,Eschendorf Am Lumpen 1655 GG,Sauer Horst,,,2018,32,27 €, 65.00 € ,6
,,Schlossberg GG,Castell,,,2014,21,42 €, 72.00 € ,5
,,Stiftsgarten,Neustift,,,2019,55,68.60 €, 133.00 € ,5
,GRUNER VELTLINER, Veltliner,Pacherhof,,,2020,23,13.50 €, 40.00 € ,16
,,Ried Achleiten,Jäger,,,2022,,25.90 €, 60.00 € ,2
,,Kirchweg Smaragd,Hirtzberger,,,2021,,34.80 €, 78.00 € ,27
,,Ried Loibenberg ,FX Pichler,,,2021,34,33.90 €, 98.00 € ,7
,,Vincents Spiegel 1,Brundlmayer,,,2018,,37.50 €, 78.00 € ,2
,,Ried Steinertal,FX Pichler,,,2022,,58.00 €, 75.00 € ,30
,,Ried Steinertal,FX Pichler,,,2021,,42.40 €, 75.00 € ,6
,,Ried Loibenberg Smaragd,Weingut E. Knoll,,,2022,29,46 €, 78.00 € ,22
,,Ried Loibenberg Smaragd,Weingut E. Knoll,,,2021,29,46 €, 78.00 € ,3
,,Rotes Tor Smaragd,Hirtzberger,,,2022,,43 €, 95.00 € ,35
,,Rotes Tor Smaragd,Hirtzberger,,,2021,,52 €, 95.00 € ,5
,,Vinothekfüllung,Weingut E. Knoll,,,2022,44,69 €, 128.00 € ,1
,,Honivogl,Hirtberger,,,2022,47,88 €, 155.00 € ,11
,,Ried Kellerberg,FX Pichler,,,2023,,95.00 €, NON IN LIST,3
,RIESLING,Aristos,Eisacktaler Kellerei,,,2020,24,13.60 €, 43.00 € ,12
,,Rotschiefer Sorentberg,Sorentberg,,,2020,34,17 €, 55.00 € ,7
,,Riesling Estate,Pallisser,,,2021,29,17.00 €, 50.00 € ,2
,,Spiegel Grand Cru,Eugene Mayer,,,2023,,19 €, NON IN LISTA,6
,,Herzu Langhe Riesling,Ettore Germano,,,2021,25,19 €, 48.00 € ,5
,,Herzu Langhe 2019,Ettore Germano,,,2019,25,19 €, 48.00 € ,6
,,Hölle Spätlese,Künstler,,,2021,,20 €, 68.00 € ,2
,,Kirschgarten GG (Pfalz),Philipp Kuhn,,,2021,,23 €, 60.00 € ,1
,,Windbichl,Castel Juval,,,2021,52,27 €, 85.00 € ,4
,,Westhofener Erste Lage,Wittmann,,,2021,35,31 €, 68.00 € ,8
,,Anaduron,Falkenstein,,,2018,33,28 €, 68.00 € ,10
,,Steinertal,FX Pichler,,,2021,,, NON IN LISTA,6
,,Zöbinger Heiligenstein,Brundlmayer,,,2021,,29.75 €, 72.00 € ,5
,,Hermannshöhle Spätlese,Dönnhoff,,,2021,,32.00 €, NON IN LISTA,3
,,Bockstein GG,Nik Weis St. Urbans,,,2021,,34.00 €, NON IN LISTA,2
,,Enkircher Batterieberg,Immich Batterieberg,,,2017,35,37.00 €, 80.00 € ,2
,,Rudesheimer Berg Schlossberg Ehrenfels GG ,J. Leitz,,,2015,47,39 €, 95.00 € ,2
,,Rudesheimer Berg Schlossberg Ehrenfels GG ,J. Leitz,,,2020,,, NON IN LISTA,6
,,Aulerde GG,Wittmann,,,2021,,42 €, NON IN LISTA,6
,,Höllenpfad im Mühlenberg GG,Dönnhoff,,,2021,31,42.00 €, 97.00 € ,3
,,Niedermenningberg Herrenberg Spätlese,Molitor,,,2003,,43.50 €, 135.00 € ,6
,,Schlossböckelheimer Felsenberg GG,Dönnhoff,,,2022,◍,45.00 €, NON IN LISTA,11
,,Schlossböckelheimer Felsenberg GG,Dönnhoff,,,2023,◍,46.00 €, NON IN LISTA,24
,,SPEZIAL,Jäger,,,2022,,45.00 €, 92.00 € ,3
,,Herrenberg GG,Maximin Grünhaus,,,2022,,46.75 €, NON IN LIST,11
,,Scharzhofberger GG,Van Volxem,,,2021,50,47.00 €, 108.00 € ,5
,,Riesling Kellerberg,Knoll,,,2022,,47.50 €, NON IN LISTA,12
,,Wehlener Sonnenuhr Spaetlese,J.J. Prum,,,2019,68,47.00 €, 125.00 € ,9
,,Graacher Himmelreich Auslese,J.J. Prum,,,2019,70,49 €, 130.00 € ,6
,,RR,Keller,,,2021,43,51 €, 105.00 € ,3
,,Riesling Hochrain,Hirtzberger,,,2023,,54.70 €, NON IN LIST,12
,,Ried Schutt,Knoll,,,2022,,55 €, NON IN LISTA,5
,,Dellchen GG,Dönnhoff,,,2023,,55.00 €, NON IN LISTA,6
,,Hermannshöhle GG,Dönnhoff,,,2022,,55 €, NON IN LISTA,6
,,Hermannshöhle GG,Dönnhoff,,,2023,,57 €, NON IN LISTA,12
,,Kiedrich Gräfenberg (Rheingau),Robert Weil,,,2011,,55.00 €, 148.00 € ,3
,,Hölle 1. Gewächs (Rheingau),Künstler,,,2018,48,59 €, 120.00 € ,3
,,Ried Steinertal,FX Pichler,,,2023,,58.00 €, NON IN LISTA,18
,,Loibenberg,FX Pichler,,,2021,◍,, 112.00 € ,3
,,Jesuitengarten GG,Von Winning,,,2021,,60.00 €, 125.00 € ,11
,,Vinothekfüllung,Knoll,,,2019,80,61.00 €, 155.00 € ,1
,,Vinothekfüllung,Knoll,,,2022,,79 €, NON IN LISTA,6
,,Ried Kellerberg,FX Pichler,,,2021,94,95 €, 170.00 € ,12
,,1000 Alte Reben,Sorentberg,,,2015,63,71 €, 150.00 € ,6
,,Rangen de Thann,Zind Humbrecht,,,2020,82,80.00 €, 180.00 € ,3
,,Sharzhofberger Kabinett,Egon Müller,,,2019,122,88.00 €, 230.00 € ,3
,,Riesling Singerriedel,Hirtzberger,,,2023,,93.00 €, 225.00 € ,3
,,Wiltinger Braune Kupp,Egon Müller,,,2021,142,109 €, 275.00 € ,4
,,Gantenbein,Gantenbein,,,2018,99,165 €, 300.00 € ,3
,,Unendlich,FX Pichler,,,2021,69,189 €, 300.00 € ,1
,KERNER,Aristos,Eisacktaler Kellerei,,,2021,29,13 €, 45.00 € ,23
,,Sabiona,Eisacktaler Kellerei,,,2015,31,22.00 €, 58.00 € ,14
,,GRANIT 960,Eisacktaler Kellerei,,,2020,,105.00 €, NON IN LISTA,3
,SAUVIGNON ,Indra,Girlan,,,2022,23,9.70 €, 35.00 € ,42
,,Winkl,Terlan,,,2023,,13.00 €, 49.00 € ,14
,,Folisny Breg,Ciringa - Tement,,,2022,,14.50 €, non IN LIST,2
,,Lafoa,Schreckbichl - Colterenzio,,,2020,34,18.90 €, 55.00 € ,8
,,Vassal,Elfenberg,,,2023,,17.00 €, 65.00 € ,21
,,Maso delle Rose,Josef Weger,,,2021,,17.00 €, 75.00 € ,1
,,Sauvignon Flora,Girlan,,,2022,,17.50 €, 55.00 € ,15
,,Oberberg,Kornell,,,2020,30,21.40 €, 52.00 € ,7
,,Cloudy Bay,Cloudy Bay,,,2023,,19.00 €, 55.00 € ,6
,,WILD FERMENT,Greywacke,,,2021,,18.40 €, 55.00 € ,3
,,Limes,Niedrist,,,2020,32,21.20 €, 58.00 € ,4
,,Piere,Vie di Romans,,,2021,32,19.00 €, 55.00 € ,19
,,Sauvignon Fumé,Abraham,,,2021,,25.00 €, 68.00 € ,0
,,Salici,Ronco del Gnemiz,,,2021,,26.00 €, non IN LIST,4
,,Iris,Ronco del Gnemiz,,,2021,,26.00 €, non IN LIST,4
,,Retus,Falkenstein,,,2019,,26.80 €, 80.00 € ,0
,,Lozeta,Ronco del Gnemiz,,,2021,37,29 €, 72.00 € ,0
,,Sancerre,Vacheron,,,2023,,31.00 €, 78.00 € ,11
,,Ronco delle Mele,Venica,,,2022,,31 €, 82.00 € ,9
,,Lozeta,Ronco del Gnemiz,,,2022,,32 €, non IN LIST,4
,,SOL,Ronco del Gnemiz,,,2021,52,33.00 €, 92.00 € ,8
,,Peri,Ronco del Gnemiz,,,2021,34,33.40 €,75 €,1
,,Ertichetta Scura,Borgo del Tiglio,,,2022,,35.00 €, 95.00 € ,10
,,Quarz ,Terlan,,,2020,,, non IN LIST,6
,,Quarz ,Terlan,,,2022,,36.00 €, 85.00 € ,31
,,TE KOKO,Cloudy Bay,,,2020,,37.50 €, 88.00 € ,4
,,Les Hauts de Smith Blanc,Smith Haut Lafite,,,2018,36,40 €, 85.00 € ,2
,,Lieben Aich,Manincor,,,2022,,46.00 €, 103.00 € ,6
,,Etienne Sancerre,Henri Bourgeois,,,2017,31,48 €, 90.00 € ,3
,,Vigna Rachtl,Tiefenbrunner,,,2020,54,50 €, 115.00 € ,2
,,Vigna Rachtl,Tiefenbrunner,,,2021,,53 €, non IN LIST,12
,,Ried Zieregg,Tement,,,2019,36,51.00 €, 98.00 € ,4
,,Ried Zieregg,Tement,,,2020,36,47.00 €, non IN LIST,6
,,Sancerre Les Romains,Vacheron,,,2023,,59.00 €, non IN LIST,6
,,Sancerre Les Romains,Alphonse Mellot,,,2021,,61.00 €, NON IN LIST,1
,,Sancerre la Grande Cote,Pascal Cotat,,,2023,,67 €, 130.00 € ,4
,,Sancerre le Mont Damnee,Pascal Cotat,,,2023,,67 €, non IN LIST,6
,,Sauvignon The Wine Collection ,St. Michael Eppan,,,2018,73,75 €, 165.00 € ,3
,,Baron de L,Ladoucette,,,2020,48,77 €, 142.00 € ,5
,,Buisson Renard,Dagueneau,,,2019,,, 220.00 € ,2
,,Alteni di Brassica,Gaja,,,2016,50,160.00 €, 245.00 € ,3
,MULLER THURGAU,Muller Thurgau ,Pacherhof,,,2022,20,12 €, 35.00 € ,10
,,Vinschgau,Unterortl,,,2022,,11.90 €, 45.00 € ,10
,,Feldmarshall Von Fenner,Tiefenbrunner,,,2020,31,34.00 €, 73.00 € ,13
,White,Lugana,Olivini,,,2022,25,8 €, 35.00 € ,13
,,Boschera Centogufi,Malibran,,,2021,29,7 €, 38.00 € ,9
,,Moscato Giallo Secco,Franz Haas,,,2022,35,16 €, 55.00 € ,4
,,Moscato ,Pfefferer,,,2022,,,0,3
,,Carjcanti,Gulfi,,,2022,,22 €, 58.00 € ,7
,,Steinkrügle Gutedel,Ziereisen,,,2020,39,21 €, 65.00 € ,4
,,Semillon,Principe Alberico,,,2017,,31 €, non in list,0
,,Fojana Rebula,Edi Simcic,,,2021,,35.00 €, 78.00 € ,5
,,Aligoté Clos du Roy,Sylvain Pataille,,,2017,43,37 €, 88.00 € ,3
,,Franschhoek Semillon,Boekenhoutskloof,,,2021,,38 €, 85.00 € ,6
