"name","winery","vintage","size","sales_price_eur","purchase_price","storage_area"
"Eisacktaler Veltliner „Rigger“","Griesserhof",2022,0.75,€ 47.00,€ 12.78,"Hauptlager"
"T.N. 04 „Bronner“ Bio","Hof Gandberg",2018,0.75,€ 50.00,€ 17.30,"Hauptlager"
"Solaris „Initium“","Vinventum","2020/2021",0.75,€ 69.00,€ 19.00,"Hauptlager"
"Cuvée „Felix Anton“ Bio","Baron Longo",2022,0.75,€ 35.00,€ 8.91,"Hauptlager"
"Glimmer Collection „Castel Juval“","Unterortl Juval",2022,0.75,€ 37.00,€ 10.50,"Hauptlager"
"Cuvée Blanc „Elisa“","Castel Sallegg",2022,0.75,€ 38.00,€ 6.90,"Hauptlager"
"Cuvée „Gloria Dei“","Eichenstein","2022/2023",0.75,€ 39.00,€ 11.10,"Hauptlager"
"Cuvée „Baronesse“","Baron Widmann",2022,0.75,€ 41.00,€ 12.25,"Hauptlager"
"Terlaner Klassisch","Terlan","2022/2023",0.75,€ 44.00,€ 11.80,"Hauptlager"
"Cuvée „La Contessa“ Bio","Manincor",2022,0.75,€ 47.00,€ 13.55,"Hauptlager"
"Weisses Handwerk","Kiemberger",2021,0.75,€ 54.00,€ 19.60,"Hauptlager"
"Weiss „DJJ“ Riserva","Niklas","2021/2022",0.75,€ 56.00,€ 21.50,"Hauptlager"
"Stoan","Tramin","2021/2022",0.75,€ 57.00,€ 19.80,"Hauptlager"
"Aichberg","Kornell","2019/2020",0.75,€ 59.00,€ 21.50,"Hauptlager"
"Caroline Bio","Pranzegg","2019/2020",0.75,€ 59.00,€ 19.20,"Hauptlager"
"Cuvée „Liebenstein“","Baron Longo",2019,0.75,€ 61.00,€ 22.00,"Hauptlager"
"Cuvée „Amistar“ Weiss","Peter Sölva & Söhne",2023,0.75,€ 62.00,€ 25.00,"Hauptlager"
"Cuvée „Nova Domus“","Terlan",2020,0.75,€ 73.00,€ 39.80,"Hauptlager"
"Weiss „Casòn Hirschprunn“ Bio","Alois Lageder",2020,0.75,€ 75.00,€ 28.90,"Hauptlager"
"Weiss „Viribus Unitis“","Kiemberger",2018,0.75,€ 109.00,€ 44.55,"Hauptlager"
"Cuvée „TAL 1930“ Weiss","Bozen",2020,0.75,€ 129.00,€ 54.00,"Hauptlager"
"Weiss „Beyond the Clouds“","Elena Walch","2020/2021",0.75,€ 138.00,€ 54.65,"Hauptlager"
"Weiss „NAMA“","Nals/Margreid",2018,0.75,€ 164.00,€ 78.00,"Hauptlager"
"Weiss „Appius“","St. Michael/Eppan",2017,0.75,€ 195.00,€ 104.90,"Hauptlager"
"Chardonnay Riserva „Majerla“","Dorigati","2019/2021",0.75,€ 41.00,€ 11.90,"Hauptlager"
"Pinot Grigio „Family Collection“ Bio","Corvezzo","2023/2024",0.75,€ 35.00,€ 6.50,"Hauptlager"
"Soave Superiore „Runcata“","Corte Giacobbe","2020/2021",0.75,€ 52.00,€ 18.80,"Hauptlager"
"Pinot Grigio „Colli Orientali”","Torre Rosazza","2022/2023",0.75,€ 38.00,€ 8.80,"Hauptlager"
"Lugana „Oro Blu”","Malavasi","2023/2024",0.75,€ 37.00,€ 7.90,"Hauptlager"
"Lugana „Brolettino”","Ca' dei Frati","2020/2021",0.75,€ 45.00,€ 14.40,"Hauptlager"
"Langhe „Arneis“","Prunotto",2022,0.75,€ 35.00,€ 11.45,"Hauptlager"
"Pinot Gris „élevé en barriques“","Lo Triolet",2020,0.75,€ 59.00,€ 9.50,"Hauptlager"
"Chardonnay „Bramìto”","Castello della Sala",2022,0.75,€ 49.00,€ 17.85,"Hauptlager"
"Vermentino","Guado al Tasso","2020/2021",0.75,€ 46.00,€ 7.15,"Hauptlager"
"Gronda Bianco Bio","Calafata",2021,0.75,€ 51.00,€ 21.90,"Hauptlager"
"Trebbiano d’Abruzzo Bio","Emidio Pepe",2022,0.75,€ 77.00,€ 19.90,"Hauptlager"
"Grillo Bio","Baglio di Pianetto","2023/2024",0.75,€ 41.00,€ 9.00,"Hauptlager"
"Flaschenpost","Kiemberger",2019,0.5,€ 31.00,€ 7.70,"Hauptlager"
"Rosalie","Meran","2022/2023",0.75,€ 34.00,€ 6.90,"Hauptlager"
"Felix Anton","Baron Longo",2022,0.75,€ 37.00,€ 9.90,"Hauptlager"
"Blauburgunder Rosé „Summer“","Klosterhof","2022/2023",0.75,€ 40.00,€ 10.70,"Hauptlager"
"Merlot-Syrah Rosé","Niedrist",2023,0.75,€ 42.00,€ 12.45,"Hauptlager"
"La Rose de Manincor Bio","Manincor","2021/2022",0.75,€ 46.00,€ 14.60,"Hauptlager"
"Lagrein Rosé","Luis Wine",2021,0.75,€ 49.00,€ 8.10,"Hauptlager"
"Bacio Rosa","Malavasi",2021,0.75,€ 35.00,€ 8.32,"Hauptlager"
"Rosa dei Frati","Ca’ dei Frati",2022,0.75,€ 40.00,€ 10.30,"Hauptlager"
"I Pianali","Argentiera",2023,0.75,€ 39.00,€ 11.90,"Hauptlager"
"Rose Scalabrone","Guado al Tasso","2022/2023",0.75,€ 41.00,€ 13.50,"Hauptlager"
"Rosato „Sí“","Duemani",2023,0.75,€ 59.00,€ 23.70,"Hauptlager"
"Calafuria","Tormaresca",2022,0.75,€ 47.00,€ 19.90,"Hauptlager"
"Furia di Calafuria","Tormaresca","2021/2022",0.75,€ 58.00,€ 20.20,"Hauptlager"
"Vernatsch „Campill“","Pranzegg",2020,0.75,€ 51.00,€ 17.25,"Hauptlager"
"Zweigelt „Terrnais“","Rebhof","2020/2021",0.75,€ 45.00,€ 13.60,"Hauptlager"
"Blauburgunder „Klassisch“","Josmoar",2021,0.75,€ 48.00,€ 12.40,"Hauptlager"
"Blauburgunder Riserva","Prackfol",2021,0.75,€ 54.00,€ 19.40,"Hauptlager"
"Blauburgunder „Castel Juval“","Unterortl Juval","2019/2020",0.75,€ 57.00,€ 21.35,"Hauptlager"
"Blauburgunder Ris. „Burgum Novum“","Castelfeder ",2020,0.75,€ 59.00,€ 23.10,"Hauptlager"
"Blauburgunder Ris. „Mazzon“","Brunnenhof",2020,0.75,€ 66.00,€ 26.40,"Hauptlager"
"Blauburgunder „U. Barthenau“","Hofstätter",2018,0.75,€ 119.00,€ 49.35,"Hauptlager"
"Lagrein Riserva „Amperg“","Klaus Lentsch",2020,0.75,€ 46.00,€ 13.90,"Hauptlager"
