id,ID personalizzato,name,winery,size,vintage,sales_eur,SOTTERRAN,SPECCHI,SCAFFALE ALTO,MARGINI NASCOSTI,WEINLAGER,L,qty,purchase_price_eur
,,PINOT BIANCO ST VALENTIN,ST MICHAEL EPPAN,,2022,,,,,,2,4,,22
,,TROY,TRAMIN,,2021,,,,,,2,4,,50
,,SYLVANER ALTE REBEN,PACHERHOF,,2021,,,,,,4,5,,25
,,CHARDONNAY FLORA,GIRLAN,,2021,,,,,,7,5,,21
,,OFF WEISS,WIDUM BAUMANN,,2022,,,,,,2,4,,21
,,FRIULANO SAN PIETRO,I CLIVI,,2022,,,,,,,4,,10
,,ROSÉ UNTERTÜRKHEIMER GIPS,ALDINGER,,2022,,3,,,,,,3,96
,,EISWEIN ,DR LOOSEN,,2021,,,,6,,4,,10,29
,,ROSÉ FORGET ME NOT,LIESELEHOF,,2023,,,,48,,9,5,62,8
,,DOM PERIGNON,DOM PERIGNON,,2015,,,,,,7,2,9,180
,,ANNAMARIA CLEMENTI,CA DEL BOSCO,,2016,,,,,,2,3,5,98
,,SEKT,RAUMLAND,,,,,,,,2,2,,17
,,BLANC DE BLANCS SPUMANTE DASSIÉ FAVREL,MALIBRAN,,2014,,,,,,2,2,,16
,,SWEET CLAIRE,LIESELEHOF,,2020,,,,,,11,,,20
,,PASITHEA ROSA,GIRLAN,,2020,,,,,,9,,,
,,PASITHEA ORO,GIRLAN,,2020,,,,,,12,,,
,,VIN SAN GIUSTO,SAN GIUSTO RENTENNANO,,2020,,,,,,6,,,
,,ESSENZIA,POJER & SANDRI,,2018,,,,,,2,,,
,,RIESLING KIRSCHGARTEN BEERENAUSLESE,PHILIPPE KUHN,,2015,,,,,,3,,,
,,QUINTESSENZ PASSITO,KALTERN,,2019,,,,,,2,,,
,,PEDRO XIMENEZ MURILLO,LUSTAU,,,,,,,,4,,,
,,ARUNDA ROSÉ,ARUNDA,,,,,,,,10,2,,20
,,VINTAGE PORT,QUINTA DO NOVAL,,2017,,,,,,3,,,
,,SANCERRE ROSÉ,VACHERON,,2023,,,,,,,4,,20
,,DOM PERIGNON,DOM PERIGNON,MAGNUM,2012,,,,,,,1,,350
