type,name,winery_name,area,size,vintage,price,info,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
,"PINOT NERO Maso Thaler Riserva ""680"" Doc Südtirol ","PINOT NERO Maso Thaler Riserva ""680"" Doc Südtirol ",,MAGNUM,2017.0, 120.00,,https://masothaler.it/maso-thaler-pinot-nero-riserva-680,,,,,
,"PINOT NERO Riserva ""SANCT VALENTIN"" San Michele Appiano Doc Südtirol ","PINOT NERO Riserva ""SANCT VALENTIN"" San Michele Appiano Doc Südtirol ",,MAGNUM,2018.0, 125.00,,https://www.stmichael.it/media/wine_fotos/pdf/it_Alto%20Adige%20DOC%20Pinot%20Noir%20Riserva%20Sanct%20Valentin_2019.pdf,,,,,
,SAUVIGNON “QUARZ” Terlan Doc Südtirol ,SAUVIGNON “QUARZ” Terlan Doc Südtirol ,,MAGNUM,2019.0, 135.00,,https://www.cantina-terlano.com/it/vini/quarz-11/,,,,,
,NOVA DOMUS  Terlan Doc Südtirol ,NOVA DOMUS  Terlan Doc Südtirol ,,MAGNUM,2018.0, 125.00,"PINOT BIANCO, CHARDONNAY, SAUVIGNON BLANC",https://www.cantina-terlano.com/it/vini/nova-domus-5/,,,,,
,TERLANER Classico  Terlan Doc Südtirol  ,TERLANER Classico  Terlan Doc Südtirol  ,,MAGNUM,2020.0, 60.00,"PINOT BIANCO, CHARDONNAY, SAUVIGNON BLANC | Magnum",https://www.cantina-terlano.com/it/vini/terlaner-16/,,,,,
,"BARBERA D’ASTI ""BRICO DELL'UCCELLONE"" Braida di Giacomo Bologna Docg ","BARBERA D’ASTI ""BRICO DELL'UCCELLONE"" Braida di Giacomo Bologna Docg ",,MAGNUM,2018.0, 155.00,,https://www.braida.it/wp-content/uploads/2022/03/Bricco-dell-uccellone.pdf,,,,,
,BARBERA D’ASTI “CA’ DI PIAN” La Spinetta Docg  ,BARBERA D’ASTI “CA’ DI PIAN” La Spinetta Docg  ,,MAGNUM,2016.0, 65.00,Magnum,https://www.la-spinetta.com/wp-content/uploads/2021/06/ca-di-pian-2018.pdf,,,,,
,BAROLO “GINESTRA VIGNA DEL GRIS” Conterno Fantino Docg ,BAROLO “GINESTRA VIGNA DEL GRIS” Conterno Fantino Docg ,,MAGNUM,2019.0, 265.00,,https://www.callmewine.com/barolo-vigna-del-gris-conterno-fantino-2017-P29720.htm,,,,,
,BAROLO “VIGNA SORÌ GINESTRA” Conterno Fantino Docg ,BAROLO “VIGNA SORÌ GINESTRA” Conterno Fantino Docg ,,MAGNUM,2019.0, 290.00,,https://www.wineshop.it/it/barolo-vigna-sori-ginestra-conterno-fantino.html,,,,,
,BAROLO Riserva “VIGNA ELENA” Elvio Cogno Docg .  ,BAROLO Riserva “VIGNA ELENA” Elvio Cogno Docg .  ,,MAGNUM,2014.0, 280.00,Magnum,https://www.elviocogno.com/wp-content/uploads/2015/11/03-barolo-vignaelena-it.pdf,,,,,
,BAROLO “BRUNATE” Marcarini Docg   ,BAROLO “BRUNATE” Marcarini Docg   ,,MAGNUM,2006.0, 130.00,Magnum,https://www.marcarini.it/images/schede/IT/Brunate_IT.pdf,,,,,
,BAROLO “PIRA” Roagna Docg   ,BAROLO “PIRA” Roagna Docg   ,,MAGNUM,2011.0, 620.00,Magnum,https://www.roagna.com/wp-content/uploads/2015/07/04-Barolo-pira.pdf,,,,,
,NEBBIOLO “GINESTRINO” Conterno Fantino Langhe Doc ,NEBBIOLO “GINESTRINO” Conterno Fantino Langhe Doc ,,MAGNUM,2021.0, 79.00,,https://www.callmewine.com/nebbiolo-ginestrino-conterno-fantino-2019-P30893.htm,,,,,
,NEBBIOLO Massolino Langhe Doc  ,NEBBIOLO Massolino Langhe Doc  ,,MAGNUM,2013.0, 69.00,Magnum,https://www.massolino.it/wp-content/uploads/Langhe-DOC-Nebbiolo-IT-Massolino.pdf,,,,,
,BRUNELLO DI MONTALCINO Tenuta Le Potazzine Docg  ,BRUNELLO DI MONTALCINO Tenuta Le Potazzine Docg  ,,MAGNUM,2014.0, 290.00,Magnum,https://acrobat.adobe.com/link/review?uri=urn:aaid:scds:US:5ab8091d-3ff6-3724-a64a-1f7073f41ee7#pageNum=1,,,,,
,50&50  Capannelle Toscana IGT ,50&50  Capannelle Toscana IGT ,,MAGNUM,2016.0, 380.00,"SANGIOVESE, MERLOT",https://www.avignonesi.it/it/portfolio-item/5050/,,,,,
,LUCE  M. de Frescobaldi Toscana IGT  ,LUCE  M. de Frescobaldi Toscana IGT  ,,MAGNUM,2016.0, 320.00,"MERLOT, SANGIOVESE | Magnum",https://www.tenutaluce.com/api/pdf/?wine=luce&year=2016&language=it,,,,,
,LUCENTE  M. de Frescobaldi Toscana IGT ,LUCENTE  M. de Frescobaldi Toscana IGT ,,MAGNUM,2019.0, 105.00,"MERLOT, SANGIOVESE",https://www.tenutaluce.com/api/pdf/?wine=lucente&year=2018&language=it,,,,,
,LE PERGOLE TORTE  Montevertine Toscana IGT ,LE PERGOLE TORTE  Montevertine Toscana IGT ,,MAGNUM,2019.0, 530.00,SANGIOVESE 100%,"https://www.enosearcher.it/bottiglia/montevertine-toscana-igt-le-pergole-torte-2018/#:~:text=Montevertine%20Toscana%20Le%20Pergole%20Torte,fiori%20rossi%2C%20spezie%20e%20grafite.",,,,,
,MONTEVERTINE  Montevertine Toscana IGT  ,MONTEVERTINE  Montevertine Toscana IGT  ,,MAGNUM,2020.0, 210.00,"SANGIOVESE, CANAIOLO E COLORINO | 1 - 2019",https://www.montevertine.it/wp-content/uploads/2019/02/3-Montevertine_IT-1.pdf,,,,,
,LE VOLTE DELL’ ORNELLAIA  Tenuta dell’ Ornellaia Toscana IGT   ,LE VOLTE DELL’ ORNELLAIA  Tenuta dell’ Ornellaia Toscana IGT   ,,MAGNUM,2015.0, 95.00,"MERLOT, SANGIOVESE, CABERNET SAUVIGNON | Magnum",https://www.ornellaia.com/wp-content/uploads/2021/02/LV2019-VINTAGESHEET-IT.pdf,,,,,
,PALISTORTI DI VALGIANO  Tenuta di Valgiano Colline Lucchesi Doc   ,PALISTORTI DI VALGIANO  Tenuta di Valgiano Colline Lucchesi Doc   ,,MAGNUM,2015.0, 89.00,"SANGIOVESE, MERLOT, SYRAH | Magnum",https://www.tannico.it/colline-lucchesi-doc-palistorti-di-valgiano-2017-tenuta-di-valgiano.html,,,,,
,ETNA ROSSO “ARCHINERI”  Pietradolce Doc   ,ETNA ROSSO “ARCHINERI”  Pietradolce Doc   ,,MAGNUM,2017.0, 125.00,N. MASCALESE | Magnum,http://www.pietradolce.it/data/schede/Pietradolce-archineri-etna-rosso-it.pdf,,,,,
,TANCREDI  Donna Fugata Terre Siciliane IGT  ,TANCREDI  Donna Fugata Terre Siciliane IGT  ,,MAGNUM,2016.0, 95.00,"CAB. SAUV. NERO D’AVOLA, TANNAT | Magnum",https://www.donnafugata.it/wp-content/uploads/2016/08/16_Tancredi-2017_ITA-1.pdf,,,,,
