type,full_details,size,price,internal_notes
SPARKLING,BRUNO PAILLARD Extra Brut Blanc de Blanc Grand Cru  ,0.75,€ 140.00,https://www.tannico.it/champagne-blanc-de-blancs-extra-brut-grand-cru-bruno-paillard.html
SPARKLING,DELAMOTTE Brut,0.75,€ 99.00,https://www.callmewine.com/champagne-brut-delamotte-P31238.htm
SPARKLING,DELAMOTTE Brut Blanc de Blanc ,0.75,€ 140.00,https://www.millesima.it/champagne-delamotte-blanc-de-blancs-0000.html
SPARKLING,DOM PERIGNON Brut Vintage Millesimè 2008  ,0.75,€ 390.00,https://www.callmewine.com/dom-perignon-2008-P17019.htm
SPARKLING,DOM PERIGNON Brut Vintage Millesimè 2010,0.75,€ 390.00,https://www.enosearcher.it/bottiglia/dom-perignon-champagne-aoc-vintage-brut-millesimato-2010/
SPARKLING,DOM PERIGNON “P2” Brut Vintage 2003,0.75,€ 630.00,https://www.callmewine.com/champagne-p2-dom-perignon-2003-P32524.htm
SPARKLING,JAQUESSON “CUVÉE  N° 745” Brut  (5 - N° 744 ),0.75,€ 110.00,https://www.tannico.it/champagne-extra-brut-cuvee-n-745-jacquesson.html
SPARKLING,"JAQUESSON “DIZY"" T. ROUGES 2013 (3 - 2012) ",0.75,€ 250.00,https://babo.wine/it/champagne/jacquesson-dizy-terres-rouges-2013-extra-brut-p172824
SPARKLING,KRUG Grande Cuvèe Brut Vertical Edition 167° - 168° - 169° - 170°,0.75,€ 380.00,
SPARKLING,KRUG Grande Cuvèe Brut Vertical Edition 170°,0.75,€ 380.00,https://www.enosearcher.it/bottiglia/krug-champagne-aoc-grande-cuvee-170eme-edition/
SPARKLING,KRUG Vintage 2008 Brut,0.75,,
SPARKLING,"KRUG ""CLOS DU MESNIL"" 2006 Blan de Blanc Brut",0.75,,
SPARKLING,LAURENT PERRIER “LA CUVÉE” Brut ,0.75,€ 80.00,https://www.tannico.it/champagne-brut-la-cuvee-laurent-perrier.html
SPARKLING,LAURENT PERRIER “CUVÉE ROSÈE” Brut ,0.75,€ 140.00,https://www.tannico.it/champagne-brut-cuvee-rose-laurent-perrier.html
SPARKLING,"LAURENT PERRIER ""ULTRA BRUT"" Nature",0.75,€ 115.00,https://www.tannico.it/champagne-brut-nature-ultra-brut-laurent-perrier.html
SPARKLING,LAURENT PERRIER “MILLÉSIMÉ 2008” Brut ,0.75,€ 115.00,https://www.tannico.it/champagne-brut-millesime-2008-laurent-perrier.html
SPARKLING,"LOUIS ROEDERER ""COLLECTION 244"" Brut  (9 - 243) (8 - 242)",0.75,€ 115.00,https://www.tannico.it/champagne-brut-aoc-collection-243-louis-roederer.html?_gl=1*1b3gepl*_up*MQ..&gclid=Cj0KCQjwyt-ZBhCNARIsAKH1174FKAG97IJz0uUG5y2hBXofwTjmsfNpLZ3y1sw8BAQqVWB1Neg9vZwaAtKfEALw_wcB
SPARKLING,"LOUIS ROEDERER ""CRISTAL"" Brut Millèsime 2014",0.75,€ 470.00,https://www.tannico.it/champagne-cristal-2014-louis-roederer-cofanetto.html
SPARKLING,MANDOIS “CUVEE VICTOR” Brut Blanc de Blanc 2012,0.75,€ 99.00,https://www.vivino.com/US/it/mandois-cuvee-victor-mandois-vieilles-vignes-brut-champagne/w/1397876
SPARKLING,"PERRIER JOUËT ""BELLE EPOQUE"" (Chardonnay 50% Pinot Nero 45% Pinot Meunier 5%) 2013 Brut",0.75,€ 310.00,https://www.callmewine.com/champagne-bell-epoque-perrier-jouet-2013-P30269.htm
SPARKLING,POL ROGER Brut Reserve ,0.75,€ 85.00,https://www.tannico.it/champagne-brut-reserve-pol-roger-25038.html
SPARKLING,POL ROGER Blanc de Blancs Vintage 2013,0.75,€ 155.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-vintage-2013-pol-roger-astuccio.html
SPARKLING,POL ROGER SIR WINSTON CHURCHILL 2013,0.75,€ 430.00,https://www.tannico.it/champagne-brut-sir-winston-churchill-2012-pol-roger-astuccio.html
SPARKLING,PHILIPPONNAT “ROYALE RESERVE” Brut  (Pinot Nero 65% Chardonnay 30% Pinot moniet 5%),0.75,€ 85.00,https://www.tannico.it/champagne-brut-royale-reserve-philipponnat-24351.html
SPARKLING,PHILIPPONNAT “ROYALE RESERVE” NON DOSÉ Brut  (Pinot Nero 50% Chardonnay 30% Pinot moniet 20%),0.75,€ 90.00,https://www.tannico.it/champagne-non-dose-royale-reserve-philipponnat.html
SPARKLING,"PHILIPPONNAT ""GRAND BLANC"" Blanc de Blanc Extra Brut 2011 (100% chardonnay)",0.75,€ 150.00,https://www.bernabei.it/grand-blanc-extra-brut-philipponnat-75-cl
SPARKLING,PHILIPPONNAT Blanc de Noirs Extra Brut 2014 (? - 2012) (100% pinot nero),0.75,€ 150.00,https://www.callmewine.com/champagne-blanc-de-noirs-philipponnat-2015-P35469.htm
SPARKLING,PHILIPPONNAT “CLOS DE GOISSES” Brut 2007 (45 Pinot Nero 55 Chardonnay) (1-2010 Extra Brut),0.75,€ 490.00,https://www.bernardistore.it/prodotto/champagne-brut-clos-de-goisses-2007-philipponnat-in-cassa-legno/
SPARKLING,PHILIPPONNAT “LES CINTRES”Blanc de Noir  Extra Brut 2006 ,0.75,€ 710.00,https://www.glugulp.com/philipponnat-champagne-extra-brut-les-cintres-2009-box-naked
SPARKLING,"PHILIPPONNAT ""CUVÉE SPÉCIALE MOON"" Blanc de Noirs Extra Brut 1er Cru (100% pinot nero) ",0.75,€ 150.00,https://www.oltrebolla.com/champagne/379-philipponnat-champagne-aoc-premier-cru-extra-brut-blanc-de-noirs-cuvee-speciale-moon-import-astucciato.html
SPARKLING,RUINART Blanc de Blancs Brut,0.75,€ 160.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-ruinart.html
SPARKLING,RUINART Rosè Brut,0.75,€ 160.00,https://www.tannico.it/ruinart-rose.html
SPARKLING,SALON “LE MESNIL” Blanc de Blanc Brut 2004,0.75,"€ 1,100.00",https://www.tannico.it/champagne-brut-blanc-de-blancs-cuvee-s-le-mesnil-2004-salon.html
SPARKLING,TAITTINGER Brut Prestige Blanc,0.75,€ 85.00,https://oldwine.it/champagne/champagne-aoc-brut-prestige-taittinger-astucciato-1139.html?gclid=Cj0KCQjwlK-WBhDjARIsAO2sErTgVqMSm_roqcrAWLXUkNIjK79mHb5foUb7ZPwNpdQQojCLPyoKbOAaAnGGEALw_wcB
SPARKLING,THIENOT Blanc de Blancs Brut,0.75,€ 120.00,https://www.bernabei.it/brut-blanc-de-blancs-thienot-75cl-astucciato
SPARKLING,THIENOT Millesimé 2009,0.75,€ 130.00,https://www.tannico.it/champagne-brut-vintage-2009-thienot.html
SPARKLING,,0.75,,
SPARKLING,Valle de la Marne,0.75,,
SPARKLING,AURORE CASANOVA Blanc de Noirs Extra Brut Grand Cru 2018,0.75,€ 150.00,https://calatamazzini15.it/product/aurore-casanova-blanc-de-noirs-2018-v-v-champagne-extra-brut-grand-cru/
SPARKLING,"FRANK PASCAL “HARMONIE"" Blanc de Noirs Nature 2011",0.75,€ 190.00,https://www.tannico.it/champagne-extra-brut-blanc-de-noirs-harmonie-2011-franck-pascal-102525.html
SPARKLING,"FRANK PASCAL “LIBERANCE"" Brut Nature 2015",0.75,€ 150.00,https://enotecaterruli.it/prodotto/champagne-liberance-brut-nature-2015-franck-pascal/
SPARKLING,FRANK PASCAL “RELIANCE” Brut Nature ,0.75,€ 90.00,https://www.tannico.it/champagne-brut-nature-reliance-franck-pascal.html
SPARKLING,GASTON CHIQUET “D'AY” Blanc de Blanc Brut Grand Crù 2010,0.75,€ 105.00,https://www.vino45.it/it/champagne/2201-champagne-brut-grand-cru-blanc-de-blancs-d-ay-2010-750-ml-gaston-chiquet.html
SPARKLING,"GASTON CHIQUET “SPECIAL CLUB” (Chardonnay 70%, Pinot Nero 30%) Brut 1° Crù ",0.75,€ 130.00,https://www.callmewine.com/champagne-special-club-gaston-chiquet-2014-P40149.htm
SPARKLING,"GEORGE LAVAL “CUMIÈRES” (Chardonnay 35%, Meunier 15% Pinot Nero 50%) Brut Nature 1° Crù 2019",0.75,€ 160.00,https://www.tannico.it/champagne-brut-nature-cumieres-premier-cru-georges-laval.html
SPARKLING,GEORGE LAVAL “GARENNES” Blanc de Noirs Extra Brut 1° Crù,0.75,€ 140.00,https://www.tannico.it/champagne-extra-brut-cumieres-1er-cru-garennes-georges-laval.html
SPARKLING,GEORGE LAVAL “LES HAUTES CHÈVRES ” Blanc de Noirs Nature vieilles Vignes ,0.75,€ 360.00,https://www.tannico.it/champagne-brut-nature-les-hautes-chevres-blanc-de-noirs-premier-cru-2013-georges-laval-69209.html
SPARKLING,"MOUSSÈ FILS ""TERRE D'ILLITE"" (Meunier 95% Pinot Nero 5%) Extra Brut  Blanc de Noirs, Vintage (6 - 2017)  (2-2014) ",0.75,€ 95.00,https://www.lunawineshop.it/products/copia-del-champagne-mousse-fils-terre-dillite-2014-extra-brut
SPARKLING,"MOUSSÈ FILS ""L'OR D'EUGENE"" (Meunier 80% Pinot Nero 20%) Extra Brut  Blanc de Noirs",0.75,€ 85.00,https://www.glugulp.com/mousse-fils-champagne-brut-lor-d-eugene-blanc-de-noirs-new
SPARKLING,R. POUILLON & FILS Blanc de Blanc Brut 1° Cru ,0.75,€ 80.00,https://www.pellegrinispa.net/prodotti.php
SPARKLING,,0.75,,
SPARKLING,Montagne de Reims,0.75,,
SPARKLING,BÉRÊCHE ET FILS Reserve Brut,0.75,€ 110.00,https://www.tannico.it/champagne-brut-reserve-bereche-et-fils.html
SPARKLING,"BÉRÊCHE ET FILS ""Reflet d'Antan""",0.75,€ 245.00,https://www.tannico.it/champagne-brut-reflet-d-antan-bereche-et-fils.html
SPARKLING,"CHARTOGNE TAILLET ""HEURTEBISE"" Blanc de Blanc 2017",0.75,€ 165.00,https://www.enosearcher.it/bottiglia/chartogne-taillet-champagne-aoc-heurtebise-2017/
SPARKLING,"CHARTOGNE TAILLET ""LES BARRES"" Blanc de Noirs 2016",0.75,€ 185.00,https://www.tannico.it/champagne-extra-brut-blanc-de-noirs-les-barres-chartogne-taillet.html
SPARKLING,DAVID LECLAPART “L’AMATEUR” Extra Brut Blanc de Blanc 1° Cru ,0.75,€ 150.00,https://www.tannico.it/champagne-extra-brut-l-amateur-blanc-de-blancs-premier-cru-david-leclapart.html
SPARKLING,"EGLY OURIET “LES PRÉMICES” (Chardonnay, Pinot meunier, Pinot nero) Brut Grand Cru ",0.75,€ 110.00,https://www.callmewine.com/champagne-brut-les-premices-egly-ouriet-P27064.htm
SPARKLING,EGLY OURIET “LES VIGNES DE VRIGNY” (Pinot Meunier) Brut Blanc de Noirs Premier Cru ,0.75,€ 150.00,https://www.callmewine.com/chamapgne-les-vignes-de-vrigny-egly-ouriet-P7020.htm
SPARKLING,"EGLY OURIET (Pinot Nero 70%, Chardonnay 30%) Brut Grand Cru ",0.75,€ 150.00,https://www.tannico.it/champagne-brut-tradition-grand-cru-egly-ouriet.html
SPARKLING,EGLY OURIET “VP” Extra Brut Grand Cru ,0.75,€ 200.00,https://www.tannico.it/champagne-gran-cru-v-p-extra-brut-egly-ouriet-astuccio.html
SPARKLING,EGLY OURIET Brut Rosè Grand Cru,0.75,€ 210.00,https://www.tannico.it/champagne-brut-rose-grand-cru-egly-ouriet.html
SPARKLING,EGLY OURIET “PRESTIGE” Brut Grand Cru Millèsime 2011,0.75,€ 299.00,https://www.xtrawine.com/it/vini/egly-ouriet-champagne-grand-cru-brut-millesime-2011/p26673
SPARKLING,FERNAND THILL Blanc de Blanc Grand Crù Millèsime 2012 ,0.75,€ 90.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-2012-fernand-thill.html
SPARKLING,JEROME PREVOST “LES BÉGUNIES” Extra Brut Blanc de Noir  (94% pinot meunier 6% altri vitigni),0.75,€ 170.00,
SPARKLING,"JEROME PREVOST “LE CLOSERIE, LES BÉGUNIES” Extra Brut Blanc de Noir  (94% pinot meunier 6% altri vitigni)",0.75,€ 185.00,https://www.tannico.it/champagne-extra-brut-la-closerie-les-beguines-blanc-de-noirs-jerome-prevost.html
SPARKLING,"MOUZON LEROUX ""L'ATAVIQUE"" (70% Pinot Noir 30% Chardonnay) Nauture Grand Cru",0.75,€ 90.00,https://www.tannico.it/champagne-extra-brut-grand-cru-l-atavique-mouzon-leroux.html
SPARKLING,"VINCENT CUILLIER ""CHEMIN DES ROIS"" (70% Pinot Nero 30% Chardonnay) Brut Nature",0.75,€ 99.00,https://www.champagne-cuillier.fr/en/nos-champagnes/chemin-des-rois/
SPARKLING,,0.75,,
SPARKLING,Côte des Blancs,0.75,,
SPARKLING,"DHONDT GRELLET ""CRAMANT"" Extra Brut Blanc de Blancs Grand Cru",0.75,€ 160.00,https://www.glugulp.com/dhondt-grellet-champagne-extra-brut-blanc-de-blancs-cramant-grand-cru
SPARKLING,JACQUES SELOSSE “INITIAL” Blanc de Blancs Grand Cru ,0.75,€ 350.00,https://www.tannico.it/champagne-grand-cru-brut-blanc-de-blancs-initial-jacques-selosse.html
SPARKLING,"JACQUES SELOSSE ""LIEUX DITS""",0.75,€ 650.00,https://www.tannico.it/champagne-i-6-lieux-dits-jacques-selosse-cassa-legno-6-bottiglie.html
SPARKLING,JACQUES SELOSSE “SOUS LE MONT” Blanc de Noirs Grand Cru ,0.75,€ 560.00,https://www.tannico.it/champagne-grand-cru-extra-brut-blanc-de-noirs-sous-le-mont-jacques-selosse.html
SPARKLING,JACQUES SELOSSE “V.O.” Extra Brut Blanc de Blancs Grand Cru ,0.75,€ 420.00,https://www.wineexpert.it/it/prodotto/champagne-blanc-de-blancs-version-originale-vo-selosse-jacques.aspx
SPARKLING,"MICHEL FALLON ""OZANNE"" Blanc de Blancs Grand Cru",0.75,€ 320.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-grand-cru-ozanne-michel-fallon.html
SPARKLING,"LANCELOT PIENNE ""CUVEÉ MARIE LANCELOT"" Grand Cru Extra Brut",0.75,€ 165.00,https://www.callmewine.com/champagne-cuv%C3%A9e-marie-lancelot-lancelot-pienne-2015-P37051.htm?gclid=CjwKCAjwqZSlBhBwEiwAfoZUIPQdZJabG_IvJKj3uMcVokU0e9aQz-LSyIH0gWdCsZUFuaO5gv64mRoCiskQAvD_BwE
SPARKLING,LEGRAS Grand Cru  Brut,0.75,€ 80.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-grand-cru-r-l-legras.html
SPARKLING,LEGRAS et HAAS Blanc De Blancs Grand Cru Brut,0.75,€ 85.00,https://www.tannico.it/champagne-brut-blanc-de-blancs-grand-cru-legras-et-haas-18266.html
SPARKLING,"PERTOIS MORISET ""LES HAUTES D'AILLERANDS"" Blanc de Blancs Grand Cru 2013",0.75,€ 160.00,https://autanindescopains.fr/produit/pertois-morisetles-hautes-daillerands
SPARKLING,"STÉPHANE REGNAULT ""LYDIEN N. 62"" Grand Cru Extra Brut",0.75,€ 140.00,https://www.glugulp.com/stephane-regnault-champagne-extra-brut-blanc-de-blancs-oger-2016-grand-cru-lydien-n-45
SPARKLING,"STÉPHANE REGNAULT ""CHROMATIQUE"" Grand Cru Blanc de Blancs Extra Brut",0.75,€ 99.00,https://www.glugulp.com/stephane-regnault-champagne-extra-brut-blanc-de-blancs-grand-cru-chromatique
SPARKLING,ULYSSE COLLIN “LES MAILLONS” Extra Brut Blanc de Noirs 2017,0.75,€ 220.00,https://www.callmewine.com/champagne-maillons-collin-P6774.htm
SPARKLING,ULYSSE COLLIN “LES PIERRIERES” Extra Brut Blanc de Blanc 2016,0.75,€ 245.00,https://www.glugulp.com/ulysse-collin-champagne-extra-brut-blanc-de-blancs-les-pierrires-lieux-dits-v16
SPARKLING,,0.75,,
SPARKLING,Aube,0.75,,
SPARKLING,VINCENT COUCHE (84% Pinot Nero 16% Chardonnay) Zero Dosage,0.75,€ 85.00,https://www.tannico.it/champagne-dosage-zero-vincent-couche.html
SPARKLING,,0.75,,
SPARKLING,,,,
SPARKLING,Champagne Magnum,1.5,,
SPARKLING,AUBRY FYLS Brut 1° Crù ,1.5,€ 180.00,https://www.callmewine.com/champagne-aubry-P6768.htm
SPARKLING,BOLLINGER “SPECIAL CUVEE” Brut ,1.5,€ 260.00,https://www.tannico.it/champagne-brut-special-cuvee-bollinger.html
SPARKLING,BRUNO PAILLARD Extra Brut Premier Cuvée,1.5,€ 220.00,https://www.tannico.it/champagne-premiere-cuvee-extra-brut-bruno-paillard.html
SPARKLING,DELAMOTTE Brut,1.5,€ 190.00,https://www.callmewine.com/champagne-brut-delamotte-P31238.htm
SPARKLING,DELAMOTTE Brut Blanc de Blanc Millesimé 2014,1.5,€ 390.00,https://www.millesima.it/champagne-delamotte-blanc-de-blancs-0000.html
SPARKLING,DOM PERIGNON Brut Vintage Millesimè 2008,1.5,"€ 1,200.00",https://www.callmewine.com/dom-perignon-2008-P17019.htm
SPARKLING,"GEORGES LAVAL “CUMIERES” (Chardonnay 33%, Meunier 33% Pinot Nero 33%) Brut Natur 2013 ",1.5,€ 390.00,https://www.tannico.it/champagne-brut-nature-cumieres-premier-cru-georges-laval.html
