ok,external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score,score
TRUE,63,SPARKLING,champagne millesime rare,Rare,,BOTTLE,,0,,1,,Rare Brut Champagne (Millésimé),Rare Champagne,wine_01h0f3cmbnr3rhpe7sdt8pdkrw,,"3,356,346",
TRUE,65,SPARKLING,franciacorta grande cuvée alma brut,Bellavista,,BOTTLE,,8000,,12,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,"4,261,658",
TRUE,66,SPARKLING,franciacorta grande cuvée alma brut,Bellavista,,MAGNUM,,15000,,1,,Franciacorta Grande Cuvée Alma Brut,Bellavista,wine_01gzr4ktfz8rdfpgmgkvghev9h,,"4,261,658",
TRUE,67,SPARKLING,franciacorta cuvee,Bellavista,,MAGNUM,2005,0,,1,,Franciacorta Cuvée Brut,Bellavista,wine_01gzr4ktfzk1e79z65vsz8rfe4,,"3,323,684",
TRUE,68,SPARKLING,franciacorta cuvée prestige,Ca' del Bosco,,BOTTLE,,8000,,6,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,,"41,750,637",
TRUE,69,SPARKLING,franciacorta cuvée prestige,Ca' del Bosco,,MAGNUM,,16000,,0,,Franciacorta Cuvée Prestige,Ca' del Bosco,wine_01gzr4kscc5tkafqr60hga5xms,,"41,750,637",
TRUE,70,SPARKLING,franciacorta brut,Enrico Gatti,,BOTTLE,,5000,,173,,Franciacorta Brut,Enrico Gatti,wine_01gzr4ksd14s1xkmrd0bbyr38y,,"4,669,078",
TRUE,71,SPARKLING,franciacorta brut,Enrico Gatti,,MAGNUM,,10500,,4,,Franciacorta Brut,Enrico Gatti,wine_01gzr4ksd14s1xkmrd0bbyr38y,,"4,669,078",
TRUE,72,SPARKLING,franciacorta prima cuvée brut,Monte Rossa,,BOTTLE,,5400,,0,,Prima Cuvée Brut,Monte Rossa,wine_01h0f3cmbp34yv40bzye7qmxmc,,"41,708,824",
TRUE,73,SPARKLING,franciacorta prima cuvée brut,Monte Rossa,,MAGNUM,,10000,,0,,Prima Cuvée Brut,Monte Rossa,wine_01h0f3cmbp34yv40bzye7qmxmc,,"41,708,824",
TRUE,74,SPARKLING,franciacorta brut p.r. blanc de blancs,Monte Rossa,,BOTTLE,,0,,0,,Franciacorta Blanc de Blancs,Monte Rossa,wine_01h0qzm0xq8f85fqsma958apd6,,"451,369",
FALSE,75,SPARKLING,franciacorta satèn,Monte Rossa,,MAGNUM,,8000,,0,,Franciacorta,Monte Rossa,wine_01h0qzm0xr7brz4evbgqa6hq5k,,"35,999,573",
TRUE,77,SPARKLING,franciacorta animante extra brut,Barone Pizzini,,BOTTLE,,6000,,8,,Animante Franciacorta Extra Brut,Barone Pizzini,wine_01gzr4ksctc3v9gsjyyxb2pnm1,,"50,452,248",
TRUE,78,SPARKLING,franciacorta golf 1927 brut,Barone Pizzini,,BOTTLE,,6500,,4,,Golf 1927 Franciacorta,Barone Pizzini,wine_01gzr4ksctpg7xgfcd5g3n4mew,,"56,099,262",
TRUE,79,SPARKLING,franciacorta satèn,Barone Pizzini,,BOTTLE,2019,0,,1,,Satén Franciacorta,Barone Pizzini,wine_01gzr4ksct8de7tv33rh98x28c,,"4,824,391",
TRUE,80,SPARKLING,spumante brut,Maso Martis,,BOTTLE,,6000,,16,,Brut,Maso Martis,wine_01gzr4kth05rj3yfx8pw5c7rar,,"28,262,117",
TRUE,81,SPARKLING,spumante brut millesimato,Maso Martis,,MAGNUM,2016,10500,,1,,Brut,Maso Martis,wine_01gzr4kth05rj3yfx8pw5c7rar,,"28,262,117",
TRUE,82,SPARKLING,spumante ferrari perlé,Ferrari,,BOTTLE,2018,6500,,6,,Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,,"30,799,446",
TRUE,83,SPARKLING,spumante ferrari perlé,Ferrari,,MAGNUM,2012,16000,,6,,Perlé,Ferrari,wine_01gzr4ksccj35519kgnp4kw2ym,,"30,799,446",
TRUE,84,SPARKLING,spumante riserva del fondatore,Giulio Ferrari,,MAGNUM,2008,42000,,1,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,"3,275,046",
TRUE,85,SPARKLING,spumante riserva del fondatore,Giulio Ferrari,,BOTTLE,2008,21000,,1,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,"3,275,046",
TRUE,85,SPARKLING,spumante riserva del fondatore,Giulio Ferrari,,BOTTLE,2010,21000,,1,,Giulio Ferrari' Riserva del Fondatore,Ferrari,wine_01gzr4kscc3eq3g9mgs0f5ns3f,,"3,275,046",
TRUE,86,SPARKLING,spumante riserva lunelli,Giulio Ferrari,,BOTTLE,2006,25000,,0,,Riserva Lunelli,Ferrari,wine_01gzr4ksccy7w7sgfv1g5hhygr,,"33,964,485",
TRUE,87,SPARKLING,spumante cuvée voyage,Frescobaldi,,BOTTLE,,3800,,3,,Leonia Cuvée Voyage Brut,Frescobaldi,wine_01gzr4ksh5xsax54mcqey9ac0a,,"34,181,103",
FALSE,88,SPARKLING,spumante riesling brut,P. J. Kuhn,,BOTTLE,2019,5000,,15,,Riesling Brut,P. J. Valckenberg,wine_01havwedsarphpz9a94ae7j999,,"27,492,357",
TRUE,89,SPARKLING,spumante lamm n.12 extra brut,Winkler,,BOTTLE,,6500,,7,,Winkler Lamm N°12 Extra Brut,Sektmanufaktur Winkler,wine_01hgz9qxsrgr2yy1jx2tphxy26,,"4,406,537",
FALSE,90,SPARKLING,spumante extra brut,Loredan Gasparini,,BOTTLE,1979,4500,,0,,Tasso Extra Brut,Loredan Gasparini,wine_01gzr4kt322pft98ak5cwp56hf,,"47,309,612",
FALSE,90,SPARKLING,spumante extra brut,Loredan Gasparini,,BOTTLE,2019,4500,,0,,Tasso Extra Brut,Loredan Gasparini,wine_01gzr4kt322pft98ak5cwp56hf,,"47,309,612",
FALSE,92,SPARKLING,valdobbiadene docg prosecco superiore extra dry,Agostinetto,,BOTTLE,,2500,,82,,Le Croe Prosecco Extra Dry,Ivan Agostinetto,wine_01h4pmmfn1bhy4r693y64y3av7,,"32,775,066",
TRUE,93,SPARKLING,valdobbiadene docg vigna del baffo,Agostinetto,,BOTTLE,,0,,4,,Vigna del Baffo,Agostinetto,wine_01hcw4dg67js82xzgvfs7qe87r,,"47,492,153",
FALSE,94,SPARKLING,cartizze valdobbiadene docg prosecco superiore dry,Agostinetto,,BOTTLE,2021,4800,,9,,Le Croe Prosecco Extra Dry,Ivan Agostinetto,wine_01h4pmmfn1bhy4r693y64y3av7,,"29,123,762",
FALSE,94,SPARKLING,cartizze valdobbiadene docg prosecco superiore dry,Agostinetto,,BOTTLE,2020,4800,,11,,Le Croe Prosecco Extra Dry,Ivan Agostinetto,wine_01h4pmmfn1bhy4r693y64y3av7,,"29,123,762",
FALSE,94,SPARKLING,cartizze valdobbiadene docg prosecco superiore dry,Agostinetto,,BOTTLE,2022,4800,,27,,Le Croe Prosecco Extra Dry,Ivan Agostinetto,wine_01h4pmmfn1bhy4r693y64y3av7,,"29,123,762",
TRUE,95,SPARKLING,"valdobbiadene prosecco superiore docg ""bareta"" brut",Merotto,,BOTTLE,,3000,,42,,Bareta Prosecco Superiore Valdobbiadene Brut,Merotto,wine_01gzr4ksmj1fgx4y85arwnmz4z,,"43,378,677",
TRUE,96,SPARKLING,"valdobbiadene prosecco superiore docg ""castè"" extra dry",Merotto,,BOTTLE,,3000,,0,,Castè Millesimato Valdobbiadene Prosecco Superiore Extra Dry,Merotto,wine_01gzr4ksmkpq46zary6fk6etzb,,"4,626,282",
TRUE,97,SPARKLING,valdobbiadene prosecco superiore docg brut,Nino Franco,,BOTTLE,,3000,,24,,Valdobbiadene Prosecco Superiore Brut,Nino Franco,wine_01h0f3cmbqsqwcha34gb7p1zqt,,"4,470,482",
TRUE,98,SPARKLING,prosecco millesimato brut,Ardenghi,,BOTTLE,,3000,,0,,Prosecco Millesimato Brut,Ardenghi,wine_01h0f3cmcjmdfs9ap36t9jy0pn,,"39,675,293",
TRUE,99,SPARKLING,"valdobbiadene prosecco superiore docg ""fagher"" brut",Le Colture,,BOTTLE,,2500,,0,,Fagher Valdobbiadene Prosecco Superiore Brut,Le Colture,wine_01h0f3cmc6c68qtfrvzymyxx9d,,"4,917,128",
TRUE,100,SPARKLING,"valdobbiadene prosecco superiore docg ""fagher"" brut",Le Colture,,MAGNUM,,5000,,16,,Fagher Valdobbiadene Prosecco Superiore Brut,Le Colture,wine_01h0f3cmc6c68qtfrvzymyxx9d,,"4,917,128",
TRUE,101,SPARKLING,prosecco extra dry,Borgo Antico,,BOTTLE,,2800,,0,,Conegliano Valdobbiadene Prosecco Superiore Extra Dry,Borgo Antico,wine_01h0my5rmdw84q412j6etvndn7,,"37,068,283",
FALSE,102,SPARKLING,valdobbiadene docg brut,Ra Spondes de Edy,,BOTTLE,,0,,44,,Valdobbiadene Brut,Ca dei Berti,wine_01gzr4ksczxcd0gdpw958m3kkp,,"15,229,813",
TRUE,106,WHITE,"gewurztraminer ""nussbaumer""",Tramin,,BOTTLE,2020,6000,,12,,Nussbaumer Gewürztraminer,Tramin,wine_01h0sq47xgwvqvqhjhsn8v8t7z,,"4,289,731",
TRUE,107,WHITE,gewurztraminer,Elena Walch,,BOTTLE,2022,2700,,27,,Gewürztraminer,Elena Walch,wine_01gzr4kt16j05v9kbqnn8jmsya,,"43,569,202",
TRUE,107,WHITE,gewurztraminer,Elena Walch,,BOTTLE,2021,2700,,1,,Gewürztraminer,Elena Walch,wine_01gzr4kt16j05v9kbqnn8jmsya,,"43,569,202",
TRUE,108,WHITE,gewurztraminer,Alois Lageder,,BOTTLE,2021,3000,,2,,Gewürztraminer,Alois Lageder,wine_01h0my5rfe28wg3zjxc25rmnac,,"40,599,224",
TRUE,108,WHITE,gewurztraminer,Alois Lageder,,BOTTLE,2022,3000,,5,,Gewürztraminer,Alois Lageder,wine_01h0my5rfe28wg3zjxc25rmnac,,"40,599,224",
TRUE,109,WHITE,gewurztraminer,Franz Haas,,BOTTLE,2020,4800,,17,,Gewürztraminer,Franz Haas,wine_01h0qzm1c5mgvt987p9cn1pw6c,,"34,447,685",
TRUE,110,WHITE,"gewurztraminer ""kolbenhof""",Tenuta J. Hofstätter,,BOTTLE,2018,7000,,3,,Kolbenhof Gewürztraminer,J. Hofstätter,wine_01h0qzm1vfry7b1bvnhq9m8avr,,"505,782",
TRUE,110,WHITE,"gewurztraminer ""kolbenhof""",Tenuta J. Hofstätter,,BOTTLE,2019,7000,,3,,Kolbenhof Gewürztraminer,J. Hofstätter,wine_01h0qzm1vfry7b1bvnhq9m8avr,,"505,782",
TRUE,110,WHITE,"gewurztraminer ""kolbenhof""",Tenuta J. Hofstätter,,BOTTLE,2021,7000,,13,,Kolbenhof Gewürztraminer,J. Hofstätter,wine_01h0qzm1vfry7b1bvnhq9m8avr,,"505,782",
TRUE,111,WHITE,gewurztraminer,Abbazia di Novacella,,BOTTLE,2021,3300,,3,,Gewürztraminer,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbqezmj8f25nkh3krya,,"32,975,605",
TRUE,111,WHITE,gewurztraminer,Abbazia di Novacella,,BOTTLE,2022,3300,,8,,Gewürztraminer,Abbazia di Novacella (Stiftskellerei Neustift),wine_01h0my5rbqezmj8f25nkh3krya,,"32,975,605",
TRUE,113,WHITE,gewurtztraminer,Pacherhof,,BOTTLE,2021,4500,,8,,Gewürztraminer,Pacherhof,wine_01h0qzm2wz5355bbkp2p0jjmvn,,"34,749,996",
TRUE,114,WHITE,gewurtztraminer,Kofererhof,,BOTTLE,2021,3800,,4,,Gewürztraminer,Köfererhof,wine_01h0qzm243csdpy1n0d5yg5w9q,,"35,007,305",
TRUE,115,WHITE,"gewurtztraminer ""ceslar""",Cantina di Bolzano,,BOTTLE,2021,2800,,8,,Ceslar Gewürztraminer,Cantina Bolzano / Kellerei Bozen,wine_01h0my5rkqbb3j0f3arg0mf2m2,,"33,156,715",
