external_id,name_one,name_two,size,winery_name,country,vintage,currency,price,quantity,
113,Gewurtztraminer ,,,Pacherhof,,21,€,"€ 45,00",8,
114,Gewurtztraminer ,,,Kofererhof,,‘21,€,"€ 38,00",4,
115,"Gewurtztraminer ""Ceslar""",,,Cantina di Bolzano,,21,€,"€ 28,00",8,
116,Manna,,,Franz Haas,,,,"€ 64,00","2 ‘18, 3 ‘19, 4 ‘20",
117,Manna ,,Magnum,Franz Haas,,20,€,"€ 120,00",20,
118,Kerner ,,,Abbazia di Novacella,,’20,€,"€ 30,00",,
119,"Kerner ""Praepositus""",,,Abbazia di Novacella,,,€,"€ 42,00","9 ‘20, 19 ‘22",
120,Kerner Kofererhof,,,Kofererhof,,,€,"€ 39,00","1 ‘21, 14 ‘22",
121,Müller Thurgau,,,Elena Walch,,21,€,"€ 23,00",4,
122,"Pinot bianco ""Moriz""",,,Tramin,,,€,"€ 30,00","5 ‘20, 5 ‘22",
123,"Pinot bianco ""Kristallberg""",,,Elena Walch,,22,€,"€ 42,00","19 ‘22, 2 ‘20 ",
124,Pinot bianco ,,,Elena Walch,,,€,"€ 24,00","2 ‘21, 32 ‘22",
125,Pinot grigio ,,,Tramin,,22,€,"€ 27,00",11,
126,"Riesling ""Castel Ringberg""",,,Elena Walch,,22,€,"€ 42,00",32,
127,Riesling,,,Pacherhof,,,,"€ 45,00","5 ‘21, 5 ‘22",
128,Sauvignon ,,,Tramin,,22,€,"€ 30,00",10,
129,Sauvignon,,,Elena Walch,,22,€,"€ 27,00",15,
130,Souvignier Gris Piwi ,,,Thomas Niedermayr,,18,€,"€ 40,00",3,
131,Weissburgunder 76 ,,,Thomas Niedermayr,,‘17,€,"€ 50,00",3,
132,Riesling R,,,Kofererhof,,22,,,12,
133,Sylvaner,,,Kofererhof,,,€,"€ 29,00","2 ‘20, 6 ‘22",
134,Müller Thurgau,,,Kofererhof,,,€,"€ 26,00",,
135,Sylvaner ,,,Pacherhof,,22,€,"€ 36,00",8,
136,Sylvaner,,,Abbazia di Novacella,,,€,"€ 27,00","2 ‘19, 4 ‘21, 11 ‘22",
137,Sylvaner Stiftsgarten ,,,Abbazia di Novacella,,‘19,€,"€ 98,00",6,
138,Terlaner Doc ,,,Cantina di Terlano,,‘22,€,"€ 42,00","3 ‘22, 18 ‘23",
139,,,,,,,,,,
140,Friuli Venezia Giulia,,,,,,,,,
141,Chardonnay,Sharis iGT,,Livio Felluga,,22,€,"€ 36,00",3,
142,Chardonnay ,,,Silvio Jermann,,’21,€,"€ 40,00",6,
143,Chardonnay ,,,Borgo Conventi,,21,€,"€ 19,00",1,
144,Luna di Ponca,,Magnum,Borgo Conventi,,19,,,1,
145,Chardonnay Zittelle,,,Miani,,20,€,"€ 110,00",4,
146,Sauvignon ,,,Schioppetto,,18,€,"€ 42,00","1 ‘18, 8 ‘21",
147,Sauvignon,,,Silvio Jermann,,,€,"€ 42,00","1 ‘21, 6 ‘22",
148,Sauvignon ,,,Miani,,18,€,"€ 110,00",6,
149,Sauvignon Zittelle,,,Miani ,,19,€,"€ 110,00","5 ‘19, 6 ‘21",
150,Sauvignon,,Magnum,Miani Zitelle,,‘17,€,"€ 220,00",1,
151,Vintage Tunina,,,Silvio Jermann,,20,€,"€ 70,00",,
152,Vintage Tunina ,,Magnum,Silvio Jermann,,,€,"€ 150,00","1 ‘20, 1 ‘21",
153,Friulano ,,,Miani ,,22,€,"€ 56,00",4,
154,Friulano DOC Collio Ronco delle Cime,,,Venica,,‘21,€,"€ 60,00",15,
155,Friulano ,,,Schioppetto,,21,€,"€ 42,00",15,
156,Friulano ,,,Simon Komjanc,,19,€,"€ 21,00",,
157,Friulano Isonzo del Friuli DOC,,,Borgo Conventi,,‘21,€,"€ 21,00",8,
158,Friulano,,,Az. Agricola Toros,,22,€,"€ 45,00",10,
159,Friulano,,,Meroi,,21,€,"€ 50,00",5,
160,Ribolla gialla,,,Damijan,,19,€,"€ 55,00",Togliere,
161,Ribolla gialla ,,,La Viarte,,‘21,€,"€ 39,00",5,
162,Ribolla gialla ,,,Tenuta Stella,,19,,,1,
163,Ribolla gialla collio,,,Ronco Blanchis,,‘22,€,,6,
164,Pinot grigio,,,Borgo Conventi,,21,€,"€ 21,00",10,
165,Pinot grigio,,,Az. Agricola Toros,,,€,"€ 60,00","2 ‘19, 9 ‘21 ",
166,Pinot bianco,,,Az. Agricola Toros,,21,€,"€ 60,00",5,
167,Sauvignon Ronco delle Mele DOC Collio,,,Venica,,21,€,"€ 80,00",11,
168,Nekaj Friulano,,,Damijan,,18,€,"€ 63,00",1,
169,Bianco Kaplja ,,,Damijan,,,€,"€ 74,00","4 ‘18, 3 ‘20",
170,Malvasia La Mont di Zuc ,,,Miani,,19,€,"€ 75,00",5,
171,Ograde Bianco ,,,Skerk,,‘20,€,"€ 70,00",6,
172,Vitovska,,,Kante,,19,,,1,
