name,winery,vintage,size,price
Sanct Valentin 2021,Kellerei St. Michael/Eppan,2021,,"""45,00 €"""
Penon 2021,Kellerei Kurtatsch,2021,,"""39,00 €"""
Südtiroler Grauburgunder 2021,Weingut Wassererhof,2021,,"""39,00 €"""
Aristos 2021,Kellerei Eisacktal,2021,,"""38,00 €"""
Vives 2020,Weingut Radoarhof,2020,,"""40,00 €"""
Mitterberg 2020,Weingut Andi Sölva,2020,,"""39,00 €"""
Fallwind 2021,Kellerei St. Michael/Eppan,2021,,"""34,00 €"""
Castel Juval – Weingarten Windbichel 2021,Weingut & Hofbrennerei Unterortl,2021,,"""79,00 €"""
Grüner Veltliner Johanna 2021,Weingut Röck,2021,,"""37,00 €"""
Grüner Veltliner 2021,Weingut Hoandlhof Manni Nössing,2021,,"""35,00 €"""
Initium Solaris,"""Viventum, Mals""",,,"""40,00 € (2021) | 43,00 € (2020) | 49,00 (2018)"""
Eisacktaler Veltliner 2021,Weingut Kuenhof,2021,,"""35,00 €"""
Sylvaner 2021,Weingut Pacherhof,2021,,"""36,00 €"""
Praepositus Sylvaner 2022,Stiftskellerei Kloster Neustift,2022,,"""39,00 €"""
Müller-Thurgau Etza 2020,Weingut Radoarhof,2020,,"""34,00 €"""
Feldmarschall von Fenner Müller-Thurgau 2020,Schlosskellerei Tiefenbrunner,2020,,"""69,00 €"""
Graun Müller-Thurgau,Kellerei Kurtatsch,,,"""35,00 € (2021) | 42,00 € (2016)"""
Ackerlen Solaris/Muscaris 2020,Burgerhof Meßner,2020,,"""34,00 €"""
99 S.ALT Solaris Rarity 2018,Thomas Niedermayr – Hof Gandberg,2018,,"""69,00 €"""
Amperg Goldmuskateller 2022 (trocken ausgebaut),Weingut Klaus Lentsch,2022,,"""32,00 €"""
Praepositus 2022,Stiftskellerei Kloster Neustift,2022,,"""39,00 €"""
Kerner 2023,Weingut Strasserhof,2023,,"""34,00 €"""
Kerner 2022,Kellerei Eisacktal,2022,,"""29,00 €"""
Libellula Mondevinum Riserva 2020,Weingut Niklas,2020,,"""40,00 €"""
Petit Manseng 2021,Weingut Baron Widmann,2021,,"""45,00 €"""
"""Stoan 2022 | CH, SB, PB, GT""",Kellerei Tramin,2022,,"""46,00 €"""
"""Caruess Weiss 2021 | GT, SY, PG""",Weingut Röck,2021,,"""39,00 €"""
"""Summ 2021 | SI, BN, GR (PIWI)""",Thomas Niedermayr – Hof Gandberg,2021,,"""37,00 €"""
"""Viribus Unitis Weiß 2018 | CH, PB, R, SB""",Weingut Andi Sölva und Norbert Kofler,2018,,"""82,00 €"""
"""Gloria Dei 2023 | PB, SB, R""",Weingut Eichenstein,2023,,"""35,00 €"""
"""Weißes Handwerk 2020 | CH, PB, SB""",Weingut Kiemberger,2020,,0
"""Casòn Bianco 2020 | V, PM""",Weingut Alois Lageder,2020,,"""56,00 €"""
"""Dolomytos 2018| SB, R, GR, PB""",Ansitz Dolomytos Sacker,2018,,"""58,00 €"""
"""Réserve della Contessa 2022 | PB, CH, SB""",Weingut Manincor,2022,,"""39,00 €"""
"""Terlaner Cuvée 2022 | PB, CH, SB""",Kellerei Terlan,2022,,"""39,00 €"""
"""NAMA 2018 | CH, PB, SB""",Kellerei Nals Margreid,2018,,"""146,00 €"""
"""Private Cuvée 2019 | R, GV, SB""",Weingut Pacherhof,2019,,"""59,00 €"""
"""LR Riserva 2019 | CH, PB, SB""",Kellerei Schreckbichl,2019,,"""129,00 €"""
"""Appius | CH, PG, PB, SB""",Kellerei St. Michael/Eppan,,,"""165,00€ (2018) | 195,00€ (2015) | 215,00 € (2014) | 220,00 € (2012) """
"""Nova Domus Terlaner Riserva 2020 | PB, CH, SB""",Kellerei Terlan,2020,,"""68,00 €"""
"""Aichberg 2021 | PB, CH, SB""",Weingut Kornell,2021,,"""44,00 €"""
"""DJJ Südtiroler Weiss 2021 | PB, SB, CH, KE""",Weingut Niklas,2021,,"""74,00 €"""
"""Adamantis Cuvée 2020 | SY, GV, PG, KE""",Kellerei Eisacktal,2020,,"""120,00 €"""
"""Büchsenöffner Cuvée 2022 | GW, PG""",Weingut Pitzner,2022,,"""37,00 €"""
Upupa Orange 2020,Weingut Abraham,2020,,"""43,00 €"""
Graf Gewürztraminer 2022,Kellerei Meran,2022,,"""39,00 €"""
Nussbaumer 2021,Kellerei Tramin,2021,,"""47,00 €"""
Aimè 2022,Kellerei Girlan,2022,,"""45,00 €"""
Hohenstein 2020,Weingut Baron Longo,2020,,"""42,00 €"""
"""Sissi Passito 2019 | GL, GW, PM (0,375 l)""",Kellerei Meran,2019,,"""51,00 €"""
"""Roen 2022 | GW (0,375 l)""",Kellerei Tramin,2022,,"""41,00 €"""
"""Epokale 2015 | GW (0,375 l)""",Kellerei Tramin,2015,,"""131,00 €"""
"""Terminum 2021 | GW (0,375 l)""",Kellerei Tramin,2021,,"""63,00 €"""
"""Sese 2020 Muscat D'Alexandrie (0,5 l)""",Azienda Agricola Tua Rita,2020,,"""44,00 €"""
Fontanasanta Nosiola 2021,"""Foradori, Mezzolombardo""",2021,,"""45,00 €"""
"""Cervaro della Sala 2021 | CH, Grechetto""","""Castello della Sala, Marchesi Antinori,""",2021,,"""79,00 €"""
Marangona Lugana 2023,"""Marangona, Brescia""",2023,,"""35,00 €"""
Santa Cristina Lugana 2022,"""Weingut Zenato, Verona""",2022,,"""34,00 €"""
Lugana 2023,"""Cavaliere del Garda, Brescia""",2023,,"""36,00 €"""
Vermentino di Gallura Superiore 2021,"""Cantina di Mogoro, Sardinien""",2021,,"""33,00 €"""
"""Vintage Tunina 2021 | SB, CH, RG, FV""","""Jermann, Venetien""",2021,,"""71,00 €"""
Vie di Romans 2022 | CH,"""Vie di Romans, Friaul""",2022,,"""51,00 €"""
Friulano 21,"""Agrargesellschaft Torre Rosazza, Friaul""",,,"""32,00 €"""
Chardonnay Toscana 2019,"""Monteverro, Grosseto""",2019,,"""125,00 €"""
Gavi di Gavi 2023 | Cortese,"""Villa Sparina, Piemont""",2023,,"""32,00 €"""
Etna Bianco „Contrada Blandano“ 2018,"""Terra Costantino, Sizilien""",2018,,"""43,00 €"""
Verdicchio di Matelica „M“,"""Gàjole, Macerata""",,,"""30,00 €"""
Soave Superiore 2021,"""Dal Cero – Weingut Corte Giacobbe,""",2021,,"""38,00 €"""
La Rose de Manincor 2023,Weingut Manincor,2023,,"""39,00 €"""
Pfefferer Pink 2022 | LA,Kellerei Schreckbichl,2022,,"""32,00 €"""
Rosalie 2022,Kellerei Meran,2022,,"""33,00 €"""
Bacio Rosa 2021 | PV,Weingut Malavasi,2021,,"""30,00 €"""
Fallwind 2022 | PN,Kellerei St. Michael/Eppan,2022,,"""33,00 €"""
Mathilde 2022 | PN,Innerleiterhof,2022,,"""38,00 €"""
"""Morgenrot 2022 | LA, ZW, PN""",Himmelreich-Hof,2022,,"""37,00 €"""
"""Flaschenpost 2018 | LA, VT, CF (0,5 l)""",Kiemberger,2018,,"""29,00 €"""
Rosa 2021 | SA,Kellerei Dei,2021,,"""32,00 €"""
Calafuria 2022 | NE,Weingut Tormaresca,2022,,"""34,00 €"""
Deciso | R,"""Vinuci Monteverde Saggio, Bozen""",,,"""31,00 €"""
Flein Sauvignon Blanc,Kellerei Kurtatsch,,,"""29,00 €"""
Flein Moscato,Kellerei Kurtatsch,,,"""29,00 €"""
Eins-Zwei-Zero Chardonnay,"""Weingut Leitz, Deutschland""",,,"""27,00 €"""
Eins-Zwei-Zero Rosé | PN,"""Weingut Leitz, Deutschland""",,,"""27,00 €"""
Zero Point Five Pinot Noir,"""Weingut Leitz, Deutschland""",,,"""27,00 €"""
Roseppi 2022 | PN,Weingut Seppi,2022,,"""35,00 €"""
"""Sof Toskana Rosé 2022 | CF, SY""",Weingut Biserno,2022,,"""42,00 €"""
Leggero 2021,Weingut Pranzegg,2021,,"""33,00 €"""
Quintessenz 2021,Kellerei Kaltern,2021,,"""33,00 €"""
Upupa Rot Alte Reben 2021,Weingut Abraham,2021,,"""36,00 €"""
Versal 2018,Weingut Oberstein,2018,,"""33,00 €"""
