external_id,name,winery,vintage,size,eur_sales_price,qty
162,La Rose de Manincor 2023,Weingut Manincor,2023,BOTTLE,39,9
163,Rosalie 2022,Kellerei Meran,2022,BOTTLE,33,0
164,Bacio Rosa 2021 ,Weingut Malavasi,2021,BOTTLE,30,5
165,Mathilde 2022 ,Innerleiterhof,2022,BOTTLE,38,1
166,Morgenrot 2022 ,Himmelreich-Hof,2022,BOTTLE,37,3
167,Flaschenpost 2018 ,Kiemberger,2018,HALF_LITER,29,2
168,Rosa 2021 ,Kellerei Dei,2021,BOTTLE,32,2
169,Calafuria 2022 ,Weingut Tormaresca,2022,BOTTLE,34,6
170,Deciso ,Vinuci Monteverde Saggio,,BOTTLE,31,12
171,Flein Sauvignon Blanc,Kellerei Kurtatsch,,BOTTLE,29,2
172,Flein Moscato,Kellerei Kurtatsch,,BOTTLE,29,2
173,Roseppi 2022 ,Weingut Seppi,2022,BOTTLE,35,5
174,Sof Toskana Rosé 2022 ,Weingut Biserno,2022,BOTTLE,42,2
175,Leggero 2021,Weingut Pranzegg,2021,BOTTLE,33,3
176,Quintessenz 2021,Kellerei Kaltern,2021,BOTTLE,33,0
177,Upupa Rot Alte Reben 2021,Weingut Abraham,2021,BOTTLE,36,6
178,Versal 2018,Weingut Oberstein,2018,BOTTLE,33,5
179,ROT 2019,Weinmanufaktur Luis Oberrauch,2019,BOTTLE,41,6
180,Fürst Meraner Vernatsch 2020,Kellerei Meran,2020,BOTTLE,37,5
181,St. Magdalener Classico 2020,Weingut Wassererhof,2020,BOTTLE,34,6
182,St. Magdalener Klassisch 2022,Weingut Erbhof Unterganzner,2022,BOTTLE,35,6
183,Kalterersee Auslese Sea 2021,Weingut Andi Sölva,2021,BOTTLE,38,6
184,Gant 2020,Kellerei Andrian,2020,BOTTLE,52,4
185,Siebeneich Merlot Riserva 2020,Kellerei Schreckbichl,2020,BOTTLE,39,3
186,Merlot 2023,Weingut Elena Walch,2023,BOTTLE,38,5
187,Vigna Kressfeld Merlot Riserva,Weingut Kornell,2017,BOTTLE,81,3
188,Vigna Kressfeld Merlot Riserva,Weingut Kornell,2015,BOTTLE,95,2
189,Merlot Riserva Nussbaum 2020,Weingut Klosterhof,2020,BOTTLE,48,1
190,Merlot Riserva 2019,Schlossweingut Stachlburg Baron von Kripp,2019,BOTTLE,42,3
191,Levad 2020,Kellerei Nals Margreid,2020,BOTTLE,38,12
192,DJJ Merlot Riserva 2021,Weingut Niklas,2021,BOTTLE,63,5
193,Brenntal Merlot Riserva 2020,Kellerei Kurtatsch,2020,BOTTLE,58,5
194,Siebeneich Merlot Riserva,Kellerei Terlan,2016,BOTTLE,69,1
195,Siebeneich Merlot Riserva,Kellerei Terlan,2014,BOTTLE,79,1
196,Zeno Blauburgunder Riserva,Kellerei Meran,2019,BOTTLE,44,24
197,Zeno Blauburgunder Riserva,Kellerei Meran,2010,BOTTLE,69,3
198,Monticol Riserva 2020,Kellerei Terlan,2020,BOTTLE,48,15
199,Schwarze Madonna,Weingut Klosterhof,2019,BOTTLE,46,18
200,Schwarze Madonna,Weingut Klosterhof,2015,BOTTLE,58,6
201,Burgum Novum Riserva,Weingut Castelfeder,2019,BOTTLE,52,10
202,Burgum Novum Riserva,Weingut Castelfeder,2015,BOTTLE,65,11
203,Amantus 2021,Weingut Eichenstein,2021,BOTTLE,36,6
204,Blauburgunder Riserva Vigna Kofl 2020,Weingut Peter Zemmer,2020,BOTTLE,53,6
205,Pigeno 2020,Weingut Stroblhof,2020,BOTTLE,43,6
206,Pinot Nero 2022,Kellerei Andrian,2022,BOTTLE,34,3
207,Barthenau Vigna S. Urbano 2018,Weingut J. Hofstätter,2018,BOTTLE,79,5
208,Blauburgunder Riserva 2021,Weinhof Prackfol,2021,BOTTLE,43,26
209,Blauburgunder vom Roten Kalk 2020,Weingut Abraham,2020,BOTTLE,59,11
