"name","winery","vintage","size","price"
"Kerner 2022","Kellerei Eisacktal",2022,"BOTTLE","""29,00 €"""
"Libellula Mondevinum Riserva 2020","Weingut Niklas",2020,"BOTTLE","""40,00 €"""
"Petit Manseng 2021","Weingut Baron Widmann",2021,"BOTTLE","""45,00 €"""
"""Stoan 2022 | CH, SB, PB, GT""","Kellerei Tramin",2022,"BOTTLE","""46,00 €"""
"""Caruess Weiss 2021 | GT, SY, PG""","Weingut Röck",2021,"BOTTLE","""39,00 €"""
"""Summ 2021 | SI, BN, GR (PIWI)""","Thomas Niedermayr – Hof Gandberg",2021,"BOTTLE","""37,00 €"""
"""Viribus Unitis Weiß 2018 | CH, PB, R, SB""","Weingut Andi Sölva und Norbert Kofler",2018,"BOTTLE","""82,00 €"""
"""Gloria Dei 2023 | PB, SB, R""","Weingut Eichenstein",2023,"BOTTLE","""35,00 €"""
"""Weißes Handwerk 2020 | CH, PB, SB""","Weingut Kiemberger",2020,"BOTTLE",0
"""Casòn Bianco 2020 | V, PM""","Weingut Alois Lageder",2020,"BOTTLE","""56,00 €"""
"""Dolomytos 2018| SB, R, GR, PB""","Ansitz Dolomytos Sacker",2018,"BOTTLE","""58,00 €"""
"""Réserve della Contessa 2022 | PB, CH, SB""","Weingut Manincor",2022,"BOTTLE","""39,00 €"""
"""Terlaner Cuvée 2022 | PB, CH, SB""","Kellerei Terlan",2022,"BOTTLE","""39,00 €"""
"""NAMA 2018 | CH, PB, SB""","Kellerei Nals Margreid",2018,"BOTTLE","""146,00 €"""
"""Private Cuvée 2019 | R, GV, SB""","Weingut Pacherhof",2019,"BOTTLE","""59,00 €"""
"""LR Riserva 2019 | CH, PB, SB""","Kellerei Schreckbichl",2019,"BOTTLE","""129,00 €"""
"""Appius | CH, PG, PB, SB""","Kellerei St. Michael/Eppan",2018,"BOTTLE","""165,00 €"
"""Appius | CH, PG, PB, SB""","Kellerei St. Michael/Eppan",2015,"BOTTLE","195,00 €"
"""Appius | CH, PG, PB, SB""","Kellerei St. Michael/Eppan",2014,"BOTTLE","215,00 € "
"""Appius | CH, PG, PB, SB""","Kellerei St. Michael/Eppan",2012,"BOTTLE","220,00 € "
"""Nova Domus Terlaner Riserva 2020 | PB, CH, SB""","Kellerei Terlan",2020,"BOTTLE","""68,00 €"""
"""Aichberg 2021 | PB, CH, SB""","Weingut Kornell",2021,"BOTTLE","""44,00 €"""
"""DJJ Südtiroler Weiss 2021 | PB, SB, CH, KE""","Weingut Niklas",2021,"BOTTLE","""74,00 €"""
"""Adamantis Cuvée 2020 | SY, GV, PG, KE""","Kellerei Eisacktal",2020,"BOTTLE","""120,00 €"""
"""Büchsenöffner Cuvée 2022 | GW, PG""","Weingut Pitzner",2022,"BOTTLE","""37,00 €"""
"Upupa Orange 2020","Weingut Abraham",2020,"BOTTLE","""43,00 €"""
"Graf Gewürztraminer 2022","Kellerei Meran",2022,"BOTTLE","""39,00 €"""
"Nussbaumer 2021","Kellerei Tramin",2021,"BOTTLE","""47,00 €"""
"Aimè 2022","Kellerei Girlan",2022,"BOTTLE","""45,00 €"""
"Hohenstein 2020","Weingut Baron Longo",2020,"BOTTLE","""42,00 €"""
"""Sissi Passito 2019 | GL, GW, PM (0,375 l)""","Kellerei Meran",2019,"HALF_BOTTLE","""51,00 €"""
"""Roen 2022 | GW (0,375 l)""","Kellerei Tramin",2022,"HALF_BOTTLE","""41,00 €"""
"""Epokale 2015 | GW (0,375 l)""","Kellerei Tramin",2015,"HALF_BOTTLE","""131,00 €"""
"""Terminum 2021 | GW (0,375 l)""","Kellerei Tramin",2021,"HALF_BOTTLE","""63,00 €"""
"""Sese 2020 Muscat D'Alexandrie (0,5 l)""","Azienda Agricola Tua Rita",2020,"HALF_LITER","""44,00 €"""
"Fontanasanta Nosiola 2021","""Foradori, Mezzolombardo""",2021,"BOTTLE","""45,00 €"""
"""Cervaro della Sala 2021 | CH, Grechetto""","""Castello della Sala, Marchesi Antinori,""",2021,"BOTTLE","""79,00 €"""
"Marangona Lugana 2023","""Marangona, Brescia""",2023,"BOTTLE","""35,00 €"""
"Santa Cristina Lugana 2022","""Weingut Zenato, Verona""",2022,"BOTTLE","""34,00 €"""
"Lugana 2023","""Cavaliere del Garda, Brescia""",2023,"BOTTLE","""36,00 €"""
"Vermentino di Gallura Superiore 2021","""Cantina di Mogoro, Sardinien""",2021,"BOTTLE","""33,00 €"""
"""Vintage Tunina 2021 | SB, CH, RG, FV""","""Jermann, Venetien""",2021,"BOTTLE","""71,00 €"""
