"type","name","qty","eur_sales_price","eur_purchase_price"
"RED","Paleo CF 2019 Le Macchiole Bolgheri ",5.00,135.00 €,675.00 €
"RED","Scrio Syrah 2019 Le Macchiole Bolgheri ",1.00,165.00 €,165.00 €
"RED","Messorio Merlot 2019 Le Macchiole Bolgheri ",2.00,215.00 €,430.00 €
"RED","Pinot Noir 2020 Podere della Civettaja Toskana ",2.00,75.00 €,150.00 €
"RED","Rosso di Montalcino 2019 Il Colle Toskana ",1.00,48.00 €,48.00 €
"RED","Brunello di Montalcino 2018 Il Colle Toscana ",2.00,79.00 €,158.00 €
"RED","Brunello di Montalcino 2018 Pietroso Toskana ",3.00,79.00 €,237.00 €
"RED","Brunello di Montalcino 2016 Pietroso Toskana ",5.00,95.00 €,475.00 €
"RED","Brunello di Montalcino 2015 Pietroso Toskana ",1.00,95.00 €,95.00 €
"RED","Brunello di Montalcino Riserva Lupi e Sirene 2016 Podere le Ripi Toskana ",2.00,135.00 €,270.00 €
"RED","Brunello di Montalcino 2014 Il Paradiso di Manfredi Toskana ",3.00,140.00 €,420.00 €
"RED","Chianti Classico 2020 Tenuta di Carleone Toskana ",6.00,48.00 €,288.00 €
"RED","Chianti Classico 2019 Tenuta di Carleone Toskana ",2.00,48.00 €,96.00 €
"RED","Chianti Classico 2021 Boundonno Toskana ",2.00,44.00 €,88.00 €
"RED","Cuvée (CF/CS) Poggio alle Nane 2020 Le Mortelle Toskana ",2.00,82.00 €,164.00 €
"RED","Cuvée(CS/S) Villa Conversino 2020 Di Filippo Umbrien ",3.00,39.00 €,117.00 €
"RED","Cuvée (Nerello Mascalese/ Grenache) Tartaraci 2020 Buscemi Sizilien",3.00,54.00 €,162.00 €
"RED","Cuvée (Nerello Mascalese/ Grenache) Tartaraci 2019 Buscemi Sizilien",3.00,54.00 €,162.00 €
"RED","Cuvée (CS/CF/M) Dott. Palazzolo 2021 Ronco del Gnemiz Friaul ",5.00,89.00 €,445.00 €
"RED","Cuvée (CS/CF/M) Dott. Palazzolo 2020 Ronco del Gnemiz Friaul ",5.00,89.00 €,445.00 €
"RED","Cuvée (SY/M/S) Colline Lucchesi 2021 Palistorti Di Valgiano ",9.00,40.00 €,360.00 €
"RED","Cuvée (CF/M) Il Randaglio 2021 Tenuta di Carleone Toskana ",3.00,38.00 €,114.00 €
"RED","Merlot Con't Ugo 2021 Guadi al Tasso Bolgheri ",2.00,62.00 €,124.00 €
"RED","Bourgogne Passetoutgrain 2022 Forey Pére & Fils",6.00,39.00 €,234.00 €
"RED","Gevrey Chambertin Petite Chapelle 2021 Humbert ",1.00,240.00 €,240.00 €
"RED","Fixin Vieilles Vignes 2021 Humbert ",2.00,98.00 €,196.00 €
"RED","Fixin Vieilles Vignes 2020 Humbert ",3.00,98.00 €,294.00 €
"RED","Savigny-lés-Beaune Pinot Noir Vieilles Vignes 2018 Marechal ",1.00,65.00 €,65.00 €
"RED","Beaune 1er Cru Les Bressandes 2022 Berthelemot",3.00,98.00 €,294.00 €
"RED","Chambolle Musigny Pinot Noir 2019 Amiot Servelle",1.00,110.00 €,110.00 €
"RED","Nuits-Saint-George Pinot Noir Les Rues de Chaux 2021 Chicotot",4.00,140.00 €,560.00 €
"RED","Nuits-Saint-George Pinot Noir Les Saint Georges 2021 Chicotot",2.00,185.00 €,370.00 €
"RED","Nuits-Saint-George Pinot Noir Les Saint Georges 2020 Chicotot",1.00,185.00 €,185.00 €
"RED","Nuits-Saint-George Pinot Noir Aux Thorey 2021 Pierre Brisset",3.00,164.00 €,492.00 €
"RED","Pommard 2022 Jean-Marc-Boillot",3.00,115.00 €,345.00 €
"RED","Crozes-Hermitage Syrah 2021 Yann Chave ",3.00,50.00 €,150.00 €
"RED","Hermitage Syrah 2021 Yann Chave",3.00,145.00 €,435.00 €
"RED","Cháteauneuf-de-Pape Cuvée Centenaire 2015 André Brunel ",3.00,178.00 €,534.00 €
"RED","Cháteauneuf-de-Pape Les Cailloux 2019 André Brunel ",5.00,89.00 €,445.00 €
"RED","Cuvée Vieilles Vignes (SY/G/Mouv.) 2020 Domaine Gauby Roussilon ",2.00,85.00 €,170.00 €
"RED","Pomerol (CF/M) 2016 Cháteau Cantelauze ",4.00,130.00 €,520.00 €
"RED","Savigny-les-Beaune Pinot Noir 1997 Robert Ampeau et Fils ",1.00,126.00 €,126.00 €
