type,winery,name,size,vintage,supplier,price_eur,qty,Storage_1,Storage_2,Storage_3,purchase_price_inclvat
RED,Pellegrino,Materico Nero D'avola,,2020,,25 €,1,bar009,,, 5 € 
RED,Pellegrino (Rinazzo),Rinazzo - Syrah,,2020,,25 €,4,bar009,,, 8 € 
RED,Pescaja,Solneri Barbera d'Asti Superiore,,2022,,42 €,5,bar001,,, 18 € 
RED,Pescaja,"Sololuna Terre Alfieri, Bianco Arneis  ",,2020,,36 €,5,Frigo Sala sx,,, 16 € 
RED,Peteglia,Cabernet Maremma,,2019,,39 €,3,s3,,, 13 € 
RED,Peteglia,Mezzodi' Sangiovese,,2023,,25 €,5,s3,,, 8 € 
RED,Peteglia,Montecucco Sangiovese 18 Barriques ,,2019,,,1,s3,,, 16 € 
RED,Peteglia,Montecucco Sangiovese Ris. 36 Barr.,,2019,,40 €,6,s3,,, 16 € 
RED,Peteglia ,Montecucco Sangiovese 18 Barriques ,,2020,,27 €,11,s3,,, 10 € 
RED,Pizzulin,Merlot Scaglia Rossa,,2021,,97 €,1,snack,,, 49 € 
RED,Podere Monolo,Bramaterra doc,,2019,,,1,Collezione,,, 1 € 
RED,Prunotto (Antinori),Barbera d'Alba (Antinori),,2022,,30 €,2,bar001,,, 10 € 
RED,Prunotto (Antinori),Barolo (Antinori),,2020,,65 €,4,bar001,,, 33 € 
RED,Re Manfredi,Aglianico Del Vulture,,2016,GIV,36 €,1,bar009,,, 16 € 
RED,Rieppi,Tazzelenghe doc,,2018,,40 €,1,Collezione,,, 18 € 
RED,Ronk,Red Selectus,,,,,1,tav10-top,,,
RED,Russiz Superiore Marco Felluga ,Cabernet Franc,,2021,,35 €,3,bar006,,, 15 € 
RED,Russiz Superiore Marco Felluga ,Merlot,,2018,,35 €,1,bar006,,, 15 € 
RED,Salcheto ,Rosso di Montepulciano+C295,,2020,,25 €,4,bar010,,, 9 € 
RED,Sancin,Refosco,,2021,,30 €,3,tav10-top,,, 11 € 
RED,Sandro De Bruno,Tempus Soave Soc Colli Scaligeri,,2007,Area 6 srl,30 €,1,MAG,,, 13 € 
RED,Santa Cristina (Antinori),Giardino Rose' igt Rosato,,2023,,25 €,5,tav10-top,,, 6 € 
RED,Santi,Amarone,,2017,GIV,,,Frigo bianchi,,, 33 € 
RED,Santi,Carlo Santi 1843 Amarone,,2016,GIV,70 €,5,s4 - legno,,, 35 € 
RED,Santi,Crinaia Cab. Sauv.Franc E Merlot,,2019,GIV,30 €,2,bar005,,, 13 € 
RED,Santi,"Solane (Valpolicella Ripasso-Corvina, Rondinella)",,2020,GIV,29 €,3,bar005,,, 11 € 
RED,Santi,"Ventale Valpolicellacorvina, Rond.",,2020,GIV,27 €,9,s4,bar005,, 9 € 
RED,Scansano,Capoccia Ciliegiolo,,2023,,25 €,8,bar009,,, 6 € 
RED,Simon di Brazzan,Merlot,,2021,,35 €,14,s2,bar007,Frigo bianchi, 12 € 
RED,Società Agricola Francesca,Toscana Rosso,,2021,,,1,tav10-top,,, 1 € 
RED,Tami,Merlot,,2021,,26 €,6,s2,bar008,, 1 € 
RED,Tami,Merlot,,2022,,,,,,, 9 € 
RED,Tami,Refosco dal Peduncolo Rosso,,2021,,26 €,9,s2,bar008,, 9 € 
RED,Tami,Rosso Riserva,,2017,,50 €,6,s2,,, 17 € 
RED,Tenuta del Buonamico,Il Fortino (Syrah),,2018,,,2,tav11,,, 1 € 
RED,Tenuta del Buonamico,Vasario igt (Pinot Bianco),,2020,,,3,tav11,,, 1 € 
RED,Tenuta Rapitalà,Conte Hugues Chardonnay igt,,2019,,44 €,2,Frigo Sala sx,,, 19 € 
RED,Tenuta Rapitalà,Hugonis Cab.Sauvig.+Nero D'avola doc,,2019,,50 €,5,s3 - legno,,, 19 € 
RED,Terlan,Gries  doc Riserva ,,2020,,50 €,7,tav11,,, 21 € 
RED,Terlan,Gries doc Riserva ,,2021,,50 €,6,tav11,,,
RED,Terlan,Lagrein doc ,,2023,,35 €,1,bar000,,, 13 € 
RED,Terlan,Monticol Pinot Nero ,,2021,,65 €,10,tav11,bar000,, 25 € 
RED,Terlan,Monticol Pinot Nero ,,2022,,65 €,5,tav11,,, 25 € 
RED,Terlan,Pinot Noir Tradition ,,2023,,40 €,14,tav11,bar000,, 15 € 
RED,Terlan,Siebenich - Merlot Riserva,,2017,,,2,tav11,,,
RED,Terlan,Siebenich - Merlot Riserva,,2019,,50 €,4,tav11,,, 19 € 
RED,Terlan,Siebenich - Merlot Riserva,,2020,,50 €,6,tav11,bar000,,
RED,Terlan,Torilan Merlot E Cabernet,,2021,,35 €,6,tav11,bar000,, 13 € 
RED,Terlan,Torilan Merlot E Cabernet,,2022,,35 €,7,tav11,,, 14 € 
RED,Tonut,Refosco (Regalo) e Rosso,,,,,3,sarpi terra,,, 1 € 
RED,Torre dei Beati,Montepulciano d'Abruzzo,,2016,,,1,bar010,,, 1 € 
RED,Tramin,Marjun Pinot Nero Riserva ,,2022,,35 €,19,tav11,bar001,, 13 € 
RED,Tramin,Rungg Merlot + Cabernet doc,,2017,,45 €,2,bar001,,, 13 € 
RED,Tramin,Rungg Merlot + Cabernet doc,,2020,,40 €,5,bar001,tav11,, 13 € 
RED,Tramin,Urban Lagrein Riserva,,2020,,55 €,5,tav11,,, 26 € 
RED,Travaglini,Gattinara Riserva,,2018,,,1,Collezione,,, 1 € 
RED,Vignalta Colli Euganei,Rosso Riserva,,2017,,30 €,2,bar005,,, 11 € 
RED,Viticoltori De Conciliis,Purple Haze Igp Paestum Aglianico,,2016,Area 6 srl,30 €,2,bar009,,, 13 € 
RED,Viticoltori De Conciliis,Red,,2018,,,1,tav10-top,,,
RED,Zorzettig,Pignolo,,2016,,48 €,5,s2,bar007,, 16 € 
RED,Zorzettig,Refosco Myo,,2019,,40 €,18,s2,bar007,, 13 € 
RED,Zorzettig,Schioppettino Myo,,2019,,40 €,9,s2,bar007,, 15 € 
DESSERT,Antinori ,Muffato della Sala,,2022,,64 €,8,tav10,cartone a lato tav10,, 27 € 
DESSERT,Borgo San Daniele,Santon Bianco (Vermout),,,,,2,totem,,, 23 € 
DESSERT,Braida,Brachetto d'Aqui,,2019,TOLM,25 €,2,s4,bar003,, 6 € 
DESSERT,Braida,Brachetto d'Aqui,,2021,TOLM,25 €,5,s4,bar003,, 6 € 
DESSERT,Bressani,Ramandolo,,2019,,,1,tav10,,, 14 € 
DESSERT,Bressani,Ramandolo,,2020,,40 €,6,tav10,,, 14 € 
DESSERT,Ca Bianca,Moscato d'Asti,,2022,,,3,tav10,,, 10 € 
DESSERT,Chateau Gravas,"Sauternes-Semillon 0,375",HALF_BOTTLE,2022,,70 €,6,Frigo Sala dx,tav10,, 24 € 
DESSERT,Chateau Gravas,"Sauternes-Semillon 0,75",,2022,,,3,Frigo Sala dx,,, 24 € 
DESSERT,Donna Fugata,Venryè Passito di Pantelleria,,2017,,,1,tav10,,, 19 € 
DESSERT,Donna Fugata,Venryè Passito di Pantelleria,,2018,,,1,tav10,,, 19 € 
DESSERT,Fattoria del Teso,Montecarlo Vin Santo,,1999,,,5,tav10,,, 48 € 
DESSERT,I Vignaioli di Santo Stefano,Moscato d'Asti docg ,,2022,,,6,tav10,,, 10 € 
DESSERT,Mesa,Carignano del Sulcis - Passito Forterosso,,2023,,,1,tav10,,, 1 € 
DESSERT,Niegl,"Gruner Veltliner - Eis Wein 0,375",HALF_BOTTLE,2021,,70 €,2,Frigo Sala dx,,, 31 € 
DESSERT,Pellegrino,Giardino Pantesco - Passito di Pantelleria,,2020,,,1,tav10,,, 13 € 
DESSERT,Pellegrino,Giardino Pantesco - Passito di Pantelleria,,2021,,30 €,2,tav10,,, 13 € 
DESSERT,Pellegrino,Old John - Marsala,,1998,,,2,tav10,,, 10 € 
DESSERT,Tami,"Ramandolo 0,50",HALF_LITER,2022,,35 €,5,tav10,,, 12 € 
