external_id,type,name,winery_name,info,size,vintage,price,purchase_price,quantity,storage_area,internal_notes,visible,purchase_price_inclvat
,RED,Lucente igt,Frescobaldi ,,BOTTLE,2020,5000,1229,20,s4+Frigo Sala sx+bar010,Fornitore: Friends,True, 15 € 
,RED,Albe (Barolo),G. D. Vajra,,BOTTLE,2020,0,81,1,Frigo Sala sx,,True, 1 € 
,RED,Cabernet Colli Trevigiani docg ,Gregoletto,,BOTTLE,2022,2500,655,17,bar004+cheba giù,,True, 8 € 
,RED,Merlot Colli Trevigiani docg,Gregoletto,,BOTTLE,2022,2500,573,9,bar004+cheba giù,,True, 7 € 
,RED,Vino Rosso Colli Trev.Mer.+C.S.+C.F.,Gregoletto,,BOTTLE,2018,4000,1311,8,bar004+cheba giù,,True, 16 € 
,RED,Barolo,Guido Porro,,BOTTLE,2019,8000,81,1,Collezione,Fornitore: Friends,True, 1 € 
,RED,Merlot Galea Terreno Argilloso Vigne 80 Anni,I Clivi,,BOTTLE,2018,4000,1147,3,Frigo bianchi,,True, 14 € 
,RED,"""Guera"" Barbera d'Asti Superiore docg",Il Mongetto,,BOTTLE,2020,5000,1311,8,s3+bar002,,True, 16 € 
,RED,"""Guera"" Barbera d'Asti Superiore docg",Il Mongetto,,BOTTLE,2021,5000,1393,24,s3+bar002+cheba giù,,True, 17 € 
,RED,Barbera del Monferrato doc Superiore ,Il Mongetto,,BOTTLE,2017,0,0,2,Collezione,,True,0
,RED,Barbera del Monferrato doc Superiore ,Il Mongetto,,BOTTLE,2019,3000,819,1,bar002,,True, 10 € 
,RED,Barbera del Monferrato doc Superiore ,Il Mongetto,,BOTTLE,2020,3400,819,10,s3+bar002,,True, 10 € 
,RED,Barbera del Monferrato doc Superiore ,Il Mongetto,,BOTTLE,2021,3400,983,24,s3+bar002+cheba giù,,True, 12 € 
,RED,Grignolino del Moferrato doc,Il Mongetto,,BOTTLE,2020,2500,737,11,s3+bar002,,True, 9 € 
,RED,Kurteis - Cortese Bianco,Il Mongetto,,BOTTLE,2018,2500,491,1,Frigo bianchi,,True, 6 € 
,RED,Pinot Noir App. Bourgogne Controle,Jaffelin Borgogn,,BOTTLE,2022,4900,1557,11,s4+bar008,,True, 19 € 
,RED,Pinot Noir Vin De France Cote D'or,Jaffelin Borgogn,,BOTTLE,2023,2500,655,23,s4+bar008,,True, 8 € 
,RED,Cote De Nuits (Pinot Nero),Joseph Faiveley,,BOTTLE,2021,7500,2295,4,s4+bar008,Fornitore: Friends,True, 28 € 
,RED,Merlot,La Castellada,,BOTTLE,2014,8000,2540,10,s2+Frigo Sala sx,,True, 31 € 
,RED,Rosso della Castellada  - 80% Merlot +Cab.Sau,La Castellada,,BOTTLE,2013,8000,2459,3,Frigo Sala sx,,True, 30 € 
,RED,"Arche' Croatina- Spezie, Bals. Erbe Ar. Barriq",La Colombera,,BOTTLE,2017,3500,1065,2,Frigo bianchi,,True, 13 € 
,RED,Merlot  ,La Luna Storta,,BOTTLE,2020,3000,983,7,s2+bar007,,True, 12 € 
,RED,Brunello Di Montalc.,La Mannella di Cortonesi,,BOTTLE,2017,7500,2622,4,bar010,,True, 32 € 
,RED,Leonus Toscana Rosso,La Mannella di Cortonesi,,BOTTLE,2021,3000,655,3, bar010,,True, 8 € 
,RED,Chianti Classico Radda In Chianti,La Selvanella,,BOTTLE,2020,4000,1393,5,tav10,,True, 17 € 
