"type","full_data"
"RED","499. Riserva Burgum Novum 2019 Castelfeder 0,75 lt. € 60,00"
"RED","514. Riserva Maglen 2021 KG. Tramin 0,75 lt. € 65,00"
"RED","515. Riserva Hausmannhof 2018 Haderburg 0,75 lt. € 80,00"
"RED","516. Riserva Vigna Kofl 2021 Zemmer 0,75 lt. € 75,00"
"RED","517. Blauburgunder Riserva 2019 Stroblhof 0,75 lt. € 68,00"
"RED","518. Mazzon Riserva 2015 Gottardi 0,75 lt. € 105,00"
"RED","519. Mason di Mason 2020 Manincor Bio 0,75 lt. € 125,00"
"RED","520. Riserva Villa Barthenau Vigna S. Urbano 2017 J. Hofstätter 0,75 lt. € 115,00"
"RED","521. Riserva Selection Bruno Gottardi 2010 Gottardi 0,75 lt. € 190,00"
"RED","522. Riserva Vigna Ganger 2012/16 KG. Girlan 0,75 lt. € 195,00"
"RED","523. Riserva Vigna Roccolo 2012/15/16 Hofstätter 0,75 lt. € 290,00"
"RED","565. Ponkler 2016 Franz Haas 0,75 lt. € 150,00"
"RED","571. Riserva Wildmonn 2020 Wildmonn  0,75 lt. € 115,00"
"RED","580. Riserva 680 2015 Maso Thaler  0,75 lt. € 65,00"
"RED","524.	Prestige Riserva 2020 KG. Bozen	0,75 lt.	€	49,00"
"RED","525.	Riserva Taber 2020 KG. Bozen	0,75 lt.	€	79,00"
"RED","526. Riserva Urban 2020 KG. Tramin 0,75 lt. € 65,00"
"RED","527. Riserva 2021 Untermoserhof, Ramoser 0,75 lt. € 55,00"
"RED","528. Riserva 2021 Abtei Muri  0,75 lt. € 65,00"
"RED","530.	Riserva Berger Gei 2020 Niedriest 	0,75 lt.	€	60,00"
"RED","531. Riserva Porphyr 2021 KG. Terlan  0,75 lt. € 89,00"
"RED","566. Riserva Furggl 2020 Peter Zemmer  0,75 lt. € 49,00"
"RED","567. Riserva Mirell 2019 Waldgries  0,75 lt. € 80,00"
"RED","568. Riserva 2020 Glögglhof  0,75 lt. € 60,00"
"RED","569. Riserva Klosteranger 2016 Abtei Muri  0,75 lt. € 135,00"
"RED","573. Riserva Roblinus 2017/18 Waldgries  0,75 lt. € 140,00"
"RED","574. Riserva Tor di Lupo 2021 Kellerei Andrian  0,75 lt. € 70,00"
"RED","532. Riserva Campaner 2021 KG. Kaltern 0,75 lt. € 39,00 / 6,50"
"RED","533. Riserva Mumelter 2018 KG. Bozen 0,75 lt. € 59,00"
"RED","534. Istrice 2021 E. Walch 0,75 lt. € 50,00"
"RED","535. Löwengang Vigneto Storico 2018 Alois Lageder Bio 0,75 lt. € 120,00"
"RED","536. Riserva Vigna Castel Ringberg 2018 Elena Walch 0,75 lt. € 70,00"
"RED","537.	Riserva Lafoa 2020 Schreckbichl-Colterenzio	0,75 lt.	€	117,00"
"RED","538. Riserva Freienfeld 2020 Kellerei Kurtatsch 0,75 lt. € 95,00"
"RED","500. Riserva Quintessenz 2020 KG. Kaltern 0,75 lt. € 67,00"
"RED","540. Fihl 2020 Dipoli 0,75 lt. € 42,00"
"RED","541. Riserva Vigna Kastelaz 2019 E. Walch 0,75 lt. € 75,00"
"RED","543. MM 2015 Alois Lageder, Bio 0,75 lt. € 80,00"
"RED","544. Riserva Praun 2020 KG. Bozen 0,75 lt. € 55,00"
"RED","545. Riserva Siebeneich 2021 Schreckbichl-Colterenzio 0,75 lt. € 49,00 "
"RED","546.	Riserva Lona 2019 KG. St. Pauls	0,75 lt.	€	99,00"
"RED","539. Riserva Gant 2021 KG. Andrian 0,75 lt. € 85,00"
"RED","531. Merlot 2022 Schreckbichl-Colterenzio 0,75 lt. € 35,00 / 6,00"
"RED","547. Il Conte 2022 Manincor Bio (L, M, CS) 0,75 lt. € 45,00/ 7,50"
"RED","542.	Lehm& Kies 2020 Untermoserhof, Ramoser (M,CF)	0,75 lt.	€	55,00"
"RED","548. Lacus 2020 W. Schullian (CF,M) 0,75 lt. € 85,00"
"RED","549. Cor Römigberg 2015 Alois Lageder Bio (CS, PV) 0,75 lt. € 89,00"
"RED","550.	Iugum 2018 Dipoli (M, CS)	0,75 lt.	€	75,00"
"RED","551. Grande Cuvee Kermesse 2020/21 E. Walch (CS, M, L, PV, SY) 0,75 lt. € 85,00"
"RED","552.	Loam 2019 KG. Tramin (CS, M)	0,75 lt.	€	75,00"
"RED","553. Frauenriegel 2019 Dipoli (M, CF) 0,75 lt. € 85,00"
"RED","554. Arzio 2020 Baron di Pauli (M, CS, CF) 0,75 lt. € 79,00"
"RED","555. Brenntal 2018 Dipoli (CF,M) 0,75 lt. € 115,00"
"RED","556. Cornelius Rosso 2020 Schreckbichl-Colterenzio (M, CS) 0,75 lt. € 65,00"
"RED","557. Anticus Riserva Baron Salvadori 2019 KG. Nals (M, CS) 0,75 lt. € 65,00"
"RED","558. Marzemino 2022 Simoncelli 0,75 lt. € 30,00"
"RED","559. Navesel 2020 Simoncelli (M, CF, CS) 0,75 lt. € 39,00"
"RED","560. Teroldego 2022 Foradori 0,75 lt. € 45,00"
"RED","561. Rosso Faye Vigneto Paradisot 2017 Pojer & Sandri (CS, CF, M, L) 0,75 lt. € 65,00"
"RED","562. San Leonardo 2015 San Leonardo (M, CS) 0,75 lt. € 105,00"
"RED","563. Granato 2019 Foradori (Teroldego) 0,75 lt. € 85,00"
"WHITE","564. Soave Classico Superiore Calvarino 2021 Pieropan Bio 0,75 lt. € 50,00"
"RED","601. Valpolicella Ca Fiui 2021 Corte Sant Alda Bio 0,75 lt. € 35,00"
"RED","602. Valpolicella Classico Ripasso 2020 Le Ragose 0,75 lt. € 41,00"
"RED","604. Amarone della Valpolicella 2012 Bertani 0,75 lt. € 139,00 "
"RED","605. Amarone della Valpolicella Valmezzane 2013   Corte Sant Alda Bio 0,75 lt. € 95,00 "
"RED","606. Amarone della Valpolicella Ravazzol 2018 Ca la Bionda 0,75 lt. € 105,00/17,50"
"RED","601. Mithas Valpolicella Superiore 2015 Corte Sant Alda Bio 0,75 lt. € 85,00"
"RED","607. Valpolicella Superiore 2016 Romano Dal Forno 0,75 lt. € 180,00"
"RED","608. Amarone della Valpolicella 2012/13 Romano Dal Forno 0,75 lt. € 450,00"
"RED","612. Amarone della Valpolicella 2012 Quintarelli 0,75 lt. € 450,00"
"RED","613. Rosso del Pepi 2010 Quintarelli (Co,Ro,CS,N) 0,75 lt. € 180,00"
"WHITE","609. Vintage Tunina 2018/21 Jermann (SB, CH, RG, MI, PIC) 0,75 lt. € 90,00"
"WHITE","610.	Chardonnay Gaia & Rey 2018 Gaja	0,75 lt.	€	330,00"
"RED","700. Barbera d’Alba Bricco del Pilone 2021 Benevelli 0,75 lt. € 39,00"
"RED","701. Barbera d’Alba 2021 Burlotto 0,75 lt. € 39,00"
"RED","703. Langhe Nebbiolo 2018 G.D. Vajra  0,75 lt. € 39,00"
"RED","705. Barbaresco 2015 Pio Cesare 0,75 lt. € 95,00"
"RED","706. Barbaresco Rabaja 2018 Bruno Rocca 0,75 lt. € 135,00"
"RED","707. Barbaresco Rabaja 2015 Giuseppe Cortese 0,75 lt. € 65,00"
"RED","708. Barbaresco Gaiun Martinenga 2010 Marchesi di Gresy 0,75 lt. € 125,00"
"RED","709. Barbaresco Riserva Camp Gros Martinenga 2014  Marchesi di Gresy 0,75 lt. € 180,00"
"RED","713. Barbaresco Martinenga 2015 Marchesi di Gresy 0,75 lt. € 75,00"
"RED","710. Barbaresco 2017/20 Gaja 0,75 lt. € 330,00"
"RED","697. Barbaresco Asili 2019 Ca del Bajo 0,75 lt. € 75,00"
"RED","711. Barolo 2019 Briccolina 0,75 lt. € 95,00"
"RED","712. Barolo 2018 Burlotto 0,75 lt. € 100,00"
"RED","715. Barolo Sori Ginestra 2010 Conterno Fantino 0,75 lt. € 145,00"
"RED","716. Barolo Ciabot Mentin Ginestra 2008 Domenico Clerico 0,75 lt. € 145,00"
"RED","717. Barolo Ornato 2015 Pio Cesare 0,75 lt. € 145,00"
"RED","718. Barolo 2016 Pio Cesare 0,75 lt. € 95,00"
"RED","699. Barolo Brunate 2016 Ceretto Bio 0,75 lt. € 205,00"
"RED","698. Barolo Castiglione 2019 Vietti Bio 0,75 lt. € 95,00 /17,00"
