type,external_id,name,format,verkaufspreis,vintage,kellerei,einkaufspreis,lagerbereich,bestand
WHITE,405, Eisacktaler Kerner ,"0,75 lt.","€ 39,00",2022,"Hoandlhof, Nössing                                           ",11.2,4,24
WHITE,406,  Eisacktaler Kerner Aristos ,"0,75 lt.","€ 45,00",2022,Eisacktaler Kellerei,13.5,4,24
WHITE,407, Gewürztraminer Selida ,"0,75 lt.","€ 39,00",2023,KG Tramin,10.1,4,24
WHITE,408, Eisacktaler Gewürztraminer ,"0,75 lt.","€ 40,00",2022,Taschlerhof,12.4,4,30
WHITE,409, Vigna Kolbenhof ,"0,75 lt.","€ 65,00",2021,Hofstätter,24.5,5,24
WHITE,410, Nußbaumer ,"0,75 lt.","€ 60,00",2022,KG. Tramin,21.1,5,24
WHITE,411, Lyra ,"0,75 lt.","€ 40,00",2022,KG. Nals-Margreid ,12.5,5,24
WHITE,412, Vigna Kastelaz ,"0,75 lt.","€ 60,00",2022,Elena Walch,21.2,6,24
WHITE,413, Argentum Bonum Kastelaz ,"0,75 lt.","€ 130,00",2014,Elena Walch,51.45,2,3
WHITE,462, Epokale ,"0,75 lt.",€ 350.00,2015,KG Tramin,85,2,1
WHITE,466, Pirschrait ,"0,75 lt.","€ 155,00",2007,Hofstätter,70,2,1
WHITE,53, Riesling ,"0,75 lt.","€ 45,00",2021,"Falkenstein, Pratzner",13.5,4,30
WHITE,54, Riesling Kaiton ,"0,75 lt.","€ 45,00",2021,"Kuenhof, Pliger",13.45,4,30
WHITE,56, Riesling Geieregg ,"0,75 lt.","€ 50,00",2022,"Himmelreichhof, Markus Fliri",15.3,4,30
WHITE,57, Anadouron ,"0,75 lt.","€ 70,00",2018,"Falkenstein, Pratzner",27,4,24
WHITE,414, Cora ,"0,75 lt.","€ 35,00",2022,Schreckbichl-Colterenzio,7.6,6,30
WHITE,415, Moriz ,"0,75 lt.","€ 37,00",2023,KG. Tramin,10.6,6,24
WHITE,98, Limes ,"0,75 lt.","€ 55,00",2020,Niedrist,17.3,4,12
WHITE,416, Riserva Kalkberg ,"0,75 lt.",€ 49,2021,KG.St. Pauls,17,6,24
WHITE,417, Riserva Vorberg ,"0,75 lt.","€ 59,00",2021,Kellerei Terlan,20,5,24
WHITE,418, Riserva Sanctissimus ,"0,75 lt.","€ 115,00",2016,KG. St. Pauls ,39,1,3
WHITE,419, Pepi ,"0,75 lt.","€ 39,00",2023,KG. Tramin,11.9,4,24
WHITE,420, Turmhof ,"0,75 lt.","€ 40,00",2022,Tiefenbrunner,13.5,4,24
WHITE,421, Voglar ,"0,75 lt.","€ 50,00",2020,Dipoli,16.5,4,24
WHITE,422, St. Valentin ,"0,75 lt.",€ 57.00,2022,KG. St. Michael,19.85,6,24
WHITE,424, Lafoa ,"0,75 lt.","€ 55,00",2022,Schreckbichl-Colterenzio,18.9,6,24
WHITE,427, Vom Kalk ,"0,75 lt.","€ 49,00",2020,Rohregger,16.5,5,24
WHITE,425, Quarz ,"0,75 lt.","€ 80,00",2021,Terlan,31.07,6,12
WHITE,426, Chardonnay Moraine ,"0,75 lt.","€ 55,00",2021,"Untermoserhof, Ramoser",19.3,4,48
WHITE,428, Cardellino ,"0,75 lt.","€ 45,00",2022,Elena Walch,13.05,6,24
WHITE,429, Lafoa ,"0,75 lt.","€ 55,00",2021,Schreckbichl-Colterenzio,19.9,6,24
WHITE,430, Riserva Baron Salvadori ,"0,75 lt.",€ 69.00,2019,KG.Nals,24.95,5,12
WHITE,459, Riserva Vigna Crivelli ,"0,75 lt.","€ 67,00",2021,Peter Zemmer,24.9,5,30
WHITE,431, Löwengang ,"0,75 lt.","€ 100,00",2020,Alois Lageder,42,4,24
WHITE,461, Somereto ,"0,75 lt.","€ 30,00",2022,Kellerei Andrian,7.29,6,6
WHITE,447, Troy ,"0,75 lt.",€ 125.00,2019,KG.Tramin,52,1,6
WHITE,400,  Riserva Kreuzweg ,"0,75 lt.","€ 140,00",2019,Castelfeder,60,1,6
WHITE,,  Löwengang INEDITO II (2013-,"0,75 lt.",€ 350.00,2021,Alois Lageder,160,1,21
WHITE,432, Moscato Giallo ,"0,75 lt.","€ 39,00",2023,Manincor,11.4,5,24
WHITE,436, Magdalena,"0,75 lt.",€ 39,2021, Nicolussi-Leck                                        ,10.2,4,12
WHITE,433, St. Valentin ,"0,75 lt.",€ 57.00,2020,KG.St. Michael,19.85,6,24
WHITE,457, Riserva Vigna Giatl ,"0,75 lt.",€ 55.00,2020,Peter Zemmer,17.9,5,24
WHITE,458, Porer ,"0,75 lt.","€ 45,00",2022,Alois Lageder,13.5,4,24
WHITE,434, Puiten ,"0,75 lt.","€ 39,00",2022,Schreckbichl-Colterenzio,10.9,4,24
WHITE,435, Feldmarschall von Fenner ,"0,75 lt.","€ 95,00",2019,Tiefenbrunner,28,4,12
WHITE,437, De Vite Bianco ,"0,75 lt.","€ 35,00",2023,Hofstätter,8.2,4,24
WHITE,438, Terlaner Klassisch ,"0,75 lt.","€ 39,00",2023,Kellerei Terlan ,11.05,5,30
WHITE,439, Manna ,"0,75 lt.","€ 50,00",2022,Franz Haas,17.15,4,24
WHITE,440, Sophie ,"0,75 lt.","€ 66,00",2022,Manincor,24.9,5,24
WHITE,441, Stoan ,"0,75 lt.","€ 55,00",2022,KG.Tramin,19.8,4,24
WHITE,442, Grande Cuvee Beyound the Clouds ,"0,75 lt.","€ 99,00 ",2021,Elena Walch,39.4,4,12
WHITE,423, Nova Domus ,"0,75 lt.","€ 75,00",2021,Kellerei Terlan,27.18,5,24
WHITE,443, Cason Weiss-Bianco ,"0,75 lt.","€ 75,00",2020,Alois Lageder,27,4,24
WHITE,444, LR ,"0,75 lt.","€ 150,00",2018,Schreckbichl-Colterenzio,59,6,18
WHITE,445, Terlaner I. Grande Cuvee ,"0,75 lt.","€ 350,00 ",2017,Kellerei Terlan,98.51,1,3
WHITE,446, Appius ,"0,75 lt.","€ 350,00",2016,KG. St. Michael,94.5,1,3
WHITE,448, Amos ,"0,75 lt.","€ 50,00",2019,Kellerei Kurtatsch,14,4,24
WHITE,456, NAMA ,"0,75 lt.","€ 180,00",2020,KG. Nals Margreid,78,1,3
,450, Luis Rosé ,"0,75 lt.","€ 45,00",2022,Oberrauch,14.4,4,24
,453, La Rose ,"0,75 lt.","€ 45,00",2023,Manincor,13.9,4,24
,454, Lagrein Krätzer Spätgelesen ,"0,75 lt.","€ 45,00",2023,Unterganzner,12.9,4,18
,451, Cuvee Rosé 448 ,"0,75 lt.","€ 29,00",2023,KG. Girlan,5.95,4,24
,455, Rosé 20/26 ,"0,75 lt.","€ 39,00",2023,Elena Walch,10.1,4,18
RED,501, St. Magdalener Klassisch Hub ,"0,75 lt.","€ 45,00",2022,"Untermoserhof, Ramoser",14.2,4,24
RED,498, St. Magdalener Klassisch Moar ,"0,75 lt.","€ 40,00",2022,KG.Bozen,11.7,4,24
RED,502, St. Magdalener Klassisch ANTHEOS ,"0,75 lt.","€ 46,00",2022,Waldgries,14.9,4,24
RED,503, Kalterersee Per Se ,"0,75 lt.",€ 36.00,2022,Elena Walch,10.3,4,24
RED,497, Kalterersee Vigna Der Keil ,"0,75 lt.","€ 40,00",2023,Manincor ,12.5,4,12
RED,500, Kalterersee Alte Reben ,"0,75 lt.",€ 49.00,2019,Rohregger,16.5,5,12
RED,504, Vernatsch Schickenburg ,"0,75 lt.","€ 35,00",2022,KG.Meran,9,4,12
RED,505, Riserva Patricia ,"0,75 lt.","€ 39,00",2022,KG. Girlan,11.1,4,24
RED,507, Mazzon ,"0,75 lt.","€ 50,00",2019,Gottardi,16.9,3,24
RED,506, Riserva Lafoa ,"0,75 lt.","€ 67,00",2020,Schreckbichl Colterenzio,25,3,24
RED,508, Riserva Mazon ,"0,75 lt.","€ 69,00",2019,Hofstätter,26.55,3,24
RED,509, Blauburgunder ,"0,75 lt.",€ 51.00,2022,Franz Haas ,18.25,3,48
RED,511, Pigeno ,"0,75 lt.","€ 48,00",2019,Stroblhof,16.8,3,24
RED,512, Ludwig ,"0,75 lt.","€ 69,00",2019,Elena Walch,25,4,24
RED,513, Riserva Trattman ,"0,75 lt.","€ 69,00",2020,KG. Girlan,25.8,4,12
RED,499, Riserva Burgum Novum ,"0,75 lt.","€ 60,00",2019,Castelfeder,22,5,18
RED,514, Riserva Maglen ,"0,75 lt.","€ 65,00",2020,KG. Tramin,24.5,4,18
RED,515, Riserva Hausmannhof ,"0,75 lt.","€ 80,00",2018,Haderburg,31.5,3,24
RED,516, Riserva Vigna Kofl ,"0,75 lt.","€ 75,00",2021,Zemmer,27.9,4,24
RED,517, Blauburgunder Riserva ,"0,75 lt.",€ 70.00,2019,Stroblhof,26.4,3,24
RED,518, Mazzon Riserva ,"0,75 lt.","€ 105,00",2015,Gottardi,28.7,3,24
RED,519, Mason di Mason ,"0,75 lt.","€ 125,00",2020,Manincor,52,3,12
