external_id,name,winery_name,type,storage_area,size,vintage,price,info,quantity,internal_notes
,Valpolicella “Ripasso” Palazzo della Torre Allegrini,Valpolicella “Ripasso” Palazzo della Torre Allegrini,,,BOTTLE,2019.0,4400.0,,50,
,Valpolicella Ripassa Zenato,Valpolicella Ripassa Zenato,,,BOTTLE,2019.0,4700.0,,50,
,Valpolicella “Ripasso” Secco Bertani Bertani,Valpolicella “Ripasso” Secco Bertani Bertani,,,BOTTLE,2019.0,4500.0,,50,
,Cabernet Az. Agricola Sutto,Cabernet Az. Agricola Sutto,,,BOTTLE,2021.0,3200.0,,50,
,"Merlot ""Ad Nonam"" Tenuta Mosole","Merlot ""Ad Nonam"" Tenuta Mosole",,,BOTTLE,2018.0,5700.0,,50,
,Rosso Riserva (Merlot–Cabernet) Vignalta,Rosso Riserva (Merlot–Cabernet) Vignalta,,,BOTTLE,2017.0,3900.0,,50,
,Merlot Colli Berici Dal Maso,Merlot Colli Berici Dal Maso,,,BOTTLE,2020.0,4900.0,,50,
,Agno Tinto (Sirah) Vignalta,Agno Tinto (Sirah) Vignalta,,,BOTTLE,2016.0,4900.0,,50,
,Venegazzù della Casa (Cab. Sauv.–Merlot–Cab. F.–Malbec) Loredan Gasparini,Venegazzù della Casa (Cab. Sauv.–Merlot–Cab. F.–Malbec) Loredan Gasparini,,,BOTTLE,2017.0,4900.0,,50,
,Carmenere Punto Zero,Carmenere Punto Zero,,,BOTTLE,2018.0,4800.0,,50,
,Venegazzù Capo di Stato (Cab. Sauv.–Cab F.–Merlot–Malbec) Loredan Gasparini,Venegazzù Capo di Stato (Cab. Sauv.–Cab F.–Merlot–Malbec) Loredan Gasparini,,,BOTTLE,2017.0,10500.0,,50,
,La Poja (Corvina Veronese) Allegrini,La Poja (Corvina Veronese) Allegrini,,,BOTTLE,2017.0,16000.0,,50,
,Terregiunte Masi-Vespa,Terregiunte Masi-Vespa,,,BOTTLE,2016.0,17000.0,,50,
,Amarone della Valpolicella Reius Sartori,Amarone della Valpolicella Reius Sartori,,,BOTTLE,2017.0,9500.0,,50,
,Amarone della Valpolicella Zenato,Amarone della Valpolicella Zenato,,,BOTTLE,2018.0,11500.0,,50,
,Amarone Costasera Masi,Amarone Costasera Masi,,,BOTTLE,2018.0,11000.0,,50,
,Amarone Costasera Riserva Masi,Amarone Costasera Riserva Masi,,,BOTTLE,2016.0,14500.0,,50,
,"Amarone ""S. Urbano"" Speri","Amarone ""S. Urbano"" Speri",,,BOTTLE,2017.0,9000.0,,50,
,Amarone della Valpolicella Bertani,Amarone della Valpolicella Bertani,,,BOTTLE,2012.0,26000.0,,50,
,Amarone della Valpolicella Fieramonte Allegrini,Amarone della Valpolicella Fieramonte Allegrini,,,BOTTLE,2013.0,66000.0,,50,
,Amarone della Valpolicella Quintarelli,Amarone della Valpolicella Quintarelli,,,BOTTLE,2013.0,44000.0,,50,
,Blauburgunder Meczan Hofstätter,Blauburgunder Meczan Hofstätter,,,BOTTLE,2021.0,3800.0,,50,
,Blauburgunder Elena Walch,Blauburgunder Elena Walch,,,BOTTLE,2022.0,4000.0,,50,
,Blauburgunder Gottardi,Blauburgunder Gottardi,,,BOTTLE,2018.0,6000.0,,50,
,Blauburgunder Haidenhof,Blauburgunder Haidenhof,,,BOTTLE,2021.0,5500.0,,50,
,Blauburgunder Monticol Cantina Terlano,Blauburgunder Monticol Cantina Terlano,,,BOTTLE,2020.0,5800.0,,50,
,Pinot Nero Ris. St. Daniel Colterenzio,Pinot Nero Ris. St. Daniel Colterenzio,,,BOTTLE,2020.0,4500.0,,50,
,Pinot Nero Franz Hass,Pinot Nero Franz Hass,,,BOTTLE,2021.0,7000.0,,50,
,Blauburgunder Mazon Riserva Hofstätter,Blauburgunder Mazon Riserva Hofstätter,,,BOTTLE,2019.0,6300.0,,50,
,Pinot Nero Ludwig Elena Walch,Pinot Nero Ludwig Elena Walch,,,BOTTLE,2020.0,7800.0,,50,
,"Pinot Nero ""Sanct Valentin"" St. Michele Appiano","Pinot Nero ""Sanct Valentin"" St. Michele Appiano",,,BOTTLE,2020.0,8200.0,,50,
,"Blauburgunder Barthenau ""Vigna S.Urbano"" Hofstätter","Blauburgunder Barthenau ""Vigna S.Urbano"" Hofstätter",,,BOTTLE,2017.0,15000.0,,50,
,"Cabernet ""Istrice"" Elena Walch","Cabernet ""Istrice"" Elena Walch",,,BOTTLE,2020.0,4900.0,,50,
,Lagrein Perl Cantina Bolzano,Lagrein Perl Cantina Bolzano,,,BOTTLE,2021.0,3800.0,,50,
,Lagrein Lindenburg Alois Lageder,Lagrein Lindenburg Alois Lageder,,,BOTTLE,2019.0,6500.0,,50,
,Lagrein Dunkel Gries Cantina Terlano,Lagrein Dunkel Gries Cantina Terlano,,,BOTTLE,2020.0,5500.0,,50,
,Lagrain Taber Cantina Bolzano,Lagrain Taber Cantina Bolzano,,,BOTTLE,2020.0,9000.0,,50,
,Merlot Antiope Morandell,Merlot Antiope Morandell,,,BOTTLE,2022.0,4000.0,,50,
,Merlot Riserva Siebeneich Cantina Terlano,Merlot Riserva Siebeneich Cantina Terlano,,,BOTTLE,2018.0,5500.0,,50,
,Merlot Franz Hass,Merlot Franz Hass,,,BOTTLE,2020.0,6300.0,,50,
,Merlot Riserva Kastelaz Elena Walch,Merlot Riserva Kastelaz Elena Walch,,,BOTTLE,2018.0,8500.0,,50,
,Teroldego Foradori,Teroldego Foradori,,,BOTTLE,2021.0,3800.0,,50,
,Teroldego Morei Foradori,Teroldego Morei Foradori,,,BOTTLE,2021.0,6500.0,,50,
,San Leonardo (Cab. Sauv.–Carmenere–Merlot) Marchesi Guerrieri Gonzaga,San Leonardo (Cab. Sauv.–Carmenere–Merlot) Marchesi Guerrieri Gonzaga,,,BOTTLE,2017.0,20000.0,,50,
,Cabernet Sauvignon Lis Neris,Cabernet Sauvignon Lis Neris,,,BOTTLE,2020.0,4300.0,,50,
,Cabernet Franc Venica,Cabernet Franc Venica,,,BOTTLE,2020.0,3800.0,,50,
,Sdencina Rosso (Schioppettino-Refosco) Tenuta Stella,Sdencina Rosso (Schioppettino-Refosco) Tenuta Stella,,,BOTTLE,2019.0,3500.0,,50,
,Merlot Tunella,Merlot Tunella,,,BOTTLE,2021.0,3500.0,,50,
,Merlot Vistorta Conte Brandolini,Merlot Vistorta Conte Brandolini,,,BOTTLE,2015.0,5400.0,,50,
,Red Angel (Pinot Nero) Jermann,Red Angel (Pinot Nero) Jermann,,,BOTTLE,2020.0,4500.0,,50,
,Refosco Castello di Buttrio,Refosco Castello di Buttrio,,,BOTTLE,2019.0,3800.0,,50,
,Schioppettino Borgo Conventi,Schioppettino Borgo Conventi,,,BOTTLE,2019.0,3900.0,,50,
,Pignolo Tunella,Pignolo Tunella,,,BOTTLE,2018.0,5500.0,,50,
,Vespa Rosso (Merlot–Refosco–Cab. Sauv.) Bastianich,Vespa Rosso (Merlot–Refosco–Cab. Sauv.) Bastianich,,,BOTTLE,2016.0,6000.0,,50,
,Sosso' (Merlot-Refosco-Pignolo) Livio Felluga,Sosso' (Merlot-Refosco-Pignolo) Livio Felluga,,,BOTTLE,2016.0,9000.0,,50,
,Barbera d’Alba Oddero,Barbera d’Alba Oddero,,,BOTTLE,2020.0,3800.0,,50,
,Dolcetto d’Alba Ceretto,Dolcetto d’Alba Ceretto,,,BOTTLE,2021.0,3500.0,,50,
,Nebbiolo d'Alba Albino Rocca,Nebbiolo d'Alba Albino Rocca,,,BOTTLE,2021.0,4500.0,,50,
,Barolo Ceretto,Barolo Ceretto,,,BOTTLE,2018.0,12000.0,,50,
,Barolo Castiglione Vietti,Barolo Castiglione Vietti,,,BOTTLE,2019.0,12000.0,,50,
,Barolo Brunate Ceretto,Barolo Brunate Ceretto,,,BOTTLE,2016.0,21000.0,,50,
,Barolo Vignarionda Oddero,Barolo Vignarionda Oddero,,,BOTTLE,2009.0,37000.0,,50,
,Barbaresco Asili Ca Del Baio,Barbaresco Asili Ca Del Baio,,,BOTTLE,2019.0,10000.0,,50,
,Barbaresco Masseria Vietti,Barbaresco Masseria Vietti,,,BOTTLE,2019.0,22000.0,,50,
,Barbaresco Camp Gros Martinenga Marchesi di Gresy,Barbaresco Camp Gros Martinenga Marchesi di Gresy,,,BOTTLE,2015.0,19500.0,,50,
,Barbaresco Gaja,Barbaresco Gaja,,,BOTTLE,2017.0,42000.0,,50,
,Barbaresco Sori Tildin Gaja,Barbaresco Sori Tildin Gaja,,,BOTTLE,1996.0,80500.0,,50,
,Villa Antinori Rosso Antinori,Villa Antinori Rosso Antinori,,,BOTTLE,2020.0,3500.0,,50,
,"Chianti Classico ""Pèppoli"" Antinori","Chianti Classico ""Pèppoli"" Antinori",,,BOTTLE,2021.0,3800.0,,50,
,Chianti Classico Riserva La Forra Tenuta Di Nozzole,Chianti Classico Riserva La Forra Tenuta Di Nozzole,,,BOTTLE,2019.0,5200.0,,50,
,Pomino Rosso (Pinot Nero) Frescobaldi,Pomino Rosso (Pinot Nero) Frescobaldi,,,BOTTLE,2020.0,3600.0,,50,
,Le Volte Tenuta dell'Ornellaia,Le Volte Tenuta dell'Ornellaia,,,BOTTLE,2021.0,4800.0,,50,
,Rosso di Montalcino Banfi,Rosso di Montalcino Banfi,,,BOTTLE,2020.0,3500.0,,50,
,Rosso di Montalcino Biondi Santi,Rosso di Montalcino Biondi Santi,,,BOTTLE,2019.0,12000.0,,50,
,Cabreo Rosso il Borgo (Sangiovese–Cab. Sauv.) Folonari,Cabreo Rosso il Borgo (Sangiovese–Cab. Sauv.) Folonari,,,BOTTLE,2019.0,9000.0,,50,
,Guidalberto Tenuta San Guido,Guidalberto Tenuta San Guido,,,BOTTLE,2021.0,9000.0,,50,
,Pino di Biserno Tenuta di Biserno Lodovico Antinori,Pino di Biserno Tenuta di Biserno Lodovico Antinori,,,BOTTLE,2020.0,10000.0,,50,
,Il Pareto (Cabernet Sauvignon) Folonari,Il Pareto (Cabernet Sauvignon) Folonari,,,BOTTLE,2019.0,13500.0,,50,
,Mormoreto (Cab. S.–Cab. F.–Petit V.–Mer.) Frescobaldi,Mormoreto (Cab. S.–Cab. F.–Petit V.–Mer.) Frescobaldi,,,BOTTLE,1415.0,11000.0,,50,
,Montesodi (Sangiovese) Frescobaldi,Montesodi (Sangiovese) Frescobaldi,,,BOTTLE,2014.0,11000.0,,50,
,Brunello di Montalcino Pian Delle Vigne Antinori,Brunello di Montalcino Pian Delle Vigne Antinori,,,BOTTLE,2018.0,10500.0,,50,
,Brunello di Montalcino Vigna Marrucheto Banfi,Brunello di Montalcino Vigna Marrucheto Banfi,,,BOTTLE,2017.0,10500.0,,50,
,Brunello di Montalcino Vigna Ripe al Convento Frescobaldi,Brunello di Montalcino Vigna Ripe al Convento Frescobaldi,,,BOTTLE,2016.0,19500.0,,50,
,Brunello di Montalcino Vignaferrovia Antinori,Brunello di Montalcino Vignaferrovia Antinori,,,BOTTLE,2016.0,19500.0,,50,
,Brunello di Montalcino Biondi Santi,Brunello di Montalcino Biondi Santi,,,BOTTLE,2013.0,30000.0,,50,
,Brunello di Montalcino Biondi Santi,Brunello di Montalcino Biondi Santi,,,BOTTLE,2016.0,37000.0,,50,
,Brunello di Montalcino Biondi Santi,Brunello di Montalcino Biondi Santi,,,BOTTLE,2017.0,37000.0,,50,
