name,size,vintage,price
Laurent-Perrier Millesimè (Magnum),MAGNUM,2008,26000
Laurent-Perrier Millesimè Riserva (Magnum),MAGNUM,1997,42000
Laurent-Perrier Cuvèe Rosè ,,,16500
Laurent-Perrier Grand Siècle ,,,22000
Laurent-Perrier Alexandra Grand Cuvèe Rosè ,,2004,48000
Franciacorta Cuvèe Prestige Cà del Bosco,,,15000
Franciacorta Cuvèe Prestige Rose' Cà del Bosco,,,20000
Ferrari Perlè F.lli Lunelli (Magnum),,,15000
Veuve Clicquot Cuvèe Saint-Pètersbourg (Magnum),MAGNUM,,24500
Bollinger Special Cuvée (Magnum),MAGNUM,,31000
Ruinart Blanc de Blancs (Magnum),MAGNUM,,41000
Ruinart Brut Rosè (Magnum),MAGNUM,,41000
Cristal Louis Roederer (Magnum),MAGNUM,2007,81000
Krug (Magnum),MAGNUM,2003,95000
Les Clos Pompadour Millesime' (Magnum),MAGNUM,2004,140000
Dom Perignon Vintage (Magnum),MAGNUM,2010,135000
Taittinger Cuvèe Prestige Brut (Jeroboam),JEROBOAM,,41000
Vranken Diamant Brut Pommery (Jeroboam),JEROBOAM,,60000
Bollinger Special Cuvée (Jeroboam),JEROBOAM,,94000
Taittinger Cuvèe Prestige Brut (Mathusalem),MATHUSALEM,,70000
Ruinart Blanc de Blancs (Jeroboam),JEROBOAM,,112000
Comtes De Champagne Grands Crus Blanc de Blancs (Mathusalem),MATHUSALEM,2007,490000
Rosè Cotes de Provence Minuty,HALF_LITER,2021,3500
"Rosè Cotes de Provence Limited Edition ""BY HANNA KL"" Minuty",,2022,4600
Rock Angel Caves D'Esclans,,2021,8200
Soave classico Pieropan,,2022,3500
Lugana Cà dei Frati,,2021,3900
Friulano Borgo conventi,,2021,3500
Friulano Primarùl Venica,,2021,3800
Pinot Grigio Lis Neris,,2021,3800
Vinnae Ribolla Gialla Jermann,,2021,4300
Sauvignon Jermann,,2022,4100
"Sauvignon ""Ronco delle Mele"" Venica",,2021,7500
Chardonnay Jermann,,2021,4100
Terre Alte (Sauvignon-P. Bianco-Friulano) Livio Felluga,,2019,9800
Vintage Tunina Jermann,,2020,8500
Gewürztraminer Hofstätter,,2021,3800
Gewürztraminer Sanct Valentin St. Michele Appiano,,2021,5100
Terlaner (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,,2022,4200
Vorberg (Pinot Bianco) Cantina Terlano,,2018,5800
Nova Domus (Pinot Bianco–Chard.–Sauv. Blanc) Cantina Terlano,,2017,8500
Müller Thurgau Kurtatsch,,2021,3500
Pinot Grigio Castel Ringberg Elena Walch,,2022,5200
Kerner Köfererhof,,2021,3500
Chardonnay Sanct Valentin St. Michele Appiano,,2020,5500
Sauvignon Sanct Valentin St. Michele Appiano,,2021,5500
Arneis Blange' Ceretto,,2021,3900
Colli Torinesi Timorasso Vietti,,2020,5000
Alteni di Brassica (Sauvignon) Gaja,,2020,21000
Gaia & Rey (Chardonnay) Gaja,,2020,40500
Pomino Bianco Benefizio Frescobaldi,,2017,4900
"Gorgona ""Vermentino"" Frescobaldi",,2021,15500
Ornellaia Bianco Tente Dell'Ornellaia,,2019,35000
Cervaro Della Sala Antinori,,2020,10000
Cerdeña (Vermentino) Argiolas,,2015,7600
Riesling Trinbach,,2021,4000
Riesling Grand Cru Neumeyer,,2018,6000
Gewürztraminer Grand Cru Pierre Frick,,2013,8500
Riesling Grand Cru Brand Trinbach,,2018,12000
Riesling Clos Ste Hune Trinbach,,2017,60000
Sancerre Cuvee' Satellite Alphonse Mellot,,2022,18000
Pur Sang Poully Fume' (Sauvignon) Didier Dagueneau,,2019,27000
Bourgogne Aligote' Reyane & Pascal Bouley,,2019,4900
Bourgogne Hautes- Cotes de Nuits Guy & Yvan Dufouleur,,2019,5200
Chardonnay Terres de Famille Domaine de la Vougeraie,,2018,5700
Bourgogne Cote d'Or Patrick Javillier,,2019,6000
Bourgogne Chardonnay Pierre Labet,,2019,9000
Puligny-Montrachet Domaine de la Vougeraie,,2019,12500
Berthet-Bondet Chateau Chalon,,2014,18000
