external_id,full_details,type,quantity,internal_notes,price
v.67555.2008.b,"Ca' del Bosco, Franciacorta Riserva Annamaria Clementi Dosage Zéro (dég. primavera/2018), 2008, 750 ml",SPARKLING,2,36,160
v.6536.0.b,"Cavalleri, Franciacorta Blanc de Blancs Brut, 750 ml",SPARKLING,1,12,55
v.80515.1998.b,"Cornaleto, Franciacorta Riserva Brut, 1998, 750 ml",SPARKLING,4,22,130
v.10206.0.b,"CorteBianca, Franciacorta Extra brut, 750 ml",SPARKLING,3,10,50
v.6791.0.b,"Derbusco Cives, Franciacorta Doppio Erre Di Brut, 750 ml",SPARKLING,2,11,50
v.7237.2000.b,"Gatta, Franciacorta Satèn Brut, 2000, 750 ml",SPARKLING,2,15,65
v.54404.0.b,"La Montina, Franciacorta Extra brut, 750 ml",SPARKLING,2,9,45
v.16695.0.b,"La Valle, Franciacorta Primum Brut, 750 ml",SPARKLING,2,9,45
v.7872.0.c,"Maria Luisa Santus, Franciacorta Brut, 1500 ml",SPARKLING,1,20,100
v.46310.2012.b,"Maria Luisa Santus, Franciacorta Rosé Extra brut, 2012, 750 ml",SPARKLING,4,10,50
v.928.1998.b,"Monte Rossa - Cabochon, Franciacorta Brut, 1998, 750 ml",SPARKLING,1,50,180
v.928.2009.b,"Monte Rossa - Cabochon, Franciacorta Brut, 2009, 750 ml",SPARKLING,1,40,140
v.928.2011.b,"Monte Rossa - Cabochon, Franciacorta Brut, 2011, 750 ml",SPARKLING,1,28,110
v.71990.2007.b,"Monzio Compagnoni, Franciacorta Riserva Noir Brut nature, 2007, 750 ml",SPARKLING,2,10,55
v.6740.2009.b,"Rizzini, Franciacorta Millesimato Blanc de Blancs Brut, 2009, 750 ml",SPARKLING,3,10,50
v.57375.0.b,"La Montina, Franciacorta Rosé Demi-sec, 750 ml",,4,8,45
v.19476.2016.b,"Andrea Picchioni, Bonarda dell'Oltrepò Pavese Vivace Ipazia, 2016, 750 ml",,4,9,45
v.66829.2018.b,"Giannino Tormen, Pedecastello Rosato Frizzante, 2018, 750 ml",,5,10,35
v.17692.2007.b,"Cleto Chiarli, Lambrusco di Sorbara Vecchia Modena Premium, 2007, 750 ml",,1,8,45
v.82251.2008.b,"Le Barbaterre, Lambrusco Reggiano, 2008, 750 ml",,2,10,40
v.5419.2012.b,"Arianna Occhipinti, SP68 Bianco, 2012, 750 ml",WHITE,2,10,45
v.6845.2012.b,"Bressan, Carat, 2012, 750 ml",WHITE,2,13,68
v.6845.2016.b,"Bressan, Carat, 2016, 750 ml",WHITE,11,14,62
v.5002.2012.b,"Bressan, Verduzzo, 2012, 750 ml",WHITE,1,10,72
v.5002.2015.b,"Bressan, Verduzzo, 2015, 750 ml",WHITE,1,13,65
v.8505.2009.b,"Bruno Ruiz - Esencia Rural, Airén De Sol a Sol Cepas Centenarias sin Injerto, 2009, 750 ml",WHITE,3,10,42
v.12162.2010.b,"Bruno Ruiz - Esencia Rural, Airén De Sol a Sol Rancio Cepas Centenarias sin Injerto, 2010, 750 ml",WHITE,4,14,52
v.48294.2006.b,"Cascina degli Ulivi, A Demûa, 2006, 750 ml",WHITE,3,10,50
v.4376.2011.b,"Čotar, Vitovska, 2011, 750 ml",WHITE,5,10,42
v.1341.2003.b,"Damijan Podversič, Kaplja, 2003, 750 ml",WHITE,1,20,90
v.1341.2005.b,"Damijan Podversič, Kaplja, 2005, 750 ml",WHITE,3,15,80
v.1343.2007.b,"Damijan Podversič, Malvasia, 2007, 750 ml",WHITE,2,18,78
v.1343.2009.b,"Damijan Podversič, Malvasia, 2009, 750 ml",WHITE,4,16,75
v.1343.2010.b,"Damijan Podversič, Malvasia, 2010, 750 ml",WHITE,2,17,78
v.1343.2016.b,"Damijan Podversič, Malvasia, 2016, 750 ml",WHITE,3,14,56
v.1342.2010.b,"Damijan Podversič, Nekaj, 2010, 750 ml",WHITE,1,10,55
v.1344.2018.b,"Damijan Podversič, Pinot grigio, 2018, 750 ml",WHITE,7,14,50
v.12311.2002.b,"Damijan Podversič, Ribolla gialla Selezione, 2002, 750 ml",WHITE,1,10,75
v.1345.1999.b,"Damijan Podversič, Ribolla gialla, 1999, 750 ml",WHITE,1,17,80
v.1345.2001.b,"Damijan Podversič, Ribolla gialla, 2001, 750 ml",WHITE,1,10,65
v.1345.2013.b,"Damijan Podversič, Ribolla gialla, 2013, 750 ml",WHITE,1,10,60
v.1345.2016.b,"Damijan Podversič, Ribolla gialla, 2016, 750 ml",WHITE,3,14,58
v.82577.2022.b,"De Martin, Sospiro, 2022, 750 ml",WHITE,9,9,38
v.7984.2012.b,"Denis Montanar, Borc Dodòn Uis Bláncis, 2012, 750 ml",WHITE,3,9,50
v.49920.2009.b,"Denis Montanar, Verduzzo ScodovH, 2009, 750 ml",WHITE,2,12,68
v.30045.2017.b,"Gelveri, Hasan Gede, 2017, 750 ml",WHITE,1,14,60
v.5692.2004.b,"Gravner, Bianco Breg Anfora, 2004, 750 ml",WHITE,2,30,110
v.5692.2008.b,"Gravner, Bianco Breg Anfora, 2008, 750 ml",WHITE,1,30,150
v.5692.1998.b,"Gravner, Collio Bianco Breg, 1998, 750 ml",WHITE,1,24,180
v.5692.2000.b,"Gravner, Collio Bianco Breg, 2000, 750 ml",WHITE,3,45,200
v.1143.2001.b,"Gravner, Ribolla Anfora, 2001, 750 ml",WHITE,1,30,135
v.1143.2004.b,"Gravner, Ribolla Anfora, 2004, 750 ml",WHITE,1,40,220
v.5693.1992.b,"Gravner, Ribolla, 1992, 750 ml",WHITE,1,40,180
v.5693.1995.b,"Gravner, Ribolla, 1995, 750 ml",WHITE,1,36,150
v.5693.1998.b,"Gravner, Ribolla, 1998, 750 ml",WHITE,1,27,145
v.5693.2010.b,"Gravner, Ribolla, 2010, 750 ml",WHITE,1,20,100
v.5693.2014.b,"Gravner, Ribolla, 2014, 750 ml",WHITE,1,20,100
v.15754.2017.c,"Kristian Keber, Brda, 2017, 1500 ml",WHITE,1,10,65
v.40799.2007.b,"La Castellada, Bianco Riserva VRH, 2007, 750 ml",WHITE,1,15,80
v.1372.2016.b,"Lunarossa, Quartara, 2016, 750 ml",WHITE,2,10,45
v.4958.2010.b,"Marjan Simčič, Chardonnay Opoka, 2010, 750 ml",WHITE,4,10,75
v.4969.2006.b,"Movia, Lunar, 2006, 750 ml",WHITE,2,16,65
v.4969.2014.o,"Movia, Lunar, 2014, 1000 ml",WHITE,2,16,52
v.5033.2011.b,"Paraschos, Kai, 2011, 750 ml",WHITE,2,9,52
v.5033.2013.b,"Paraschos, Kai, 2013, 750 ml",WHITE,3,9,50
v.5034.2010.b,"Paraschos, Malvasia Amphoreus, 2010, 750 ml",WHITE,3,12,80
v.5034.2012.b,"Paraschos, Malvasia Amphoreus, 2012, 750 ml",WHITE,6,12,72
v.1346.2012.b,"Paraschos, Pinot grigio Not, 2012, 750 ml",WHITE,1,12,60
v.1347.2007.b,"Paraschos, Ponka, 2007, 750 ml",WHITE,2,8,60
v.80256.2007.b,"Prince Makashvili Cellar, Rkatsiteli Clos des Figuiers, 2007, 750 ml",WHITE,1,10,65
v.80258.2006.b,"Prince Makashvili Cellar, Rkatsiteli Tsarapi Grand Cru, 2006, 750 ml",WHITE,1,10,60
v.1157.2005.o,"Radikon, Jakot, 2005, 1000 ml",WHITE,1,16,90
v.1157.2007.m,"Radikon, Jakot, 2007, 500 ml",WHITE,1,15,80
v.1339.2000.b,"Radikon, Oslavje, 2000, 750 ml",WHITE,1,18,100
v.1339.2002.o,"Radikon, Oslavje, 2002, 1000 ml",WHITE,1,12,80
v.5036.2009.b,"Radikon, Pinot grigio Sivi, 2009, 750 ml",WHITE,3,12,85
v.5036.2010.b,"Radikon, Pinot grigio Sivi, 2010, 750 ml",WHITE,1,12,80
v.64048.2007.o,"Radikon, Ribolla 3781, 2007, 1000 ml",WHITE,1,10,100
v.64048.2008.m,"Radikon, Ribolla 3781, 2008, 500 ml",WHITE,1,15,80
v.4800.2009.b,"Radikon, Slatnik, 2009, 750 ml",WHITE,3,11,95
v.4800.2012.b,"Radikon, Slatnik, 2012, 750 ml",WHITE,1,10,80
v.4800.2015.b,"Radikon, Slatnik, 2015, 750 ml",WHITE,10,10,78
v.5005.2006.b,"Ronco Severo, Friulano, 2006, 750 ml",WHITE,1,16,62
v.5005.2016.b,"Ronco Severo, Friulano, 2016, 750 ml",WHITE,1,10,50
v.5006.2007.b,"Ronco Severo, Pinot grigio, 2007, 750 ml",WHITE,1,16,62
v.10136.2011.b,"Skerk, Ograde, 2011, 750 ml",WHITE,2,12,60
v.52962.2018.b,"Specogna, Pinot grigio Ramato Riserva, 2018, 750 ml",WHITE,2,15,60
v.33119.2017.b,"Villa Job, Guastafeste, 2017, 750 ml",WHITE,1,9,45
v.82124.0.b,"Pongrácz, Méthod Cap Classique Desiderius Brut, 750 ml",,2,10,60
v.9591.0.b,"Christoph Hoch, Kalkspitz, 750 ml",,4,9,35
v.3383.2006.b,"Francesco Bellei, Lambrusco Ancestrale, 2006, 750 ml",,1,10,42
v.35198.0.b,"Borgo Maragliano, Chardonnay Brut, 750 ml",SPARKLING,1,9,46
v.80266.0.b,"Croda Rossa, Derù Brut, 750 ml",SPARKLING,4,8,40
v.12212.0.b,"Foss Marai, Marai de Marai Extra dry, 750 ml",SPARKLING,1,10,32
v.56329.2016.b,"L'Archetipo, Marasco Brut nature, 2016, 750 ml",SPARKLING,4,10,45
v.56789.0.b,"Alfio Nicolodi, Cimbrus Brut, 750 ml",SPARKLING,4,10,52
v.13932.0.b,"Arunda, Talento Rosé Brut, 750 ml",SPARKLING,1,10,50
v.55257.0.b,"Barone Pizzini, Tesi Due Extra brut, 750 ml",SPARKLING,1,10,55
v.658.2010.b,"Bellaguardia, Bellaguardia Extra brut, 2010, 750 ml",SPARKLING,1,10,45
v.661.2009.b,"Bellaguardia, Bellaguardia Zero Pas dosé, 2009, 750 ml",SPARKLING,2,10,50
v.661.2016.b,"Bellaguardia, Bellaguardia Zero Pas dosé, 2016, 750 ml",SPARKLING,12,10,50
v.35419.2015.b,"Bellaguardia, Durello Montecchi Pas dosé, 2015, 750 ml",SPARKLING,3,10,50
v.61406.2006.b,"Bisol, Private Relio Extra brut, 2006, 750 ml",SPARKLING,2,15,70
v.61405.2001.b,"Bisol, Talento Millesimato Riserva Brut, 2001, 750 ml",SPARKLING,4,10,50
v.6758.2015.b,"Cantina della Volta, Il Mattaglio Blanc de Blancs Brut, 2015, 750 ml",SPARKLING,1,9,45
v.15281.2005.b,"Cave Mont Blanc de Morgex et la Salle, Extreme Extra brut, 2005, 750 ml",SPARKLING,1,10,50
v.15281.2006.b,"Cave Mont Blanc de Morgex et la Salle, Extreme Extra brut, 2006, 750 ml",SPARKLING,1,9,48
v.15281.2013.b,"Cave Mont Blanc de Morgex et la Salle, Extreme Extra brut, 2013, 750 ml",SPARKLING,2,7,42
v.83022.0.b,"Château Carbonneau, Life of Carbonneau, 750 ml",SPARKLING,12,13,45
v.5331.0.b,"Ciro Picariello, Contadino Brut, 750 ml",SPARKLING,2,10,45
v.82125.0.b,"Damoli, Avant-Garde Brut nature, 750 ml",SPARKLING,5,14,50
v.11154.0.b,"D'Araprì, Brut, 750 ml",SPARKLING,1,10,45
v.34453.2007.b,"D'Araprì, Gran Cuvée, 2007, 750 ml",SPARKLING,2,10,60
v.4699.0.b,"D'Araprì, Rosé Brut, 750 ml",SPARKLING,2,10,45
v.10724.2013.b,"Deltetto, Millesimato Extra brut, 2013, 750 ml",SPARKLING,3,10,60
v.9524.2012.b,"Eredi di Cobelli Aldo, Aldo Pas dosé, 2012, 750 ml",SPARKLING,4,10,50
v.66921.0.b,"Faraone, Dosaggio Zero, 750 ml",SPARKLING,1,7,35
v.78465.0.b,"Feudi di San Gregorio, DUBL Edition I Brut, 750 ml",SPARKLING,23,16,50
v.42542.2015.c,"Fontezoppa, Colli Maceratesi Ribona Dosaggio Zero Millesimato (dég. primavera/2019), 2015, 1500 ml",SPARKLING,1,10,80
v.82252.0.b,"Francesco Bellei, Extra Cuvée Brut, 750 ml",SPARKLING,3,11,45
v.32967.0.b,"Giampiero Deidda, Marzani Fleur Blanc de Noirs, 750 ml",SPARKLING,7,7,40
v.11170.2016.b,"Giampiero Deidda, Marzani Millesimo Reverse, 2016, 750 ml",SPARKLING,4,10,45
v.17255.2014.b,"Kettmeir, 1919 Riserva Extra brut (dég. 04/2020), 2014, 750 ml",SPARKLING,1,8,45
v.6047.2013.c,"Kettmeir, Athesis Rosé Brut, 2013, 1500 ml",SPARKLING,1,20,80
v.6047.2015.b,"Kettmeir, Athesis Rosé Brut, 2015, 750 ml",SPARKLING,1,10,45
v.82254.2010.b,"Le Barbaterre, L'Angelica Brut nature (dég. 11/2012), 2010, 750 ml",SPARKLING,2,10,50
v.12273.2001.b,"Lorenz Martini, Comitissa Brut Riserva, 2001, 750 ml",SPARKLING,1,11,55
v.80263.0.b,"Maltraversi, Durello Alboino Re Brut, 750 ml",SPARKLING,3,7,42
v.9503.0.b,"Masari, Durello Leon Pas dosé, 750 ml",SPARKLING,1,9,40
v.82121.0.b,"Masarotti, Predeman Brut, 750 ml",SPARKLING,1,10,40
v.64608.2014.b,"Pian delle Vette, Mat '55 Brut (dég. 05/2022), 2014, 750 ml",SPARKLING,12,13,45
v.64608.2013.b,"Pian delle Vette, Mat '55 Brut, 2013, 750 ml",SPARKLING,3,18,45
v.15746.2011.b,"Piffer Neno Produttori d'Elite, Talento Vulcanite Dosaggio Zero, 2011, 750 ml",SPARKLING,2,10,55
v.15746.2012.b,"Piffer Neno Produttori d'Elite, Talento Vulcanite Dosaggio Zero, 2012, 750 ml",SPARKLING,2,10,55
v.18932.0.b,"Pojer e Sandri, Cuvée Extra Brut 2013/2014, 750 ml",SPARKLING,5,10,45
v.3954.0.b,"Prinčič & Četrtič - Sinefinis, Rebolium Brut, 750 ml",SPARKLING,2,10,40
v.16403.2011.b,"Quartomoro, Metodo Classico Q Brut, 2011, 750 ml",SPARKLING,3,9,42
v.16403.0.b,"Quartomoro, Metodo Classico Q Brut, 750 ml",SPARKLING,1,8,36
v.82255.0.b,"Roberto Tami, Metodo Classico Podere dei Ronchi, 750 ml",SPARKLING,6,9,42
v.6466.2009.b,"Rocche dei Manzoni, Valentino Zero Brut, 2009, 750 ml",SPARKLING,2,12,60
v.10203.2008.b,"Roman Rizzi, Cuvée Pié di Mont Brut, 2008, 750 ml",SPARKLING,1,12,48
v.10203.2013.c,"Roman Rizzi, Cuvée Pié di Mont Brut, 2013, 1500 ml",SPARKLING,1,19,90
v.10203.2015.b,"Roman Rizzi, Cuvée Pié di Mont Brut, 2015, 750 ml",SPARKLING,1,10,42
v.33484.0.b,"Slavček, Viktorija Brut nature, 750 ml",SPARKLING,2,9,40
v.19174.0.b,"Tenuta Stella, Tanni Pas dosé, 750 ml",SPARKLING,2,10,42
v.11801.0.b,"Villa Parens, Blanc de Blancs Extra brut, 750 ml",SPARKLING,2,12,48
v.30020.2014.b,"Villa Parens, Rosé de Noirs Dosage Zero, 2014, 750 ml",SPARKLING,1,12,55
v.59126.2006.b,"Zamuner, Riserva del Fondatore Extra brut, 2006, 750 ml",SPARKLING,4,12,50
v.59126.2008.b,"Zamuner, Riserva del Fondatore Extra brut, 2008, 750 ml",SPARKLING,3,12,50
v.82123.2012.b,"Zamuner, Demi-sec, 2012, 750 ml",,1,10,50
v.80509.2019.b,"Valdisole, Minimi, 2019, 750 ml",,2,10,50
v.80509.2020.b,"Valdisole, Minimi, 2020, 750 ml",,2,10,50
v.16416.1990.a,"Château Bastor-Lamontagne, Sauternes Château Bastor-Lamontagne, 1990, 375 ml",,1,35,100
v.15107.1986.a,"Château Raymond-Lafon, Sauternes, 1986, 375 ml",,1,36,120
v.53426.2010.b,"Château Rieussec, Sauternes Carmes de Rieussec, 2010, 750 ml",,7,18,55
v.61664.2020.m,"Decugnano dei Barbi, Orvieto Classico Muffa Nobile Pourriture Noble, 2020, 500 ml",,2,10,52
v.32685.2006.a,"Kracher, Chardonnay Trockenbeerenauslese, 2006, 375 ml",,1,24,80
v.5933.2013.a,"Kracher, Cuvée Auslese, 2013, 375 ml",,1,10,45
v.32607.1989.b,"Léon Beyer, Tokay Pinot gris Sélection de Grains Nobles, 1989, 750 ml",,3,46,170
v.36139.2019.m,"Mesa, Carignano del Sulcis Passito Forte Rosso, 2019, 500 ml",,4,10,45
v.10811.2019.m,"Mesa, Orodoro, 2019, 500 ml",,1,10,45
v.12432.2009.b,"Parusso, Parüss Rosso da uve stramature, 2009, 750 ml",,4,9,45
v.7968.2012.a,"Pojer e Sandri, Essenzia, 2012, 375 ml",,1,10,42
v.55928.2019.a,"Roeno, Cristina Vendemmia Tardiva, 2019, 375 ml",,5,15,40
v.37221.2018.a,"Stölzerhof, Welschriesling Beerenauslese, 2018, 375 ml",,2,19,60
v.50766.2019.m,"Tenuta Il Plino, Mufato del Plino, 2019, 500 ml",,14,15,55
v.6031.1993.a,"Avignonesi, Vin Santo di Montepulciano Occhio di Pernice, 1993, 375 ml",,2,150,500
v.3964.1989.a,"Avignonesi, Vin Santo di Montepulciano, 1989, 375 ml",,2,100,400
