"external_id","type","full_name",,"MAGNUM",,"BOTTLE","HALF_LITER","HALF_BOTTLE"
183,"RED","MERLOT CASALFERRO Castello di Brolio Toscana `16",,,,75,,
184,"RED","MERLOT CASALFERRO Castello di Brolio Toscana `19",,,,68,,
185,"RED","Rosso di Toscana in Anfora, CS-ME, Fatt. di Poggiopiano BIO ´17",,,,39,,
186,"RED","Terra di Monteverro Toscana, CS-CF-ME-PV, `18",,,,85,,
187,"RED","Terra di Monteverro Toscana, CS-CF-ME-PV, `19",,,,80,,
188,"RED","CAIAROSSA CF-M-SY-CS-PV-SG- Toscana 19",,,,70,,
189,"RED","Chianti DOCG Riserva, Fattoria di Poggiopiano, Toscana, BIO ´18",,,,33,,
190,"RED","BAROLO Gramolere (Cru Monforte), Manzone Giovanni, Piemonte `15",,,,80,,
191,"RED","BAROLO Gramolere (Cru Monforte), Manzone Giovanni, Piemonte `16",,,,75,,
192,"RED","BAROLO Gramolere  (Cru Lage Monforte), Manzone `13",,160,,,,
193,"RED","BAROLO Gramolere  (Cru Lage Monforte), Manzone `16",,135,,,,
194,"RED","BARBERA D`ALBA “La Marchesa”, Manzone Giovanni, Piemonte ´19",,,,36,,
195,"RED","Nebbiolo Il Crutina, Manzone Giovanni, Piemonte ´19",,,,30,,
196,"RED","Nabucco Vino IGT Emilia Rosso BA-ME, Monte delle Vigne ´18",,,,55,,
197,"WHITE","Champagne Brut AOC Royale Réserve Philipponnat ´18",,,,80,,
198,"WHITE","Champagne Monmarthe, Extra brut, Coup de Coeur ´17",,,,70,,
199,"WHITE","Bourgone Blanc Cote d’Or, Domaine Michel Mallard ´22",,,,55,,
200,"RED","Cote De Nuits-Villages Le Fourmeau, Dom. Michel Mallard ´21 ",,,,69,,
201,"RED","Pommard Appell. Jan Marc Bouley ´21",,,,136,,
202,"RED","Geverey Chambertin 1er Cru Domaine Gallois ´19",,,,155,,
203,"RED","Chateau Corix de Labrie GRAN CRU Saint Emillion ´20",,,,167,,
204,"RED","Chateau Palmer ALTER EGO Appellation Margaux ´20",,,,161,,
205,"RED","Tempranillo AALTO RIBERA DEL DUERO ´21 ",,,,77,,
206,"RED","EL Jardin de La Emperatriz – Hermanos WST ´17",,,,33,,
207,"WHITE","Weissburgunder Reserve SALWEY, Oberrotweiler 20",,,,39,,
208,"WHITE","SALWEY, Weissburgunder Reserve Oberrotweiler GG Steingubenberg `19",,,,60,,
209,"WHITE","Riesling trocken Rotschiefer, Sorentberg, Mosel (D/I) Kellerei Castelfeder ´21",,,,40,,
210,"WHITE","Riesling trocken Gut Hermannsberg GG Altenbamberger Rotenberg ´20",,,,42,,
211,"WHITE","Riesling trocken Schäfer Fröhlich Vulkangestein ´19 ",,,,48,,
212,"WHITE","Riesling trocken Clemens Busch Marienburg GG ´20",,,,58,,
213,"RED","Künstler GG Assmannshausen Höllenberg ´18",,,,90,,
214,"RED","Adenauer No.1 `18",,,,70,,
215,"RED","Adenauer Alte Ley GG ´19",,,,105,,
216,"RED","SALWEY Oberrotweil `19",,,,58,,
217,"RED","SALWEY Kirchberg GG `16",,,,125,,
218,"RED","Benhard Huber Malterdinger Bienenberg GG ´18",,,,154,,
219,"RED","KNIPSER Kirschgarten GG 18",,,,110,,
